ano_eleicao,sg_uf,nr_candidato,nm_candidato,sg_partido_norm,eleito,competitivo,tem_despesa,registros,teto,gasto_bruto,exclusao_2022,gasto_aproximado,gasto_pct,bruto_pct,receita_pct,top,fora,faixa
2018,AC,9010,ANTONIO PAULINO DA SILVA,PROS,0,False,True,4.0,2500000.0,7501.8,0.0,7501.8,0.300072,0.300072,0.3096,0.0,1.0,0 a <10%
2018,AC,9090,FERNANDO MELO DA COSTA,PROS,0,True,True,158.0,2500000.0,326982.6,0.0,326982.6,13.079303999999999,13.079303999999999,13.3194,1.0,0.0,10 a <25%
2018,AC,4423,ROSE-LANE ALVES JARDIM,PRP,0,False,True,1.0,2500000.0,750.0,0.0,750.0,0.03,0.03,1.434,1.0,0.0,0 a <10%
2018,AC,4444,FRANCISCO CARLOS OLIVEIRA DE LIMA,PRP,0,True,True,2.0,2500000.0,15013.2,0.0,15013.2,0.600528,0.600528,1.4361888,1.0,0.0,0 a <10%
2018,AC,4466,GILMAR FONTES,PRP,0,False,False,,2500000.0,,,,,,0.2356608,0.0,1.0,Sem registro
2018,AC,2800,MARIA DO SOCORRO FIRMO DA SILVA,PRTB,0,False,False,,2500000.0,,,,,,0.0,0.0,1.0,Sem registro
2018,AC,2828,FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO,PRTB,0,False,True,10.0,2500000.0,16706.95,0.0,16706.95,0.668278,0.668278,0.7386,1.0,0.0,0 a <10%
2018,AC,4040,CARLOS CÉSAR CORREIA DE MESSIAS,PSB,0,True,True,427.0,2500000.0,1295662.84,0.0,1295662.84,51.826513600000006,51.826513600000006,53.924,1.0,0.0,50 a <80%
2018,AC,2020,JAMYL ASFURY MARTINS OLIVEIRA,PSC,0,True,True,21.0,2500000.0,69976.23,0.0,69976.23,2.7990492,2.7990492,4.320632,1.0,0.0,0 a <10%
2018,AC,5555,MARIVALDO GONÇALVES DE MELO,PSD,0,False,True,239.0,2500000.0,947568.15,0.0,947568.15,37.902726,37.902726,38.458,1.0,0.0,25 a <50%
2018,AC,4545,CYLMARA FERNANDES DA ROCHA GRIPP,PSDB,1,False,True,288.0,2500000.0,1669311.96,0.0,1669311.96,66.7724784,66.7724784,65.314622,1.0,0.0,50 a <80%
2018,AC,1700,MICHELA BATISTA LACERDA,PSL,0,False,False,,2500000.0,,,,,,0.0223272,1.0,0.0,Sem registro
2018,AC,1712,DANIELA PAIVA DE OLIVEIRA,PSL,0,False,True,2.0,2500000.0,4992.0,0.0,4992.0,0.19968,0.19968,0.2,0.0,1.0,0 a <10%
