ano_eleicao,sg_uf,nr_candidato,gasto_bruto,exclusao_2022,registros
2022,MG,2234,499932.13,25000.0,87
2022,MG,3535,8676.0,0.0,4
2022,MG,4064,16.0,0.0,1
2022,MG,5170,15024.85,15000.0,5
2022,MG,5582,2280.0,0.0,1
2022,MS,1919,325479.03,0.0,188
2022,MS,2202,42000.0,6000.0,6
2022,MS,9009,43.9,0.0,2
2022,PA,4420,35530.0,5000.0,7
2022,PA,5533,113714.0,45000.0,14
2022,PB,1113,200000.0,15000.0,25
2022,PB,1322,24919.44,8000.0,7
2022,PB,2833,1000.0,0.0,1
2022,PB,2877,7000.0,0.0,3
2022,PB,4500,13864.28,0.0,14
2022,PE,1025,72270.0,0.0,72
2022,PE,1312,14766.0,0.0,6
2022,PE,1444,27982.0,2500.0,18
2022,PE,1909,10000.0,0.0,4
2022,PE,4313,2956.0,0.0,3
2022,PE,4550,240000.0,10000.0,13
2022,PE,4582,22.0,0.0,1
2022,PI,1825,1700.0,1700.0,2
2022,PI,4486,199688.43,73000.0,14
2022,PI,5132,49998.0,4000.0,8
2022,PR,1012,30000.0,1050.0,28
2022,PR,1451,21000.0,0.0,18
2022,PR,2009,4500.0,4500.0,2
2022,PR,2056,10000.0,500.0,5
2022,PR,3511,499.48,0.0,2
2022,PR,3553,1700.0,0.0,7
2022,PR,4401,41627.72,0.0,26
2022,RJ,1178,20477.95,1500.0,9
2022,RJ,1250,51918.56,2424.0,36
2022,RJ,1505,50475.0,0.0,39
2022,RJ,2810,300.0,300.0,1
2022,RJ,3677,102989.8,0.0,3
2022,RJ,7015,79971.39,23500.0,20
2022,RJ,7027,159828.61,8000.0,122
2022,RJ,7066,49350.0,2000.0,48
2022,RJ,7085,62775.4,2500.0,68
2022,RO,1122,64483.5,0.0,8
2022,RO,1125,51454.28,35000.0,11
2022,RO,1199,40721.2,9000.0,41
2022,RO,3606,15000.0,5000.0,4
2022,RO,3611,6800.0,0.0,5
2022,RO,5015,6066.0,0.0,3
2022,RR,2233,206933.7,56700.0,26
2022,RR,4040,8000.0,5000.0,3
2022,RR,5122,26900.0,2000.0,10
2022,RR,6513,1003.2,1000.0,2
2022,RR,7788,5000.0,5000.0,2
2022,RS,1300,118155.08,19000.0,33
2022,RS,2225,34341.0,2800.0,24
2022,RS,4434,3000.0,3000.0,2
2022,RS,5108,4000.0,4000.0,1
2022,SC,7011,49998.0,20000.0,7
2022,SC,7707,7345.0,0.0,5
2022,SE,2211,146154.26,39000.0,21
2022,SE,3311,10001.0,0.0,2
2022,SE,5190,63633.15,0.0,13
2022,SE,7788,700.0,0.0,1
2022,SP,1125,980.0,650.0,2
2022,SP,1160,1810.8,0.0,2
2022,SP,1210,16.5,0.0,2
2022,SP,1422,244860.26,8000.0,15
2022,SP,1440,180000.0,0.0,1
2022,SP,2066,10000.0,0.0,1
2022,SP,2713,5000.0,0.0,2
2022,SP,2777,4998.04,0.0,13
2022,SP,2788,5000.0,0.0,3
2022,SP,3013,850.0,0.0,1
2022,SP,3306,4347.0,1212.0,7
2022,SP,3632,5000.0,0.0,4
2022,SP,4093,39013.9,36100.0,5
2022,SP,4550,11000.0,6000.0,2
2022,SP,5161,10000.0,0.0,2
2022,SP,5556,6477.0,2424.0,5
2022,TO,1144,200.0,0.0,2
2022,TO,4422,300000.0,26748.0,19
2022,TO,4490,159678.85,0.0,23
