UF,Ano,Grupo,Medida,N_universo,N_com_registro,N_sem_registro,Media_pct,Mediana_pct,P90_pct,P95_pct,P99_pct,Max_pct,N_ge10,Pct_ge10,N_ge50,Pct_ge50,N_ge80,Pct_ge80,N_ge90,Pct_ge90,N_ge95,Pct_ge95,N_ge99,Pct_ge99,N_ge100,Pct_ge100,N_igual100,N_acima100,Pct_observada_ge95_no_universo
PA,2018,Eleitos,gasto_pct,17.0,17.0,0.0,30.41692051764706,26.5444844,59.9960108,82.504982,82.504982,82.504982,14.0,82.3529411764706,2.0,11.764705882352942,1.0,5.882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,2018,Todos,gasto_pct,137.0,116.0,21.0,8.537759603448276,0.800528,32.9523396,51.4469624,66.110098,70.3627108,27.0,23.275862068965516,6.0,5.172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,2018,Eleitos,gasto_pct,12.0,12.0,0.0,41.654018766666674,38.090526,66.110098,70.3627108,70.3627108,70.3627108,12.0,100.0,4.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2018,Todos,gasto_pct,326.0,242.0,84.0,8.89967836859504,0.41,41.9716388,58.8265156,84.136014,94.703566,43.0,17.768595041322314,20.0,8.264462809917354,4.0,1.6528925619834711,1.0,0.4132231404958678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2018,Eleitos,gasto_pct,25.0,25.0,0.0,50.298296543999996,52.6804816,80.9172512,89.133726,94.703566,94.703566,23.0,92.0,15.0,60.0,3.0,12.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PI,2018,Todos,gasto_pct,123.0,108.0,15.0,9.547937544444446,0.756,35.2376408,58.0997912,92.9405276,97.71886279999998,22.0,20.37037037037037,7.0,6.481481481481482,4.0,3.7037037037037037,3.0,2.7777777777777777,1.0,0.9259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.8130081300813008
PI,2018,Eleitos,gasto_pct,10.0,10.0,0.0,48.62717576,38.1564212,91.9429456,92.9405276,92.9405276,92.9405276,10.0,100.0,4.0,40.0,2.0,20.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR,2018,Todos,gasto_pct,415.0,353.0,62.0,8.747187752974504,0.6712,38.2743664,67.2367004,92.3273292,97.179016,53.0,15.01416430594901,26.0,7.36543909348442,10.0,2.8328611898016995,4.0,1.13314447592068,2.0,0.56657223796034,0.0,0.0,0.0,0.0,0.0,0.0,0.4819277108433735
PR,2018,Eleitos,gasto_pct,30.0,30.0,0.0,50.72529692,48.75,86.19787960000001,96.8478572,97.179016,97.179016,27.0,90.0,15.0,50.0,6.0,20.0,3.0,10.0,2.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667
RJ,2018,Todos,gasto_pct,1046.0,733.0,313.0,5.916424747066849,0.4,15.8136328,43.43734,81.4809044,97.66738800000002,96.0,13.096862210095498,28.0,3.819918144611187,9.0,1.2278308321964528,5.0,0.6821282401091405,3.0,0.4092769440654843,0.0,0.0,0.0,0.0,0.0,0.0,0.28680688336520077
RJ,2018,Eleitos,gasto_pct,46.0,46.0,0.0,30.208782008695653,16.2736616,70.2684892,75.7604508,95.6233424,95.6233424,30.0,65.21739130434783,12.0,26.08695652173913,2.0,4.3478260869565215,2.0,4.3478260869565215,2.0,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215
RN,2018,Todos,gasto_pct,113.0,92.0,21.0,9.341097504347827,1.0368,27.6750144,56.1662404,98.39001199999998,98.39001199999998,21.0,22.82608695652174,8.0,8.695652173913043,1.0,1.0869565217391304,1.0,1.0869565217391304,1.0,1.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.8849557522123894
