ano_eleicao,sg_uf,nr_candidato,nm_candidato,sg_partido_norm,fora,vr_receita_recursos_partidos,proprios,pessoas_fisicas,reeleicao_proxy,ex_federal_proxy,vitoria_estadual,vitoria_prefeito,vitoria_vereador,voto_relevante,mulher,negra
2018,RJ,2727,LUIZ ANTONIO DA COSTA CARVALHO CORREA DA SILVA,DC,1.0,0.0,157615.27000000002,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,RJ,2500,ROGERIO TEIXEIRA JUNIOR,DEM,1.0,0.0,15000.0,219319.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,RJ,1515,VINICIUS MEDEIROS FARAH,MDB,1.0,200000.0,240049.9,793775.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,RJ,3100,GELSON DE AZEVEDO ALMEIDA,PHS,1.0,300.0,376800.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,RJ,4488,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,PRP,1.0,266.0,109307.0,8180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,RJ,2050,OTONI MOURA DE PAULO JUNIOR,PSC,1.0,50000.0,5060.0,217816.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,RJ,1716,JOZIEL FERREIRA CARLOS,PSL,1.0,5474.3,100.0,29575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,RJ,1717,LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,PSL,1.0,6835.0,26.8,251109.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,RJ,1752,MÁRCIO DA SILVEIRA LABRE,PSL,1.0,0.0,9200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,RJ,1767,FELÍCIO LATERÇA DE ALMEIDA,PSL,1.0,0.0,35000.0,79450.20999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,RJ,1777,CARLOS ROBERTO COELHO DE MATTOS JÚNIOR,PSL,1.0,1965.0,28745.0,21765.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2018,RJ,1789,LOURIVAL GOMES DE ALMEIDA,PSL,1.0,0.0,201791.49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,RJ,1793,ANTÔNIO DA LUZ FURTADO,PSL,1.0,2155.0,34060.0,29045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,RJ,1798,JOÃO CARLOS SOARES GURGEL,PSL,1.0,982.5,6340.55,40500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,RO,1777,JOAO CHRISÓSTOMO DE MOURA,PSL,1.0,0.0,5300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,RR,5555,HAROLDO ALVES CAMPOS,PSD,1.0,4290.0,1005942.08,198435.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,RS,4500,DANIEL TRZECIAK DUARTE,PSDB,1.0,52250.0,66650.0,51865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,RS,1700,ALCIBIO MESQUITA BIBO NUNES,PSL,1.0,0.0,207216.9,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,RS,1720,UBIRATAN ANTUNES SANDERSON,PSL,1.0,0.0,5000.0,63935.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,RS,1777,NEREU CRISPIM,PSL,1.0,0.0,18000.0,20108.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,SC,1717,DANIEL COSTA DE FREITAS,PSL,1.0,0.0,0.0,329200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,SP,2555,KIM PATROCA KATAGUIRI,DEM,1.0,0.0,0.0,225538.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,SP,3030,VINICIUS LAZZER POIT,NOVO,1.0,0.0,0.0,1160079.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,SP,4001,LUIZ FLAVIO GOMES,PSB,1.0,0.0,1590000.0,7950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,SP,4015,RODRIGO ANTONIO DE AGOSTINHO MENDONÇA,PSB,1.0,100000.0,671.37,143600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,SP,4500,CARLOS HENRIQUE FOCESI SAMPAIO,PSDB,1.0,0.0,35000.0,1783186.48,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2018,SP,1700,MARCIO TADEU ANHAIA DE LEMOS,PSL,1.0,3975.24,29500.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,SP,1702,LUIZ PHILIPPE DE ORLEANS BRAGANÇA,PSL,1.0,0.0,62000.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,SP,1717,ROBERTO SEBASTIÃO PETERNELLI JUNIOR,PSL,1.0,6000.0,8712.880000000001,30850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,SP,1770,NICOLINO BOZZELLA JUNIOR,PSL,1.0,0.0,225000.0,167500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,SP,1777,ALEXANDRE FROTA DE ANDRADE,PSL,1.0,5300.32,0.0,19457.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,SP,1790,JOSÉ GUILHERME NEGRÃO PEIXOTO,PSL,1.0,3975.24,121689.08,9900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,SP,4336,ENRICO VAN BLARCUM DE GRAAFF MISASI,PV,0.5,100000.0,5000.0,266353.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,SC,1718,CAROLINE RODRIGUES DE TONI,PSL,0.25,265.0,13761.1,56566.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2018,SC,1762,LUIZ ARMANDO SCHROEDER REIS,PSL,0.25,265.0,500.0,46828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,AL,1510,RAFAEL DE GOES BRITO,MDB,1.0,400000.0,12385.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,AL,4343,LUCIANO SURUAGY DO AMARAL FILHO,PV,1.0,30489.0,88535.02,222500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,AM,2323,AMOM MANDEL LINS FILHO,CIDADANIA,1.0,30000.0,10000.0,448232.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,AP,2210,SILVIA NOBRE LOPES,PL,1.0,126000.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022,CE,2211,YURY BRUNO ALENCAR ARAÚJO,PL,1.0,500000.0,18000.0,324654.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,CE,2255,ANTONIO LUIZ RODRIGUES MANO JUNIOR,PL,1.0,500000.0,36390.0,31100.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2022,GO,2210,GUSTAVO GAYER MACHADO DE ARAUJO,PL,1.0,0.0,40000.0,12709.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,GO,2255,DANIEL VIEIRA RAMOS,PL,1.0,350000.0,300000.0,686788.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,GO,5500,ISMAEL ALEXANDRINO JUNIOR,PSD,1.0,200000.0,29000.0,481622.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,MG,2222,NIKOLAS FERREIRA DE OLIVEIRA,PL,1.0,5979.42,0.0,249423.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PA,1511,ANTONIO LEOCADIO DOS SANTOS,MDB,1.0,70000.0,317490.0,606520.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PA,1512,KENISTON DE JESUS REGO BRAGA,MDB,1.0,70000.0,0.0,1698300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PA,1522,HENDERSON LIRA PINTO,MDB,1.0,125000.0,0.0,223997.83000000002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2022,PA,2200,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,PL,1.0,0.0,127000.0,329650.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2022,PA,5588,JOÃO FERRARI JÚNIOR,PSD,1.0,0.0,310000.0,213750.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2022,PE,2210,LUIZ DE FRANÇA E SILVA MEIRA,PL,1.0,173011.0,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,PI,1310,FLORENTINO ALVES VERAS NETO,PT,1.0,66000.0,0.0,801505.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,PI,4333,JADYEL SILVA ALENCAR,PV,1.0,0.0,290400.0,317926.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022,RJ,2282,ROBERTO LUIZ RODRIGUES DE OLIVEIRA,PL,1.0,64385.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022,RJ,1433,CARLOS ROBERTO RODRIGUES,PTB,1.0,353775.0,0.0,73000.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
2022,RN,2238,EVANDRO GONÇALVES DA SILVA JUNIOR,PL,1.0,2000.0,8793.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,RS,2210,UBIRATAN ANTUNES SANDERSON,PL,1.0,0.0,0.0,414152.22,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,RS,1922,MAURICIO BEDIN MARCON,PODE,1.0,0.0,1.0,46287.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022,SC,3050,GILSON MARQUES VIEIRA,NOVO,1.0,13041.53,150.0,974293.92,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,SC,2200,CAROLINE RODRIGUES DE TONI,PL,1.0,0.0,13630.0,416250.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022,SP,1500,MARIO PALUMBO JUNIOR,MDB,1.0,0.0,160000.0,420028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,SP,2200,JOSÉ AUGUSTO ROSA,PL,1.0,505240.62,6500.0,369960.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,SP,2243,LUIZ PHILIPPE DE ORLEANS E BRAGANÇA,PL,1.0,5240.63,0.0,404620.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,SP,2247,PAULO FRANCISCO MUNIZ BILYNSKYJ,PL,1.0,201431.42,0.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,SP,2299,MARCIO LUIZ ALVINO DE SOUZA,PL,1.0,5240.63,40360.0,920420.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,SP,4040,TABATA CLAUDIA AMARAL DE PONTES,PSB,1.0,197935.0,0.0,2016944.78,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022,SP,4500,CARLOS HENRIQUE FOCESI SAMPAIO,PSDB,1.0,32333.36,0.0,2439328.85,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2022,MT,4400,FÁBIO PAULINO GARCIA,UNIAO,0.5,1080000.0,300000.0,921043.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,PA,1510,ANDREIA BRITO GONÇALVES SIQUEIRA,MDB,0.5,387500.0,253000.0,286200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2022,PA,1567,ALESSANDRA HABER CARVALHO SANTOS,MDB,0.5,387500.0,190000.0,619829.64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022,PA,1577,RENILCE CONCEIÇÃO NICODEMOS DE ALBUQUERQUE,MDB,0.5,387500.0,238000.0,811335.98,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2022,RJ,1911,JOSE PORTUGAL NETO,PODE,0.5,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022,SC,2220,MARCOS ANTONIO PEREIRA GOMES,PL,0.5,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,SC,2222,JORGE GOETTEN DE LIMA,PL,0.5,500000.0,262780.0,324500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,RJ,2211,CARLOS ROBERTO COELHO DE MATTOS JUNIOR,PL,0.3846153846153846,500000.0,10000.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2022,RJ,2214,CHRISTINE NOGUEIRA DOS REIS TONIETTO,PL,0.3846153846153846,500000.0,0.0,2720.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022,RJ,2217,ALEXANDRE RAMAGEM RODRIGUES,PL,0.3846153846153846,500000.0,33000.0,245000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,RJ,2233,LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,PL,0.3846153846153846,500000.0,106756.23,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,RJ,2256,LUCIANO VIEIRA MENDES,PL,0.3846153846153846,500000.0,165900.0,74250.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022,RJ,2269,ALTINEU CORTES FREITAS COUTINHO,PL,0.3846153846153846,500000.0,60000.0,615000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
