unidade_reamostragem,n_unidades,alvo,ano_eleicao,magnitude,metrica,estimativa,ic95_inf,ic95_sup
lista,711,eleitos,2022,Médio (16–31),precisao,0.1218293620292083,0.093297546270213,0.1504665979754279
lista,711,eleitos,2022,Médio (16–31),lift,2.3977093840057004,2.1800187598492773,2.6439402352315415
lista,711,eleitos,2022,Grande (39–70),cobertura,0.9384245562130177,0.8940822178230265,0.9797297297297297
lista,711,eleitos,2022,Grande (39–70),precisao,0.16711670179135932,0.12539611191959232,0.21005636257404195
lista,711,eleitos,2022,Grande (39–70),lift,2.6318743267683686,2.3460173012702814,3.073202317870821
partido,35,competitivos,2018,Total,cobertura,0.8085817060637205,0.7496881302218381,0.8550239933762257
partido,35,competitivos,2018,Total,precisao,0.33940897325280417,0.2354771719789314,0.45471870174031837
partido,35,competitivos,2018,Total,lift,1.890919128223612,1.771555401250867,2.015384725870066
partido,35,competitivos,2018,Pequeno (8–12),cobertura,0.8381294964028777,0.7842118094728187,0.8893004632173981
partido,35,competitivos,2018,Pequeno (8–12),precisao,0.2672018348623853,0.18429423956403618,0.35897925764192135
partido,35,competitivos,2018,Pequeno (8–12),lift,1.3981735844377685,1.300054855002904,1.4993643743896152
partido,35,competitivos,2018,Médio (16–31),cobertura,0.8109375,0.7442809336332958,0.8682750329456915
partido,35,competitivos,2018,Médio (16–31),precisao,0.34785522788203754,0.2277253406191573,0.4899728680078151
partido,35,competitivos,2018,Médio (16–31),lift,1.9587331027184185,1.7849694675384482,2.1345131590177147
partido,35,competitivos,2018,Grande (39–70),cobertura,0.7846666666666666,0.6905723024115473,0.8577011142998867
partido,35,competitivos,2018,Grande (39–70),precisao,0.4203571428571429,0.2983997068265199,0.546760419346006
partido,35,competitivos,2018,Grande (39–70),lift,2.5162920892635494,2.1939105014130216,3.059114154105772
partido,32,competitivos,2022,Total,cobertura,0.8089231170254716,0.7783867589071416,0.8382604914793376
partido,32,competitivos,2022,Total,precisao,0.2864230911225127,0.20420352106827447,0.3572962217846029
partido,32,competitivos,2022,Total,lift,1.855216797528651,1.7064336162140852,2.0317784185141363
partido,32,competitivos,2022,Pequeno (8–12),cobertura,0.8218829516539439,0.7842367903288304,0.8598273619101231
partido,32,competitivos,2022,Pequeno (8–12),precisao,0.2383763837638376,0.16088829474785524,0.30545280844956424
partido,32,competitivos,2022,Pequeno (8–12),lift,1.3667045982367114,1.2711013428887152,1.4750039650528388
partido,32,competitivos,2022,Médio (16–31),cobertura,0.8057906458797328,0.7590545156820758,0.8527413263346562
partido,32,competitivos,2022,Médio (16–31),precisao,0.27809377401998464,0.1924007214748792,0.3594298560885063
partido,32,competitivos,2022,Médio (16–31),lift,1.998911226975891,1.846701913121549,2.148783014683855
partido,32,competitivos,2022,Grande (39–70),cobertura,0.8017224618212669,0.760056753290531,0.8456571602198723
partido,32,competitivos,2022,Grande (39–70),precisao,0.351439983264117,0.2530548993931925,0.43878569437509957
partido,32,competitivos,2022,Grande (39–70),lift,2.3720966349425963,2.057174966794704,2.909886857961897
partido,35,eleitos,2018,Total,cobertura,0.8674463937621832,0.7551769860486568,0.9441402273498473
