Ano,UF,Partido,Magnitude,Regra,Perfil,N válido,Total com perfil,K válido,Perfil no núcleo,Perfil fora,N fora válido,Esperado perfil,Ausência de perfil
2018,AC,DC,8–12,Uma posição a menos,"Pessoas pretas ou pardas (descrição, não critério de validade)",3,3.0,2.0,2.0,1.0,1.0,2.0,0
2018,AC,DC,8–12,Uma posição a mais,Competitivo prévio (critério operacional do capítulo),3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Uma posição a mais,Eleito federal no pleito anterior,3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Uma posição a mais,"Vitória federal antiga, sem vitória no pleito anterior",3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Uma posição a mais,Vitória anterior estadual/distrital,3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Uma posição a mais,Vitória anterior para prefeito,3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Uma posição a mais,Vitória anterior para vereador,3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Uma posição a mais,Votação histórica ≥ 10% do QE,3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Uma posição a mais,"Mulheres (descrição, não critério de validade)",3,1.0,3.0,1.0,0.0,0.0,1.0,0
2018,AC,DC,8–12,Uma posição a mais,"Pessoas pretas ou pardas (descrição, não critério de validade)",3,3.0,3.0,3.0,0.0,0.0,3.0,0
2018,AC,DC,8–12,Acumulado ≥ 80%,Competitivo prévio (critério operacional do capítulo),3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Acumulado ≥ 80%,Eleito federal no pleito anterior,3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Acumulado ≥ 80%,"Vitória federal antiga, sem vitória no pleito anterior",3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Acumulado ≥ 80%,Vitória anterior estadual/distrital,3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Acumulado ≥ 80%,Vitória anterior para prefeito,3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Acumulado ≥ 80%,Vitória anterior para vereador,3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Acumulado ≥ 80%,Votação histórica ≥ 10% do QE,3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Acumulado ≥ 80%,"Mulheres (descrição, não critério de validade)",3,1.0,3.0,1.0,0.0,0.0,1.0,0
2018,AC,DC,8–12,Acumulado ≥ 80%,"Pessoas pretas ou pardas (descrição, não critério de validade)",3,3.0,3.0,3.0,0.0,0.0,3.0,0
2018,AC,DC,8–12,Receitas arredondadas a centavos,Competitivo prévio (critério operacional do capítulo),3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Receitas arredondadas a centavos,Eleito federal no pleito anterior,3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Receitas arredondadas a centavos,"Vitória federal antiga, sem vitória no pleito anterior",3,0.0,3.0,0.0,0.0,0.0,0.0,0
2018,AC,DC,8–12,Receitas arredondadas a centavos,Vitória anterior estadual/distrital,3,0.0,3.0,0.0,0.0,0.0,0.0,0
