Ano,UF,Partido,Magnitude,Regra,C,Financiados,E,Recursos R$,NECr,K,Recursos no núcleo R$,Massa de recursos %,Amplitude %,Excesso de massa pp,Fronteira válida,Distância relativa no corte %,Empate na fronteira,Candidatos com peso fracionário,Posições fracionárias,Acertos,Acertos mínimos por desempate,Acertos máximos por desempate,Esperado aleatório,Esperado entre financiados,K sorteio financiados,Eleitos financiados,Jaccard com principal,Composição idêntica à principal,Reescala x7 preserva implementação
2018,AC,PC DO B,8–12,Piso,1,1,1,899232.95,1.0,1,899232.95,100.0,100.0,0.0,False,,False,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,True,True
2018,AC,PC DO B,8–12,Teto,1,1,1,899232.95,1.0,1,899232.95,100.0,100.0,0.0,False,,False,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,True,True
2018,AC,PC DO B,8–12,Uma posição a menos,1,1,1,899232.95,1.0,1,899232.95,100.0,100.0,0.0,False,,False,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,True,True
2018,AC,PC DO B,8–12,Uma posição a mais,1,1,1,899232.95,1.0,1,899232.95,100.0,100.0,0.0,False,,False,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,True,True
2018,AC,PC DO B,8–12,Acumulado ≥ 80%,1,1,1,899232.95,1.0,1,899232.95,100.0,100.0,0.0,False,,False,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,True,True
2018,AC,PC DO B,8–12,Receitas arredondadas a centavos,1,1,1,899232.95,1.0,1,899232.95,100.0,100.0,0.0,False,,False,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,True,True
2018,AC,PDT,8–12,Arredondado,16,14,1,250471.77,6.764354286202948,7,218302.37,87.15647675584358,43.75,43.406476755843585,True,23.137619994726585,False,0,0.0,1.0,1.0,1.0,0.4375,0.5,7,1,1.0,True,True
2018,AC,PDT,8–12,Piso,16,14,1,250471.77,6.764354286202948,6,209086.34,83.47700820735207,37.5,45.97700820735208,True,42.914969224603716,False,0,0.0,1.0,1.0,1.0,0.375,0.42857142857142855,6,1,0.8571428571428571,False,True
2018,AC,PDT,8–12,Teto,16,14,1,250471.77,6.764354286202948,7,218302.37,87.15647675584358,43.75,43.406476755843585,True,23.137619994726585,False,0,0.0,1.0,1.0,1.0,0.4375,0.5,7,1,1.0,True,True
2018,AC,PDT,8–12,Uma posição a menos,16,14,1,250471.77,6.764354286202948,6,209086.34,83.47700820735207,37.5,45.97700820735208,True,42.914969224603716,False,0,0.0,1.0,1.0,1.0,0.375,0.42857142857142855,6,1,0.8571428571428571,False,True
