Ano,Partido,Listas financiadas,Massa por lista mediana %,Distância no corte mediana %,Empates no corte,Total com perfil,Cobertura do perfil %,Lift do perfil,Eleitos,Eleitos no núcleo,Esperados,Cobertura eleitoral %,Precisão eleitoral %,Lift eleitoral
2022,CIDADANIA,23,93.40074719175139,80.7447089415101,2,15.0,100.0,2.8575552027709628,5,4.0,1.8138888888888889,80.0,5.405405405405405,2.2052067381316998
2022,DC,21,94.2924044031246,4.742487006737503,5,1.0,0.0,0.0,0,0.0,0.0,,0.0,
2022,MDB,24,82.48481472720493,19.394171936962252,3,92.0,77.17391304347827,2.079539247547472,42,35.5,16.587088973118384,84.52380952380952,25.0,2.1402188206461386
2022,NOVO,17,89.96124373940586,1.1769397025543828,5,13.0,77.37556561085972,1.9045565036269105,3,2.0,0.7069597069597069,66.66666666666667,2.2988505747126435,2.829015544041451
2022,PATRIOTA,25,86.04651162790698,15.208333333333334,7,37.0,75.67567567567568,1.6692420459111248,4,4.0,1.1857585139318885,100.0,1.8604651162790697,3.3733681462140996
2022,PC DO B,24,97.80420632825512,95.82125269186196,0,17.0,94.11764705882354,1.415929203539823,6,6.0,3.2333333333333334,100.0,13.953488372093023,1.8556701030927836
2022,PCB,0,,,0,1.0,0.0,,0,0.0,0.0,,,
2022,PCO,12,100.0,,0,0.0,,,0,0.0,0.0,,0.0,
2022,PDT,27,82.35294117647058,9.043120120395475,8,49.0,86.39455782312925,2.5128198001519344,17,17.0,7.360298619509146,100.0,10.365853658536585,2.309688896988492
2022,PL,25,86.74520340851245,44.08690088690719,4,132.0,73.27505827505827,2.0805939168819356,99,79.6923076923077,35.3777479240601,80.4972804972805,48.59287054409006,2.2526111007227128
2022,PMB,5,97.498793452636,0.0,3,1.0,100.0,1.5,0,0.0,0.0,,0.0,
2022,PMN,14,83.93429227965578,0.0,7,3.0,66.66666666666667,2.821064552661382,0,0.0,0.0,,0.0,
2022,PODE,24,86.82164958760703,17.049340250524317,1,57.0,74.56140350877193,1.5681222890474864,12,10.5,4.486642106918432,87.5,4.929577464788732,2.340280269694106
2022,PP,25,88.15533980582524,22.813120815429198,3,105.0,87.14285714285714,1.8658155143266761,47,47.0,22.400825801843293,100.0,25.0,2.0981369354755
2022,PROS,14,90.06420566971767,16.666666666666664,3,14.0,78.57142857142857,2.9969686843841292,3,3.0,0.4890386343216532,100.0,4.545454545454546,6.134484659195297
2022,PRTB,17,88.11851449113497,25.290402854628756,5,1.0,100.0,1.7999999999999998,0,0.0,0.0,,0.0,
2022,PSB,24,81.85133149951854,6.628440366972478,3,67.0,83.58208955223881,1.9255430098902535,14,13.0,5.733982536318681,92.85714285714286,8.666666666666666,2.2671851401114016
2022,PSC,19,85.86441961382909,14.285714285714285,5,31.0,80.64516129032258,2.637773374063245,6,6.0,1.5005002087753834,100.0,5.084745762711864,3.998666554599705
2022,PSD,25,87.66158750170345,16.115702492657597,3,106.0,86.47798742138365,1.811364698069164,42,40.0,21.49915249336185,95.23809523809524,21.978021978021978,1.8605384566833754
2022,PSDB,24,86.00134120483919,18.76206361654481,5,43.0,91.86046511627907,2.19259556498555,13,12.0,4.927498325321438,92.3076923076923,11.214953271028037,2.435312852027646
2022,PSOL,27,88.78036276963898,10.111233259701379,4,19.0,78.94736842105263,2.056888134154107,12,12.0,3.805241364280266,100.0,7.547169811320755,3.153545032029713
2022,PSTU,11,100.0,53.43899577226082,1,0.0,,,0,0.0,0.0,,0.0,
2022,PT,27,89.05544523544684,36.64805786826719,0,112.0,83.92857142857143,1.7732780664195125,69,68.0,31.377859541932768,98.55072463768116,42.5,2.1671331630867336
2022,PTB,23,80.72013663153139,16.666666666666664,6,36.0,72.22222222222223,2.7048514214737294,1,0.0,0.10638297872340426,0.0,0.0,0.0
2022,PV,27,100.0,87.29566771810374,0,15.0,80.0,1.5761194029850747,6,4.0,3.125,66.66666666666667,7.407407407407407,1.28
2022,REDE,24,90.76405861822718,21.27350726287955,4,13.0,92.3076923076923,1.965835900308037,2,2.0,0.36507936507936506,100.0,2.380952380952381,5.478260869565218
2022,REPUBLICANOS,27,86.5402964162344,16.666666666666664,4,108.0,87.96296296296296,1.9907520339217086,40,40.0,18.784044685516296,100.0,19.23076923076923,2.1294668251530817
2022,SOLIDARIEDADE,22,86.8583846903653,17.142857142857142,2,31.0,87.09677419354838,2.276263095820836,4,4.0,0.8714311693035097,100.0,2.898550724637681,4.590150250417362
2022,UNIAO,26,88.44071524649374,13.395349877175027,3,130.0,88.46153846153847,1.4395732241790868,59,58.5,36.753758777916026,99.15254237288136,20.818505338078293,1.5916739388067835
2022,UP,13,100.0,99.2690464294306,0,0.0,,,0,0.0,0.0,,0.0,
