Ano,UF,Partido,C,NECr,K,Massa de recursos %,Amplitude %,Distância relativa no corte %,Fronteira válida,Empate na fronteira,Candidatos com peso fracionário
2018,AP,AVANTE,2,1.9999756378257174,2,100.0,100.0,,False,False,0
2018,AP,DC,1,1.0,1,100.0,100.0,,False,False,0
2018,AP,DEM,4,3.4615384615384617,3,86.66666666666667,75.0,33.33333333333333,True,False,0
2018,AP,MDB,4,1.2472509382140649,1,88.92340434361189,25.0,88.21033333333334,True,False,0
2018,AP,PC DO B,1,1.0,1,100.0,100.0,,False,False,0
2018,AP,PDT,7,1.3330899049837686,1,86.29763446724384,14.285714285714285,92.39671380045817,True,False,0
2018,AP,PHS,6,4.261623325453113,4,89.42307692307693,66.66666666666666,57.14285714285714,True,False,0
2018,AP,PMN,3,2.865200043135986,3,100.0,100.0,,False,False,0
2018,AP,PODE,1,1.0,1,100.0,100.0,,False,False,0
2018,AP,PP,1,1.0,1,100.0,100.0,,False,False,0
2018,AP,PPL,3,2.9982597043237647,3,100.0,100.0,,False,False,0
2018,AP,PR,7,2.8114847929370392,3,88.58075040783035,42.857142857142854,63.0,True,False,0
2018,AP,PRB,1,1.0,1,100.0,100.0,,False,False,0
2018,AP,PROS,2,1.1549621066159306,1,92.76852066857248,50.0,92.20481335768746,True,False,0
2018,AP,PRP,2,1.005951354709277,1,99.70331248377052,50.0,99.70242962962963,True,False,0
2018,AP,PSB,8,1.934257325972135,2,93.08970099667773,25.0,74.81296758104739,True,False,0
2018,AP,PSC,2,1.1327433628318584,1,93.75,50.0,93.33333333333333,True,False,0
2018,AP,PSD,3,1.998678821992307,2,100.0,66.66666666666666,100.0,True,False,0
2018,AP,PSDB,2,1.017578661196208,1,99.12865813352563,50.0,99.12099903006789,True,False,0
2018,AP,PSL,1,1.0,1,100.0,100.0,,False,False,0
2018,AP,PSOL,6,5.666633248948554,6,100.0,100.0,,False,False,0
2018,AP,PSTU,2,,0,,0.0,,False,False,0
2018,AP,PTB,7,6.347433994537348,6,88.39957793024341,85.71428571428571,0.0,True,True,5
2018,AP,PTC,5,1.0,1,100.0,20.0,100.0,True,False,0
2018,AP,PV,6,5.242591829815275,5,87.6196876291298,83.33333333333334,0.0,True,True,2
2018,AP,REDE,7,1.2739766676892035,1,88.46711098232396,14.285714285714285,96.95381591876843,True,False,0
2018,AP,SOLIDARIEDADE,3,1.0,1,100.0,33.33333333333333,100.0,True,False,0
2018,BA,AVANTE,14,2.8827511191501722,3,83.11210587777346,21.428571428571427,1.7038777908343123,True,False,0
2018,BA,DC,15,4.2977932147493245,4,85.14285714285714,26.666666666666668,0.0,True,True,4
2018,BA,DEM,38,8.389786520975566,8,88.78659312685618,21.052631578947366,34.67819404418828,True,False,0
2018,BA,MDB,36,3.643097400133748,4,69.1277112955417,11.11111111111111,4.999916666666661,True,False,0
2018,BA,NOVO,8,7.119629239106072,7,92.79912994646767,87.5,12.317293480045985,True,False,0
2018,BA,PATRI,39,2.3786307173090364,2,68.02852617972394,5.128205128205128,28.32167293805245,True,False,0
2018,BA,PC DO B,2,1.9981052949138036,2,100.0,100.0,,False,False,0
2018,BA,PCO,2,1.8638529611980938,2,100.0,100.0,,False,False,0
2018,BA,PDT,36,2.3925328926865492,2,69.95852446985069,5.555555555555555,1.5700934579439254,True,False,0
2018,BA,PHS,25,4.18872139220455,4,91.85041221750964,16.0,85.92463768115942,True,False,0
2018,BA,PMB,1,1.0,1,100.0,100.0,,False,False,0
2018,BA,PMN,8,2.3134897516021398,2,92.82296650717703,25.0,96.80851063829788,True,False,0
2018,BA,PODE,4,1.0594711317214769,1,97.10982658959537,25.0,97.02380952380952,True,False,0
2018,BA,PP,8,5.129202314512814,5,96.76123521424486,62.5,84.22534982630434,True,False,0
2018,BA,PPL,9,1.318052738336714,1,85.96491228070175,11.11111111111111,83.6734693877551,True,False,0
