ano_eleicao,sg_partido_norm,alvo,n_listas,H_observado,E_esperado,lift,denominador_pequeno
2018+2022,PROS,competitivos,49,32.0,14.007703680876741,2.284457233606838,False
2018+2022,PSOL,competitivos,54,29.0,12.73555853160154,2.2770889810635695,False
2018+2022,PTB,competitivos,52,47.0,22.004768494208722,2.1359006804534024,False
2018+2022,MDB,competitivos,52,136.0,65.4876707442884,2.076726786192215,False
2018+2022,PSDB,competitivos,52,100.5,48.43059362928363,2.075134588877567,False
2018+2022,PL,competitivos,25,95.72307692307692,46.43830559649387,2.0612956414650947,False
2018+2022,DEM,competitivos,27,44.0,21.78504171267329,2.0197344848049257,False
2018+2022,REDE,competitivos,52,15.5,7.774908424908426,1.993592612659301,False
2018+2022,PHS,competitivos,27,13.0,6.537497307074772,1.9885285437795308,False
2018+2022,AVANTE,competitivos,46,38.33333333333333,19.294530863754826,1.986746068303909,False
2018+2022,PPS,competitivos,26,18.0,9.197402597402597,1.9570742728042927,False
2018+2022,REPUBLICANOS,competitivos,27,96.0,49.461937040270236,1.940886381417696,False
2018+2022,PSB,competitivos,52,104.0,54.152025900958215,1.9205190991415841,False
2018+2022,PV,competitivos,54,30.0,15.645779220779222,1.9174500404656663,False
2018+2022,PRB,competitivos,26,38.0,19.863090737383068,1.9130960283276863,False
2018+2022,PRP,competitivos,25,6.0,3.138567572778099,1.9117001182450593,True
2018+2022,PT,competitivos,53,181.5,96.375380743716,1.8832610423885088,False
2018+2022,NOVO,competitivos,36,11.058823529411764,6.105982905982907,1.811145510835913,False
2018+2022,SOLIDARIEDADE,competitivos,51,57.0,32.18517704476986,1.77100159867732,False
2018+2022,PATRIOTA,competitivos,26,26.0,14.763347905927443,1.7611181532585216,False
2018+2022,PTC,competitivos,25,5.0,2.8405433646812956,1.7602266038846381,True
2018+2022,PODE,competitivos,53,65.5,37.445573607013586,1.7492054117641236,False
2018+2022,PP,competitivos,51,155.16666666666669,91.29145642498928,1.69968442549891,False
2018+2022,PSD,competitivos,53,150.66666666666666,88.7029278935595,1.698553477822756,False
2018+2022,PRTB,competitivos,43,4.0,2.4431623931623934,1.6372223193982858,True
2018+2022,PPL,competitivos,24,4.0,2.5656565656565657,1.5590551181102361,True
2018+2022,PR,competitivos,27,54.0,34.6972027972028,1.5563214220932342,False
2018+2022,PC DO B,competitivos,51,32.0,21.731623931623933,1.4725084559112718,False
2018+2022,PSL,competitivos,27,7.0,4.911564811693037,1.425207702305993,True
2018+2022,UNIAO,competitivos,26,122.0,86.4470337230634,1.4112687821172902,False
2018+2022,PMB,competitivos,34,3.0,2.1666666666666665,1.3846153846153848,True
2018+2022,AGIR,competitivos,22,1.0,0.8571428571428571,1.1666666666666667,True
2018+2022,DC,competitivos,46,1.25,1.8830303030303028,0.6638236240746702,True
2018+2022,PCB,competitivos,23,0.0,0.0,,True
2018+2022,PCO,competitivos,17,0.0,0.0,,True
2018+2022,PSTU,competitivos,29,0.0,0.0,,True
2018+2022,UP,competitivos,13,0.0,0.0,,True
2018+2022,PPL,eleitos,24,1.0,0.1111111111111111,9.0,True
2018+2022,PMN,eleitos,41,3.0,0.5833333333333334,5.142857142857142,True
