ano_eleicao,sg_partido_norm,n_listas,n_listas_financiadas,bancada,bancada_listas_financiadas,alvo,H_observado,E_esperado,H_maximo,lift,teto_lift,lift_normalizado,dp_nulo_lift,denominador_pequeno
2018,PMB,18,10,0,0,eleicao,0.0,0.0,0.0,,,,,True
2018,PMN,26,26,3,3,competitividade,7.0,2.1996012759170656,8.0,3.182394953413334,3.6370228039009533,0.8275980587596409,0.4994805005138391,True
2018,PMN,26,26,3,3,eleicao,3.0,0.5833333333333334,3.0,5.142857142857142,5.142857142857142,1.0,1.1074046611279638,True
2018,PODE,27,23,11,11,competitividade,20.0,9.508345195619889,21.0,2.1034154301858115,2.208586201695102,0.912980330768477,0.15469939525669446,False
2018,PODE,27,23,11,11,eleicao,10.0,3.7315478281231704,11.0,2.6798530959817892,2.9478384055799682,0.8624191263348735,0.34596122110128286,True
2018,PP,26,26,37,37,competitividade,58.0,37.04371184371185,61.0,1.56571782667739,1.6467032315055308,0.874771918736812,0.07614165828233027,False
2018,PP,26,26,37,37,eleicao,37.0,21.748717948717946,37.0,1.701249705258194,1.701249705258194,1.0,0.1148093109185481,False
2018,PPL,24,17,1,1,competitividade,4.0,2.5656565656565657,4.0,1.5590551181102361,1.5590551181102361,1.0,0.2294975061699161,True
2018,PPL,24,17,1,1,eleicao,1.0,0.1111111111111111,1.0,9.0,9.0,1.0,2.82842712474619,True
2018,PPS,26,25,8,8,competitividade,18.0,9.197402597402597,18.0,1.9570742728042927,1.9570742728042927,1.0,0.17734876045153236,False
2018,PPS,26,25,8,8,eleicao,8.0,3.255844155844156,8.0,2.4571200638213004,2.4571200638213004,1.0,0.40936438858826435,True
2018,PR,27,27,33,33,competitividade,54.0,34.6972027972028,55.0,1.5563214220932342,1.5851421891690347,0.9507457031653636,0.07112730262668852,False
2018,PR,27,27,33,33,eleicao,33.0,20.41140526140526,33.0,1.6167431677228898,1.6167431677228898,1.0,0.10313611170010217,False
2018,PRB,26,26,29,29,competitividade,38.0,19.863090737383068,42.0,1.9130960283276863,2.1144745576253374,0.8193063018623433,0.11754869343866015,False
2018,PRB,26,26,29,29,eleicao,29.0,14.855416815114527,29.0,1.9521498697023552,1.9521498697023552,1.0,0.131882514659499,False
2018,PROS,27,26,8,8,competitividade,21.0,10.60399499216645,30.0,1.9803856957225507,2.8291224224607867,0.5359869212054167,0.18798520838296381,False
2018,PROS,27,26,8,8,eleicao,7.0,2.524242424242424,8.0,2.7731092436974794,3.1692677070828337,0.81737686773658,0.44716935595407076,True
2018,PRP,25,21,4,4,competitividade,6.0,3.138567572778099,8.0,1.9117001182450593,2.5489334909934125,0.5885986219203887,0.3359822143155576,True
2018,PRP,25,21,4,4,eleicao,2.0,0.5982190324295588,4.0,3.3432570539880024,6.686514107976005,0.412072670443446,1.154320570056773,True
