universo,ano_eleicao,indicador,rotulo,n_listas,n_valido,indefinidos,media,desvio_padrao,minimo,q1,mediana,q3,maximo
Todas as listas,2022,C_menos_NECr,C − NECr,711,648,63,8.519199607407495,11.568893389058491,-8.881784197001252e-16,1.3176365338720277,4.0,9.845782473485857,65.98031456520886
Listas financiadas,2018,C,Candidaturas (C),786,786,0,9.408396946564885,14.126539353813591,1.0,2.0,4.0,9.75,97.0
Listas financiadas,2018,F,Competitivos prévios (F),786,786,0,1.11323155216285,1.6910865582781918,0.0,0.0,1.0,1.0,14.0
Listas financiadas,2018,recebedores,Recebedores positivos,786,786,0,7.104325699745547,11.040022459857894,1.0,1.0,3.0,7.0,95.0
Listas financiadas,2018,NECr,NECr,786,786,0,2.9621418990773116,3.1695848175911894,1.0,1.0,1.8781287826229383,3.5168189263922534,28.999841183986035
Listas financiadas,2018,k_top_necr,Posições Top-NECr (k),786,786,0,2.94910941475827,3.182348685309663,1.0,1.0,2.0,3.75,29.0
Listas financiadas,2018,C_sobre_NECr,C / NECr,786,786,0,3.2948552800688793,4.329094103802894,1.0,1.1381086657945099,1.9469058205584957,3.424258064231544,50.95263070816963
Listas financiadas,2018,NECr_sobre_C_pct,NECr / C (%),786,786,0,56.177908946767424,31.36717053746061,1.962607202221773,29.203511497125966,51.36365228240446,87.86516516479622,100.0
Listas financiadas,2018,k_sobre_C_pct,k / C (%),786,786,0,55.928818300719136,32.19965745921992,1.9230769230769231,27.832512315270936,50.0,100.0,100.0
Listas financiadas,2018,C_menos_NECr,C − NECr,786,786,0,6.446255047487574,12.600461263089056,0.0,0.35829632693194574,1.924042966480206,5.877906556468413,88.20626106157368
Listas financiadas,2022,C,Candidaturas (C),648,648,0,14.421296296296296,14.27809392631389,1.0,6.0,9.0,18.0,71.0
Listas financiadas,2022,F,Competitivos prévios (F),648,648,0,1.9799382716049383,2.9057155204044167,0.0,0.0,1.0,3.0,25.0
Listas financiadas,2022,recebedores,Recebedores positivos,648,648,0,13.25462962962963,13.277503379725651,1.0,5.0,9.0,16.0,70.0
Listas financiadas,2022,NECr,NECr,648,648,0,5.9020966888888005,4.8747390912118,1.0,2.4709163160732626,4.8144236052308536,7.575646764260641,37.6766117799526
Listas financiadas,2022,k_top_necr,Posições Top-NECr (k),648,648,0,5.901234567901234,4.894825677351806,1.0,2.0,5.0,8.0,38.0
Listas financiadas,2022,C_sobre_NECr,C / NECr,648,648,0,2.666839095909836,2.498581866341325,0.9999999999999998,1.280470568553922,1.8640930724388212,3.0025136397871557,33.66860939264637
Listas financiadas,2022,NECr_sobre_C_pct,NECr / C (%),648,648,0,55.3955485161147,27.15876746716185,2.9701256393987343,33.305497295394915,53.64539372816394,78.09632795017812,100.00000000000003
Listas financiadas,2022,k_sobre_C_pct,k / C (%),648,648,0,55.3183618348487,27.884262810508258,2.9411764705882355,33.333333333333336,50.0,77.77777777777777,100.0
Listas financiadas,2022,C_menos_NECr,C − NECr,648,648,0,8.519199607407495,11.568893389058491,-8.881784197001252e-16,1.3176365338720277,4.0,9.845782473485857,65.98031456520886
