ano_eleicao,sg_uf,sg_partido_norm,C,NECr,total_recursos_partidarios,lista_sem_recursos,E,k_top_necr,proporcao_top_necr,empate_corte_top_necr,k_80,proporcao_nucleo_80,empate_corte_nucleo_80,k_acima_igual,proporcao_acima_divisao_igual,empate_corte_acima_divisao_igual,top_necr__nucleo_80__comum,top_necr__nucleo_80__uniao,top_necr__nucleo_80__jaccard,top_necr__nucleo_80__A_contida_B,top_necr__nucleo_80__B_contida_A,top_necr__nucleo_80__pesos_identicos,top_necr__nucleo_80__concordancia_candidaturas,top_necr__acima_divisao_igual__comum,top_necr__acima_divisao_igual__uniao,top_necr__acima_divisao_igual__jaccard,top_necr__acima_divisao_igual__A_contida_B,top_necr__acima_divisao_igual__B_contida_A,top_necr__acima_divisao_igual__pesos_identicos,top_necr__acima_divisao_igual__concordancia_candidaturas,nucleo_80__acima_divisao_igual__comum,nucleo_80__acima_divisao_igual__uniao,nucleo_80__acima_divisao_igual__jaccard,nucleo_80__acima_divisao_igual__A_contida_B,nucleo_80__acima_divisao_igual__B_contida_A,nucleo_80__acima_divisao_igual__pesos_identicos,nucleo_80__acima_divisao_igual__concordancia_candidaturas,C_ref,E_ref,F,F_validos,recebedores,k_ref,C_sobre_NECr,NECr_sobre_C_pct,k_sobre_C_pct,C_menos_NECr,sem_recursos_candidatos
2018,MT,PSDB,4,2.6282784077257224,1095683.68,False,1,3,0.75,False,2,0.5,False,2,0.5,False,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,False,0.75,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,False,0.75,2.0,2.0,1.0,1.0,1.0,True,1.0,4,1,0.0,4,4,3.0,1.521908785706322,65.70696019314306,75.0,1.3717215922742776,0
2018,MT,PSL,5,2.8838248235879473,69416.28,False,1,3,0.6,False,3,0.6,False,2,0.4,False,3.0,3.0,1.0,1.0,1.0,True,1.0,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,False,0.8,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,False,0.8,5,1,1.0,5,4,3.0,1.7338085028962287,57.676496471758945,60.0,2.1161751764120527,1
2018,MT,PSOL,9,1.8955113302744468,111040.30000000002,False,0,2,0.2222222222222222,False,3,0.3333333333333333,False,1,0.1111111111111111,False,2.0,3.0,0.6666666666666666,1.0,0.6666666666666666,False,0.8888888888888888,1.0,2.0,0.5,0.5,1.0,False,0.8888888888888888,1.0,3.0,0.3333333333333333,0.3333333333333333,1.0,False,0.7777777777777778,9,0,0.0,9,9,2.0,4.74805919450606,21.06123700304941,22.22222222222222,7.104488669725553,0
2018,MT,PT,2,1.5152426250020032,1056666.97,False,1,2,1.0,False,2,1.0,False,1,0.5,False,2.0,2.0,1.0,1.0,1.0,True,1.0,1.0,2.0,0.5,0.5,1.0,False,0.5,1.0,2.0,0.5,0.5,1.0,False,0.5,2,1,0.0,2,2,2.0,1.3199206298709791,75.76213125010017,100.0,0.48475737499799676,0
2018,MT,PTB,2,1.4454798491114031,1872353.68,False,1,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,2,1,0.0,2,2,1.0,1.3836235774780836,72.27399245557015,50.0,0.5545201508885969,0
2018,MT,PTC,2,1.0,80000.0,False,0,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,2,0,0.0,2,1,1.0,2.0,50.0,50.0,1.0,1
2018,MT,PV,9,7.15142525384827,177022.0,False,0,7,0.7777777777777778,False,6,0.6666666666666666,False,4,0.4444444444444444,False,6.0,7.0,0.8571428571428571,0.8571428571428571,1.0,False,0.8888888888888888,4.0,7.0,0.5714285714285714,0.5714285714285714,1.0,False,0.6666666666666667,4.0,6.0,0.6666666666666666,0.6666666666666666,1.0,False,0.7777777777777778,9,0,0.0,9,9,7.0,1.2584903960447589,79.46028059831411,77.77777777777777,1.84857474615173,0
2018,MT,REDE,6,4.0,76.36,False,0,4,0.6666666666666666,False,4,0.6666666666666666,False,4,0.6666666666666666,False,4.0,4.0,1.0,1.0,1.0,True,1.0,4.0,4.0,1.0,1.0,1.0,True,1.0,4.0,4.0,1.0,1.0,1.0,True,1.0,6,0,0.0,6,4,4.0,1.5,66.66666666666667,66.66666666666667,2.0,2
2018,MT,SOLIDARIEDADE,2,1.0907546252782676,934048.91,False,1,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,2,1,0.0,2,2,1.0,1.8335929581685435,54.53773126391338,50.0,0.9092453747217324,0
2018,PA,AVANTE,2,1.0665307172418992,155140.0,False,0,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,2,0,0.0,2,2,1.0,1.8752390040599096,53.32653586209496,50.0,0.9334692827581008,0
2018,PA,DC,1,1.0,20828.78,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0,1,0,0.0,1,1,1.0,1.0,100.0,100.0,0.0,0
2018,PA,DEM,5,1.8042975854795695,1483000.0,False,2,2,0.4,False,2,0.4,False,2,0.4,False,2.0,2.0,1.0,1.0,1.0,True,1.0,2.0,2.0,1.0,1.0,1.0,True,1.0,2.0,2.0,1.0,1.0,1.0,True,1.0,5,2,2.0,5,4,2.0,2.7711614981023405,36.08595170959139,40.0,3.1957024145204302,1
2018,PA,MDB,6,3.0237006824327017,5568400.0,False,2,3,0.5,False,3,0.5,False,3,0.5,False,3.0,3.0,1.0,1.0,1.0,True,1.0,3.0,3.0,1.0,1.0,1.0,True,1.0,3.0,3.0,1.0,1.0,1.0,True,1.0,6,2,4.0,6,4,3.0,1.9843233937999223,50.39501137387836,50.0,2.9762993175672983,2
2018,PA,PATRI,16,,0.0,True,0,0,0.0,False,0,0.0,False,0,0.0,False,0.0,0.0,,,,True,1.0,0.0,0.0,,,,True,1.0,0.0,0.0,,,,True,1.0,16,0,0.0,16,0,0.0,,,0.0,,16
2018,PA,PC DO B,1,1.0,1237594.58,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0,1,0,1.0,1,1,1.0,1.0,100.0,100.0,0.0,0
2018,PA,PCB,1,1.0,10101.11,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0,1,0,0.0,1,1,1.0,1.0,100.0,100.0,0.0,0
2018,PA,PDT,4,1.2382118002838216,447000.0,False,0,1,0.25,False,1,0.25,False,1,0.25,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,4,0,1.0,4,3,1.0,3.2304650941649276,30.95529500709554,25.0,2.7617881997161784,1
2018,PA,PHS,5,1.0,26250.0,False,0,1,0.2,False,1,0.2,False,1,0.2,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,5,0,1.0,5,1,1.0,5.0,20.0,20.0,4.0,4
2018,PA,PMB,1,1.0,80000.0,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0,1,0,0.0,1,1,1.0,1.0,100.0,100.0,0.0,0
2018,PA,PMN,3,1.0,100000.0,False,0,1,0.3333333333333333,False,1,0.3333333333333333,False,1,0.3333333333333333,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,3,0,1.0,3,1,1.0,3.0,33.333333333333336,33.333333333333336,2.0,2
2018,PA,PODE,1,1.0,777400.0,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0,1,0,0.0,1,1,1.0,1.0,100.0,100.0,0.0,0
2018,PA,PP,1,1.0,1593372.0,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0,1,0,1.0,1,1,1.0,1.0,100.0,100.0,0.0,0
2018,PA,PPL,7,3.5337423312883436,4800.0,False,0,4,0.5714285714285714,False,3,0.42857142857142855,True,2,0.2857142857142857,False,3.0,4.0,0.75,0.75,1.0,False,0.8571428571428572,2.0,4.0,0.5,0.5,1.0,False,0.7142857142857143,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,False,0.8571428571428572,7,0,0.0,7,5,4.0,1.9809027777777777,50.48203330411919,57.142857142857146,3.4662576687116564,2
2018,PA,PPS,1,1.0,1168128.11,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0,1,0,1.0,1,1,1.0,1.0,100.0,100.0,0.0,0
2018,PA,PR,1,1.0,888515.03,False,1,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0,1,1,0.0,1,1,1.0,1.0,100.0,100.0,0.0,0
2018,PA,PRB,1,1.0,789031.0,False,1,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0,1,1,0.0,1,1,1.0,1.0,100.0,100.0,0.0,0
2018,PA,PROS,1,1.0,513885.0,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0,1,0,0.0,1,1,1.0,1.0,100.0,100.0,0.0,0
2018,PA,PRP,10,,0.0,True,0,0,0.0,False,0,0.0,False,0,0.0,False,0.0,0.0,,,,True,1.0,0.0,0.0,,,,True,1.0,0.0,0.0,,,,True,1.0,10,0,0.0,10,0,0.0,,,0.0,,10
2018,PA,PRTB,4,3.0,4890.0,False,0,3,0.75,False,3,0.75,False,3,0.75,False,3.0,3.0,1.0,1.0,1.0,True,1.0,3.0,3.0,1.0,1.0,1.0,True,1.0,3.0,3.0,1.0,1.0,1.0,True,1.0,4,0,0.0,4,3,3.0,1.3333333333333333,75.0,75.0,1.0,1
2018,PA,PSB,1,1.0,545600.0,False,1,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0,1,1,1.0,1,1,1.0,1.0,100.0,100.0,0.0,0
2018,PA,PSC,2,1.0,2300013.2,False,0,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,2,0,1.0,2,1,1.0,2.0,50.0,50.0,1.0,1
2018,PA,PSD,4,2.051687440273143,1406005.1500000001,False,3,2,0.5,False,2,0.5,False,1,0.25,False,2.0,2.0,1.0,1.0,1.0,True,1.0,1.0,2.0,0.5,0.5,1.0,False,0.75,1.0,2.0,0.5,0.5,1.0,False,0.75,4,3,3.0,4,4,2.0,1.9496147032354383,51.29218600682858,50.0,1.948312559726857,0
2018,PA,PSDB,6,2.662302229513351,1895869.21,False,2,3,0.5,False,2,0.3333333333333333,False,2,0.3333333333333333,False,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,False,0.8333333333333334,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,False,0.8333333333333334,2.0,2.0,1.0,1.0,1.0,True,1.0,6,2,4.0,6,6,3.0,2.253688530733325,44.37170382522252,50.0,3.337697770486649,0
2018,PA,PSL,2,1.0,1928.0,False,0,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,2,0,0.0,2,1,1.0,2.0,50.0,50.0,1.0,1
