ano_eleicao,sg_uf,sg_partido_norm,limiar,C,k,proporcao,lista_sem_recursos,massa_financeira,empate_corte
2018,AL,PP,60,5,1,0.2,False,0.6039971804599249,False
2018,AL,PP,70,5,2,0.4,False,0.8739991028736125,False
2018,AL,PP,80,5,2,0.4,False,0.8739991028736125,False
2018,AL,PP,90,5,3,0.6,False,0.963999743678175,False
2018,AL,PP,95,5,3,0.6,False,0.963999743678175,False
2018,AL,PPL,50,2,1,0.5,False,0.5,True
2018,AL,PPL,60,2,2,1.0,False,1.0,False
2018,AL,PPL,70,2,2,1.0,False,1.0,False
2018,AL,PPL,80,2,2,1.0,False,1.0,False
2018,AL,PPL,90,2,2,1.0,False,1.0,False
2018,AL,PPL,95,2,2,1.0,False,1.0,False
2018,AL,PPS,50,1,1,1.0,False,1.0,False
2018,AL,PPS,60,1,1,1.0,False,1.0,False
2018,AL,PPS,70,1,1,1.0,False,1.0,False
2018,AL,PPS,80,1,1,1.0,False,1.0,False
2018,AL,PPS,90,1,1,1.0,False,1.0,False
2018,AL,PPS,95,1,1,1.0,False,1.0,False
2018,AL,PR,50,1,1,1.0,False,1.0,False
2018,AL,PR,60,1,1,1.0,False,1.0,False
2018,AL,PR,70,1,1,1.0,False,1.0,False
2018,AL,PR,80,1,1,1.0,False,1.0,False
2018,AL,PR,90,1,1,1.0,False,1.0,False
2018,AL,PR,95,1,1,1.0,False,1.0,False
2018,AL,PRB,50,1,1,1.0,False,1.0,False
2018,AL,PRB,60,1,1,1.0,False,1.0,False
2018,AL,PRB,70,1,1,1.0,False,1.0,False
2018,AL,PRB,80,1,1,1.0,False,1.0,False
2018,AL,PRB,90,1,1,1.0,False,1.0,False
2018,AL,PRB,95,1,1,1.0,False,1.0,False
2018,AL,PROS,50,1,0,0.0,True,,False
2018,AL,PROS,60,1,0,0.0,True,,False
2018,AL,PROS,70,1,0,0.0,True,,False
2018,AL,PROS,80,1,0,0.0,True,,False
2018,AL,PROS,90,1,0,0.0,True,,False
2018,AL,PROS,95,1,0,0.0,True,,False
2018,AL,PRTB,50,2,1,0.5,False,0.975,False
2018,AL,PRTB,60,2,1,0.5,False,0.975,False
2018,AL,PRTB,70,2,1,0.5,False,0.975,False
2018,AL,PRTB,80,2,1,0.5,False,0.975,False
2018,AL,PRTB,90,2,1,0.5,False,0.975,False
2018,AL,PRTB,95,2,1,0.5,False,0.975,False
2018,AL,PSB,50,2,1,0.5,False,0.9961919268849961,False
2018,AL,PSB,60,2,1,0.5,False,0.9961919268849961,False
2018,AL,PSB,70,2,1,0.5,False,0.9961919268849961,False
2018,AL,PSB,80,2,1,0.5,False,0.9961919268849961,False
2018,AL,PSB,90,2,1,0.5,False,0.9961919268849961,False
2018,AL,PSB,95,2,1,0.5,False,0.9961919268849961,False
2018,AL,PSC,50,2,1,0.5,False,0.6,False
2018,AL,PSC,60,2,1,0.5,False,0.6,False
2018,AL,PSC,70,2,2,1.0,False,1.0,False
2018,AL,PSC,80,2,2,1.0,False,1.0,False
2018,AL,PSC,90,2,2,1.0,False,1.0,False
2018,AL,PSC,95,2,2,1.0,False,1.0,False
2018,AL,PSD,50,2,1,0.5,False,0.6999599946659555,False
2018,AL,PSD,60,2,1,0.5,False,0.6999599946659555,False
2018,AL,PSD,70,2,2,1.0,False,1.0,False
2018,AL,PSD,80,2,2,1.0,False,1.0,False
2018,AL,PSD,90,2,2,1.0,False,1.0,False
2018,AL,PSD,95,2,2,1.0,False,1.0,False
2018,AL,PSDB,50,3,1,0.3333333333333333,False,0.632525711853924,False
2018,AL,PSDB,60,3,1,0.3333333333333333,False,0.632525711853924,False
2018,AL,PSDB,70,3,2,0.6666666666666666,False,0.9569953456130708,False
2018,AL,PSDB,80,3,2,0.6666666666666666,False,0.9569953456130708,False
2018,AL,PSDB,90,3,2,0.6666666666666666,False,0.9569953456130708,False
2018,AL,PSDB,95,3,2,0.6666666666666666,False,0.9569953456130708,False
2018,AL,PSL,50,10,0,0.0,True,,False
2018,AL,PSL,60,10,0,0.0,True,,False
2018,AL,PSL,70,10,0,0.0,True,,False
2018,AL,PSL,80,10,0,0.0,True,,False
2018,AL,PSL,90,10,0,0.0,True,,False
2018,AL,PSL,95,10,0,0.0,True,,False
2018,AL,PSOL,50,2,1,0.5,False,0.9424369835739785,False
2018,AL,PSOL,60,2,1,0.5,False,0.9424369835739785,False
2018,AL,PSOL,70,2,1,0.5,False,0.9424369835739785,False
2018,AL,PSOL,80,2,1,0.5,False,0.9424369835739785,False
2018,AL,PSOL,90,2,1,0.5,False,0.9424369835739785,False
2018,AL,PSOL,95,2,2,1.0,False,1.0,False
2018,AL,PSTU,50,1,0,0.0,True,,False
2018,AL,PSTU,60,1,0,0.0,True,,False
2018,AL,PSTU,70,1,0,0.0,True,,False
2018,AL,PSTU,80,1,0,0.0,True,,False
2018,AL,PSTU,90,1,0,0.0,True,,False
2018,AL,PSTU,95,1,0,0.0,True,,False
2018,AL,PT,50,1,1,1.0,False,1.0,False
2018,AL,PT,60,1,1,1.0,False,1.0,False
2018,AL,PT,70,1,1,1.0,False,1.0,False
2018,AL,PT,80,1,1,1.0,False,1.0,False
2018,AL,PT,90,1,1,1.0,False,1.0,False
2018,AL,PT,95,1,1,1.0,False,1.0,False
2018,AL,PTB,50,2,1,0.5,False,0.7313973273384186,False
2018,AL,PTB,60,2,1,0.5,False,0.7313973273384186,False
2018,AL,PTB,70,2,1,0.5,False,0.7313973273384186,False
2018,AL,PTB,80,2,2,1.0,False,1.0,False
2018,AL,PTB,90,2,2,1.0,False,1.0,False
2018,AL,PTB,95,2,2,1.0,False,1.0,False
2018,AL,PTC,50,2,1,0.5,False,1.0,False
2018,AL,PTC,60,2,1,0.5,False,1.0,False
2018,AL,PTC,70,2,1,0.5,False,1.0,False
2018,AL,PTC,80,2,1,0.5,False,1.0,False
2018,AL,PTC,90,2,1,0.5,False,1.0,False
2018,AL,PTC,95,2,1,0.5,False,1.0,False
2018,AL,PV,50,2,1,0.5,False,0.9193433764912422,False
2018,AL,PV,60,2,1,0.5,False,0.9193433764912422,False
2018,AL,PV,70,2,1,0.5,False,0.9193433764912422,False
2018,AL,PV,80,2,1,0.5,False,0.9193433764912422,False
2018,AL,PV,90,2,1,0.5,False,0.9193433764912422,False
2018,AL,PV,95,2,2,1.0,False,1.0,False
2018,AL,REDE,50,1,1,1.0,False,1.0,False
2018,AL,REDE,60,1,1,1.0,False,1.0,False
2018,AL,REDE,70,1,1,1.0,False,1.0,False
2018,AL,REDE,80,1,1,1.0,False,1.0,False
2018,AL,REDE,90,1,1,1.0,False,1.0,False
2018,AL,REDE,95,1,1,1.0,False,1.0,False
2018,AL,SOLIDARIEDADE,50,1,0,0.0,True,,False
2018,AL,SOLIDARIEDADE,60,1,0,0.0,True,,False
2018,AL,SOLIDARIEDADE,70,1,0,0.0,True,,False
2018,AL,SOLIDARIEDADE,80,1,0,0.0,True,,False
2018,AL,SOLIDARIEDADE,90,1,0,0.0,True,,False
2018,AL,SOLIDARIEDADE,95,1,0,0.0,True,,False
2018,AM,AVANTE,50,4,1,0.25,False,0.5327853648357254,False
2018,AM,AVANTE,60,4,2,0.5,False,0.9756544320526792,False
2018,AM,AVANTE,70,4,2,0.5,False,0.9756544320526792,False
2018,AM,AVANTE,80,4,2,0.5,False,0.9756544320526792,False
2018,AM,AVANTE,90,4,2,0.5,False,0.9756544320526792,False
2018,AM,AVANTE,95,4,2,0.5,False,0.9756544320526792,False
2018,AM,DC,50,6,1,0.16666666666666666,False,0.5113029453757073,False
2018,AM,DC,60,6,2,0.3333333333333333,False,0.7655597271429326,False
2018,AM,DC,70,6,2,0.3333333333333333,False,0.7655597271429326,False
2018,AM,DC,80,6,3,0.5,False,0.8333509597588705,False
2018,AM,DC,90,6,5,0.8333333333333334,False,0.9459309396647454,False
2018,AM,DC,95,6,6,1.0,False,1.0,False
2018,AM,DEM,50,2,1,0.5,False,0.9211502782931354,False
2018,AM,DEM,60,2,1,0.5,False,0.9211502782931354,False
2018,AM,DEM,70,2,1,0.5,False,0.9211502782931354,False
2018,AM,DEM,80,2,1,0.5,False,0.9211502782931354,False
2018,AM,DEM,90,2,1,0.5,False,0.9211502782931354,False
2018,AM,DEM,95,2,2,1.0,False,1.0,False
2018,AM,MDB,50,7,1,0.14285714285714285,False,0.9363435911881074,False
2018,AM,MDB,60,7,1,0.14285714285714285,False,0.9363435911881074,False
2018,AM,MDB,70,7,1,0.14285714285714285,False,0.9363435911881074,False
2018,AM,MDB,80,7,1,0.14285714285714285,False,0.9363435911881074,False
2018,AM,MDB,90,7,1,0.14285714285714285,False,0.9363435911881074,False
2018,AM,MDB,95,7,2,0.2857142857142857,False,0.9504766449317127,False
2018,AM,PATRI,50,5,2,0.4,False,0.50017850767583,True
2018,AM,PATRI,60,5,3,0.6,False,0.7500892538379148,True
2018,AM,PATRI,70,5,3,0.6,False,0.7500892538379148,True
2018,AM,PATRI,80,5,4,0.8,False,1.0,False
2018,AM,PATRI,90,5,4,0.8,False,1.0,False
2018,AM,PATRI,95,5,4,0.8,False,1.0,False
2018,AM,PC DO B,50,8,2,0.25,False,0.660130721019878,False
2018,AM,PC DO B,60,8,2,0.25,False,0.660130721019878,False
2018,AM,PC DO B,70,8,3,0.375,False,0.7185023980690295,False
2018,AM,PC DO B,80,8,5,0.625,False,0.8352457521673324,False
2018,AM,PC DO B,90,8,7,0.875,False,0.9462935672207818,False
2018,AM,PC DO B,95,8,8,1.0,False,0.9999999999999999,False
2018,AM,PDT,50,3,1,0.3333333333333333,False,0.7142857142857143,False
2018,AM,PDT,60,3,1,0.3333333333333333,False,0.7142857142857143,False
2018,AM,PDT,70,3,1,0.3333333333333333,False,0.7142857142857143,False
2018,AM,PDT,80,3,2,0.6666666666666666,False,1.0,False
2018,AM,PDT,90,3,2,0.6666666666666666,False,1.0,False
2018,AM,PDT,95,3,2,0.6666666666666666,False,1.0,False
2018,AM,PHS,50,2,1,0.5,False,0.5608125615380629,False
2018,AM,PHS,60,2,2,1.0,False,1.0,False
2018,AM,PHS,70,2,2,1.0,False,1.0,False
2018,AM,PHS,80,2,2,1.0,False,1.0,False
2018,AM,PHS,90,2,2,1.0,False,1.0,False
2018,AM,PHS,95,2,2,1.0,False,1.0,False
2018,AM,PMB,50,9,1,0.1111111111111111,False,0.6774193548387096,False
2018,AM,PMB,60,9,1,0.1111111111111111,False,0.6774193548387096,False
2018,AM,PMB,70,9,2,0.2222222222222222,False,1.0,False
2018,AM,PMB,80,9,2,0.2222222222222222,False,1.0,False
2018,AM,PMB,90,9,2,0.2222222222222222,False,1.0,False
2018,AM,PMB,95,9,2,0.2222222222222222,False,1.0,False
2018,AM,PMN,50,7,2,0.2857142857142857,False,0.8333333333333334,False
2018,AM,PMN,60,7,2,0.2857142857142857,False,0.8333333333333334,False
2018,AM,PMN,70,7,2,0.2857142857142857,False,0.8333333333333334,False
2018,AM,PMN,80,7,2,0.2857142857142857,False,0.8333333333333334,False
2018,AM,PMN,90,7,3,0.42857142857142855,False,1.0,False
2018,AM,PMN,95,7,3,0.42857142857142855,False,1.0,False
2018,AM,PODE,50,5,1,0.2,False,0.5663265306122449,False
2018,AM,PODE,60,5,2,0.4,False,0.8112244897959183,False
2018,AM,PODE,70,5,2,0.4,False,0.8112244897959183,False
2018,AM,PODE,80,5,2,0.4,False,0.8112244897959183,False
2018,AM,PODE,90,5,3,0.6,False,0.9132653061224489,False
2018,AM,PODE,95,5,4,0.8,False,1.0,False
2018,AM,PP,50,2,1,0.5,False,1.0,False
2018,AM,PP,60,2,1,0.5,False,1.0,False
2018,AM,PP,70,2,1,0.5,False,1.0,False
2018,AM,PP,80,2,1,0.5,False,1.0,False
2018,AM,PP,90,2,1,0.5,False,1.0,False
2018,AM,PP,95,2,1,0.5,False,1.0,False
2018,AM,PPL,50,5,0,0.0,True,,False
2018,AM,PPL,60,5,0,0.0,True,,False
2018,AM,PPL,70,5,0,0.0,True,,False
2018,AM,PPL,80,5,0,0.0,True,,False
2018,AM,PPL,90,5,0,0.0,True,,False
2018,AM,PPL,95,5,0,0.0,True,,False
2018,AM,PPS,50,2,1,0.5,False,1.0,False
2018,AM,PPS,60,2,1,0.5,False,1.0,False
2018,AM,PPS,70,2,1,0.5,False,1.0,False
2018,AM,PPS,80,2,1,0.5,False,1.0,False
2018,AM,PPS,90,2,1,0.5,False,1.0,False
2018,AM,PPS,95,2,1,0.5,False,1.0,False
2018,AM,PR,50,3,1,0.3333333333333333,False,0.7154348919054802,False
