Ano,Partido,UF,Candidato,Peso fora,vr_receita_recursos_partidos,proprios,pessoas_fisicas,Eleito federal no pleito anterior,"Vitória federal mais antiga, sem vitória no pleito anterior",Vitória anterior para deputado estadual/distrital,Vitória anterior para prefeito,Vitória anterior para vereador,Votação histórica ≥ 10% do QE,Alguma vitória eleitoral anterior,Sem vitória nem votação relevante registrada,Mulheres,Pessoas pretas ou pardas
2018,PSL,RJ,JOZIEL FERREIRA CARLOS,1.0,5474.3,100.0,29575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,PSL,RJ,LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,1.0,6835.0,26.8,251109.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,PSL,RJ,MÁRCIO DA SILVEIRA LABRE,1.0,0.0,9200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,PSL,RJ,FELÍCIO LATERÇA DE ALMEIDA,1.0,0.0,35000.0,79450.20999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSL,RJ,CARLOS ROBERTO COELHO DE MATTOS JÚNIOR,1.0,1965.0,28745.0,21765.08,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2018,PSL,RJ,LOURIVAL GOMES DE ALMEIDA,1.0,0.0,201791.49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018,PSL,RJ,ANTÔNIO DA LUZ FURTADO,1.0,2155.0,34060.0,29045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,PSL,RJ,JOÃO CARLOS SOARES GURGEL,1.0,982.5,6340.55,40500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,PSL,RO,JOAO CHRISÓSTOMO DE MOURA,1.0,0.0,5300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,PSL,RS,ALCIBIO MESQUITA BIBO NUNES,1.0,0.0,207216.9,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSL,RS,UBIRATAN ANTUNES SANDERSON,1.0,0.0,5000.0,63935.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSL,RS,NEREU CRISPIM,1.0,0.0,18000.0,20108.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
