Ano,Partido,Perfil,Candidatos com perfil,Perfil no núcleo (ponderado),Núcleo válido (ponderado),Ausência no núcleo (ponderada),Composição do núcleo %,Composição fora %,Entrada no núcleo entre candidatos do perfil %
2022,PSTU,Votação histórica ≥ 10% do QE,0,0.0,21.0,0.0,0.0,0.0,
2022,PSTU,Alguma vitória eleitoral anterior,0,0.0,21.0,0.0,0.0,0.0,
2022,PSTU,Sem vitória nem votação relevante registrada,36,21.0,21.0,0.0,100.0,100.0,58.333333333333336
2022,PSTU,Mulheres,16,8.5,21.0,0.0,40.476190476190474,50.0,53.125
2022,PSTU,Pessoas pretas ou pardas,17,10.75,21.0,0.0,51.19047619047619,41.666666666666664,63.23529411764706
2022,PT,Eleito federal no pleito anterior,51,51.0,160.0,0.0,31.875,0.0,100.0
2022,PT,"Vitória federal mais antiga, sem vitória no pleito anterior",9,8.0,160.0,0.0,5.0,0.5025125628140703,88.88888888888889
2022,PT,Vitória anterior para deputado estadual/distrital,51,45.0,160.0,0.0,28.125,3.0150753768844223,88.23529411764706
2022,PT,Vitória anterior para prefeito,0,0.0,160.0,0.0,0.0,0.0,
2022,PT,Vitória anterior para vereador,28,13.0,160.0,0.0,8.125,7.5376884422110555,46.42857142857143
2022,PT,Votação histórica ≥ 10% do QE,111,93.0,160.0,0.0,58.125,9.045226130653266,83.78378378378379
2022,PT,Alguma vitória eleitoral anterior,107,86.0,160.0,0.0,53.75,10.552763819095478,80.37383177570094
2022,PT,Sem vitória nem votação relevante registrada,224,57.0,160.0,0.0,35.625,83.91959798994975,25.446428571428573
2022,PT,Mulheres,137,69.0,160.0,0.0,43.125,34.17085427135678,50.36496350364963
2022,PT,Pessoas pretas ou pardas,173,69.0,160.0,0.0,43.125,52.26130653266332,39.884393063583815
2022,PTB,Eleito federal no pleito anterior,2,2.0,108.0,0.0,1.8518518518518519,0.0,100.0
2022,PTB,"Vitória federal mais antiga, sem vitória no pleito anterior",4,4.0,108.0,0.0,3.7037037037037037,0.0,100.0
2022,PTB,Vitória anterior para deputado estadual/distrital,6,4.0,108.0,0.0,3.7037037037037037,0.5494505494505495,66.66666666666667
2022,PTB,Vitória anterior para prefeito,2,0.0,108.0,0.0,0.0,0.5494505494505495,0.0
2022,PTB,Vitória anterior para vereador,16,4.0,108.0,0.0,3.7037037037037037,3.2967032967032965,25.0
2022,PTB,Votação histórica ≥ 10% do QE,36,26.0,108.0,0.0,24.074074074074073,2.7472527472527473,72.22222222222223
2022,PTB,Alguma vitória eleitoral anterior,30,14.0,108.0,0.0,12.962962962962964,4.395604395604396,46.666666666666664
2022,PTB,Sem vitória nem votação relevante registrada,423,79.0,108.0,0.0,73.14814814814815,94.50549450549451,18.67612293144208
2022,PTB,Mulheres,158,43.166666666666664,108.0,0.0,39.96913580246913,31.54761904761905,27.32067510548523
2022,PTB,Pessoas pretas ou pardas,192,47.166666666666664,104.0,4.0,45.352564102564095,44.02228976697062,24.565972222222218
2022,PV,Eleito federal no pleito anterior,3,3.0,54.0,0.0,5.555555555555555,0.0,100.0
2022,PV,"Vitória federal mais antiga, sem vitória no pleito anterior",0,0.0,54.0,0.0,0.0,0.0,
2022,PV,Vitória anterior para deputado estadual/distrital,8,7.0,54.0,0.0,12.962962962962964,3.0303030303030303,87.5
2022,PV,Vitória anterior para prefeito,1,1.0,54.0,0.0,1.8518518518518519,0.0,100.0
2022,PV,Vitória anterior para vereador,12,8.0,54.0,0.0,14.814814814814815,12.121212121212121,66.66666666666667
2022,PV,Votação histórica ≥ 10% do QE,13,10.0,54.0,0.0,18.51851851851852,9.090909090909092,76.92307692307692
2022,PV,Alguma vitória eleitoral anterior,21,16.0,54.0,0.0,29.62962962962963,15.151515151515152,76.19047619047619
2022,PV,Sem vitória nem votação relevante registrada,63,36.0,54.0,0.0,66.66666666666667,81.81818181818181,57.142857142857146
2022,PV,Mulheres,39,26.0,54.0,0.0,48.148148148148145,39.39393939393939,66.66666666666667
2022,PV,Pessoas pretas ou pardas,39,27.0,54.0,0.0,50.0,36.36363636363637,69.23076923076923
2022,REDE,Eleito federal no pleito anterior,2,2.0,84.0,0.0,2.380952380952381,0.0,100.0
2022,REDE,"Vitória federal mais antiga, sem vitória no pleito anterior",1,1.0,84.0,0.0,1.1904761904761905,0.0,100.0
2022,REDE,Vitória anterior para deputado estadual/distrital,2,2.0,84.0,0.0,2.380952380952381,0.0,100.0
2022,REDE,Vitória anterior para prefeito,0,0.0,84.0,0.0,0.0,0.0,
2022,REDE,Vitória anterior para vereador,7,5.0,84.0,0.0,5.9523809523809526,2.2222222222222223,71.42857142857143
2022,REDE,Votação histórica ≥ 10% do QE,13,12.0,84.0,0.0,14.285714285714286,1.1111111111111112,92.3076923076923
2022,REDE,Alguma vitória eleitoral anterior,14,12.0,84.0,0.0,14.285714285714286,2.2222222222222223,85.71428571428571
2022,REDE,Sem vitória nem votação relevante registrada,155,68.0,84.0,0.0,80.95238095238095,96.66666666666667,43.87096774193548
2022,REDE,Mulheres,63,34.75,84.0,0.0,41.36904761904762,31.38888888888889,55.15873015873016
2022,REDE,Pessoas pretas ou pardas,89,39.5,84.0,0.0,47.023809523809526,55.0,44.38202247191011
2022,REPUBLICANOS,Eleito federal no pleito anterior,37,37.0,208.0,0.0,17.78846153846154,0.0,100.0
2022,REPUBLICANOS,"Vitória federal mais antiga, sem vitória no pleito anterior",11,10.0,208.0,0.0,4.8076923076923075,0.33222591362126247,90.9090909090909
2022,REPUBLICANOS,Vitória anterior para deputado estadual/distrital,33,32.0,208.0,0.0,15.384615384615385,0.33222591362126247,96.96969696969697
2022,REPUBLICANOS,Vitória anterior para prefeito,5,3.0,208.0,0.0,1.4423076923076923,0.6644518272425249,60.0
2022,REPUBLICANOS,Vitória anterior para vereador,25,11.166666666666666,208.0,0.0,5.368589743589743,4.59579180509413,44.66666666666666
2022,REPUBLICANOS,Votação histórica ≥ 10% do QE,107,95.0,208.0,0.0,45.67307692307692,3.9867109634551494,88.78504672897196
2022,REPUBLICANOS,Alguma vitória eleitoral anterior,93,75.16666666666667,208.0,0.0,36.13782051282051,5.92469545957918,80.82437275985663
2022,REPUBLICANOS,Sem vitória nem votação relevante registrada,382,106.83333333333333,208.0,0.0,51.36217948717948,91.41749723145071,27.96684118673647
2022,REPUBLICANOS,Mulheres,171,66.33333333333333,208.0,0.0,31.89102564102564,34.772978959025465,38.79142300194932
2022,REPUBLICANOS,Pessoas pretas ou pardas,224,89.83333333333334,208.0,0.0,43.18910256410257,44.57364341085272,40.10416666666667
2022,SOLIDARIEDADE,Eleito federal no pleito anterior,6,6.0,138.0,0.0,4.3478260869565215,0.0,100.0
2022,SOLIDARIEDADE,"Vitória federal mais antiga, sem vitória no pleito anterior",4,3.0,138.0,0.0,2.1739130434782608,0.425531914893617,75.0
2022,SOLIDARIEDADE,Vitória anterior para deputado estadual/distrital,3,3.0,138.0,0.0,2.1739130434782608,0.0,100.0
2022,SOLIDARIEDADE,Vitória anterior para prefeito,0,0.0,138.0,0.0,0.0,0.0,
2022,SOLIDARIEDADE,Vitória anterior para vereador,17,6.5,138.0,0.0,4.7101449275362315,4.468085106382978,38.23529411764706
2022,SOLIDARIEDADE,Votação histórica ≥ 10% do QE,31,27.0,138.0,0.0,19.565217391304348,1.702127659574468,87.09677419354838
2022,SOLIDARIEDADE,Alguma vitória eleitoral anterior,30,18.5,138.0,0.0,13.405797101449275,4.8936170212765955,61.666666666666664
2022,SOLIDARIEDADE,Sem vitória nem votação relevante registrada,326,105.5,138.0,0.0,76.44927536231884,93.82978723404256,32.36196319018405
2022,SOLIDARIEDADE,Mulheres,133,51.5,138.0,0.0,37.31884057971015,34.680851063829785,38.721804511278194
2022,SOLIDARIEDADE,Pessoas pretas ou pardas,174,65.0,138.0,0.0,47.10144927536232,46.38297872340426,37.35632183908046
2022,UNIAO,Eleito federal no pleito anterior,42,42.0,281.0,0.0,14.946619217081851,0.0,100.0
2022,UNIAO,"Vitória federal mais antiga, sem vitória no pleito anterior",17,14.5,281.0,0.0,5.160142348754448,1.1682242990654206,85.29411764705883
2022,UNIAO,Vitória anterior para deputado estadual/distrital,35,34.0,281.0,0.0,12.099644128113878,0.4672897196261682,97.14285714285714
2022,UNIAO,Vitória anterior para prefeito,0,0.0,281.0,0.0,0.0,0.0,
2022,UNIAO,Vitória anterior para vereador,39,24.5,281.0,0.0,8.718861209964412,6.775700934579439,62.82051282051282
2022,UNIAO,Votação histórica ≥ 10% do QE,129,114.0,281.0,0.0,40.569395017793596,7.009345794392523,88.37209302325581
2022,UNIAO,Alguma vitória eleitoral anterior,117,99.0,281.0,0.0,35.23131672597865,8.411214953271028,84.61538461538461
2022,UNIAO,Sem vitória nem votação relevante registrada,338,152.5,281.0,0.0,54.270462633451956,86.6822429906542,45.11834319526627
