Ano,Partido,UF,C,E,K,A,M,magnitude,esperado,amplitude,cobertura,precisao
2018,PC DO B,DF,2,0,1.0,0.0,8,8–12,0.0,50.0,,0.0
2018,PC DO B,ES,1,0,1.0,0.0,10,8–12,0.0,100.0,,0.0
2018,PC DO B,GO,3,0,1.0,0.0,17,16–31,0.0,33.333333333333336,,0.0
2018,PC DO B,MA,4,2,2.0,2.0,18,16–31,1.0,50.0,100.0,100.0
2018,PC DO B,MG,8,0,1.0,0.0,53,39–70,0.0,12.5,,0.0
2018,PC DO B,MS,4,0,1.0,0.0,8,8–12,0.0,25.0,,0.0
2018,PC DO B,MT,2,0,2.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PC DO B,PA,1,0,1.0,0.0,17,16–31,0.0,100.0,,0.0
2018,PC DO B,PB,4,0,2.0,0.0,12,8–12,0.0,50.0,,0.0
2018,PC DO B,PE,1,1,1.0,1.0,25,16–31,1.0,100.0,100.0,100.0
2018,PC DO B,PI,1,0,1.0,0.0,10,8–12,0.0,100.0,,0.0
2018,PC DO B,PR,15,0,1.0,0.0,30,16–31,0.0,6.666666666666667,,0.0
2018,PC DO B,RJ,9,1,1.0,1.0,46,39–70,0.1111111111111111,11.11111111111111,100.0,100.0
2018,PC DO B,RN,6,0,2.0,0.0,8,8–12,0.0,33.333333333333336,,0.0
2018,PC DO B,RO,2,0,1.0,0.0,8,8–12,0.0,50.0,,0.0
2018,PC DO B,RR,4,0,1.0,0.0,8,8–12,0.0,25.0,,0.0
2018,PC DO B,RS,26,0,4.0,0.0,31,16–31,0.0,15.384615384615385,,0.0
2018,PC DO B,SC,1,0,1.0,0.0,16,16–31,0.0,100.0,,0.0
2018,PC DO B,SE,2,0,1.0,0.0,8,8–12,0.0,50.0,,0.0
2018,PC DO B,SP,2,1,1.0,1.0,70,39–70,0.5,50.0,100.0,100.0
2018,PC DO B,TO,2,0,1.0,0.0,8,8–12,0.0,50.0,,0.0
2018,PCB,DF,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PCB,GO,1,0,1.0,0.0,17,16–31,0.0,100.0,,0.0
