Ano,Partido,Listas,Listas sem núcleo,Candidatos,Posições no núcleo,Eleitos,Eleitos dentro,Eleitos fora,Não eleitos dentro,Amplitude agregada %,Amplitude mediana das listas %,Cobertura %,Precisão %,Lift
2022,NOVO,17,0,210,87.0,3,2.0,1.0,85.0,41.42857142857143,66.66666666666667,66.66666666666667,2.2988505747126435,2.829015544041451
2022,PATRIOTA,26,1,442,215.0,4,4.0,0.0,211.0,48.64253393665158,50.0,100.0,1.8604651162790697,3.3733681462140996
2022,PC DO B,24,0,63,43.0,6,6.0,0.0,37.0,68.25396825396825,58.333333333333336,100.0,13.953488372093023,1.8556701030927836
2022,PCB,10,10,35,0.0,0,0.0,0.0,0.0,0.0,0.0,,,
2022,PCO,13,1,30,29.0,0,0.0,0.0,29.0,96.66666666666667,100.0,,0.0,
2022,PDT,27,0,456,164.0,17,17.0,0.0,147.0,35.96491228070175,37.5,100.0,10.365853658536585,2.309688896988492
2022,PL,25,0,485,164.0,99,79.6923076923077,19.307692307692307,84.3076923076923,33.81443298969072,38.888888888888886,80.4972804972805,48.59287054409006,2.2526111007227128
2022,PMB,16,11,184,70.0,0,0.0,0.0,70.0,38.04347826086956,0.0,,0.0,
2022,PMN,15,1,266,91.0,0,0.0,0.0,91.0,34.21052631578947,29.78723404255319,,0.0,
2022,PODE,26,2,481,213.0,12,10.5,1.5,202.5,44.28274428274428,54.37352245862884,87.5,4.929577464788732,2.340280269694106
2022,PP,25,0,481,188.0,47,47.0,0.0,141.0,39.08523908523909,54.54545454545455,100.0,25.0,2.0981369354755
2022,PROS,22,8,340,66.0,3,3.0,0.0,63.0,19.41176470588235,13.479373201151263,100.0,4.545454545454546,6.134484659195297
2022,PRTB,19,2,295,100.0,0,0.0,0.0,100.0,33.898305084745765,30.0,,0.0,
2022,PSB,25,1,426,150.0,14,13.0,1.0,137.0,35.2112676056338,41.1764705882353,92.85714285714286,8.666666666666666,2.2671851401114016
2022,PSC,23,4,404,118.0,6,6.0,0.0,112.0,29.207920792079207,30.76923076923077,100.0,5.084745762711864,3.998666554599705
2022,PSD,26,1,403,182.0,42,40.0,2.0,142.0,45.16129032258065,47.667342799188646,95.23809523809524,21.978021978021978,1.8605384566833754
2022,PSDB,25,1,293,107.0,13,12.0,1.0,95.0,36.51877133105802,40.0,92.3076923076923,11.214953271028037,2.435312852027646
2022,PSOL,27,0,305,159.0,12,12.0,0.0,147.0,52.131147540983605,71.42857142857143,100.0,7.547169811320755,3.153545032029713
2022,PSTU,13,2,36,21.0,0,0.0,0.0,21.0,58.333333333333336,100.0,,0.0,
2022,PT,27,0,359,160.0,69,68.0,1.0,92.0,44.56824512534819,49.12280701754386,98.55072463768116,42.5,2.1671331630867336
2022,PTB,26,3,472,108.0,1,0.0,1.0,108.0,22.88135593220339,24.014336917562723,0.0,0.0,0.0
2022,PV,27,0,87,54.0,6,4.0,2.0,50.0,62.06896551724138,66.66666666666667,66.66666666666667,7.407407407407407,1.28
2022,REDE,25,1,174,84.0,2,2.0,0.0,82.0,48.275862068965516,62.5,100.0,2.380952380952381,5.478260869565218
2022,REPUBLICANOS,27,0,509,208.0,40,40.0,0.0,168.0,40.86444007858546,44.44444444444444,100.0,19.23076923076923,2.1294668251530817
2022,SOLIDARIEDADE,24,2,373,138.0,4,4.0,0.0,134.0,36.997319034852545,42.640692640692635,100.0,2.898550724637681,4.590150250417362
2022,UNIAO,26,0,495,281.0,59,58.5,0.5,222.5,56.76767676767677,62.019230769230774,99.15254237288136,20.818505338078293,1.5916739388067835
2022,UP,13,0,18,17.0,0,0.0,0.0,17.0,94.44444444444444,100.0,,0.0,
