ano,uf,partido,C,recebedores,R_l,NECr,k,soma_w,E,H_eleitos,esperado_eleitos,G_comp,H_comp,empate_fronteira,q,n_no_bloco,E_maior_k,k_igual_C,k_maior_recebedores
2018,BA,DEM,38,21,5892500.0,8.389786520975568,8,8.0,4,4.0,0.8421052631578947,9,6.0,False,260250.0,1,False,False,False
2018,BA,MDB,36,29,2980019.1,3.6430974001337475,4,4.0,0,0.0,0.0,4,3.0,False,120000.0,1,False,False,False
2018,BA,NOVO,8,8,32623.28,7.119629239106072,7,7.0,0,0.0,0.0,0,0.0,False,2679.16,1,False,False,False
2018,BA,PATRI,39,35,233950.7099999999,2.378630717309037,2,2.0,0,0.0,0.0,2,1.0,False,8443.11,1,False,False,False
2018,BA,PC DO B,2,2,2810335.87,1.9981052949138038,2,2.0,2,2.0,2.0,2,2.0,False,1361897.64,1,False,True,False
2018,BA,PCO,2,2,3700.0,1.863852961198094,2,2.0,0,0.0,0.0,0,0.0,False,1350.0,1,False,True,False
2018,BA,PDT,36,26,1258245.52,2.3925328926865492,2,2.0,2,1.0,0.1111111111111111,4,2.0,False,80250.0,1,False,False,False
2018,BA,PHS,25,15,389985.86,4.188721392204549,4,4.0,2,1.0,0.32,5,1.0,False,34500.0,1,False,False,False
2018,BA,PMB,1,1,385000.0,1.0,1,1.0,0,0.0,0.0,1,1.0,False,385000.0,1,False,True,False
2018,BA,PMN,8,7,209000.0,2.3134897516021398,2,2.0,0,0.0,0.0,0,0.0,False,94000.0,1,False,False,False
2018,BA,PODE,4,2,865000.0,1.0594711317214769,1,1.0,1,1.0,0.25,1,1.0,False,840000.0,1,False,False,False
2018,BA,PP,8,7,8470822.0,5.129202314512814,5,5.0,4,4.0,2.5,5,5.0,False,1232040.0,1,False,False,False
2018,BA,PPL,9,2,114000.0,1.3180527383367138,1,1.0,1,1.0,0.1111111111111111,0,0.0,False,98000.0,1,False,False,False
2018,BA,PPS,1,1,436587.88,1.0,1,1.0,0,0.0,0.0,1,1.0,False,436587.88,1,False,True,False
2018,BA,PR,3,3,4780000.0,2.905294745943747,3,3.0,2,2.0,2.0,3,3.0,False,1380000.0,1,False,True,False
2018,BA,PRB,4,4,4602549.8100000005,3.2478317021931464,3,3.0,2,2.0,1.5,2,2.0,False,1000159.0,1,False,False,False
2018,BA,PROS,12,1,256140.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,256140.0,1,False,False,False
2018,BA,PRP,11,7,215000.0,1.1544993631209572,1,1.0,1,0.0,0.09090909090909091,0,0.0,False,200000.0,1,False,False,False
2018,BA,PRTB,9,3,84712.0,2.0059389804084793,2,2.0,0,0.0,0.0,1,1.0,False,20700.0,1,False,False,False
2018,BA,PSB,6,5,2116439.11,1.7743102674703857,2,2.0,2,2.0,0.6666666666666666,2,2.0,False,400000.0,1,False,False,False
2018,BA,PSC,9,9,579941.9600000001,1.5454995927587454,2,2.0,0,0.0,0.0,0,0.0,False,26970.97,1,False,False,False
2018,BA,PSD,10,10,6709773.05,8.70164949571133,9,9.0,5,5.0,4.5,5,5.0,True,200000.0,2,False,False,False
2018,BA,PSDB,8,7,3375182.21,3.1305183360689806,3,3.0,1,1.0,0.375,2,2.0,False,302250.0,1,False,False,False
2018,BA,PSL,4,2,484200.0,1.0033098792260402,1,1.0,1,1.0,0.25,0,0.0,False,483400.0,1,False,False,False
2018,BA,PSOL,50,30,214614.28000000003,12.39578519224496,12,12.0,0,0.0,0.0,0,0.0,False,3500.0,1,False,False,False
2018,BA,PT,12,12,6952204.0,8.874872316893537,9,9.0,7,7.0,5.25,9,9.0,True,471000.0,2,False,False,False
2018,BA,PTB,3,3,2768728.64,1.2680424062845825,1,1.0,0,0.0,0.0,2,1.0,False,2446652.75,1,False,False,False
2018,BA,PTC,22,11,295833.28,1.965572843172548,2,2.0,0,0.0,0.0,2,1.0,False,60000.0,1,False,False,False
2018,BA,PV,12,11,1226253.88,4.174670062981458,4,4.0,0,0.0,0.0,2,2.0,False,100000.0,1,False,False,False
2018,BA,REDE,20,19,138636.44999999998,2.329581723134746,2,2.0,0,0.0,0.0,0,0.0,False,5443.11,1,False,False,False
2018,BA,SOLIDARIEDADE,6,4,1628000.0,1.0679306985188939,1,1.0,0,0.0,0.0,0,0.0,False,1575000.0,1,False,False,False
2018,CE,AVANTE,6,2,1162500.0,1.057474580996024,1,1.0,0,0.0,0.0,1,1.0,False,1130000.0,1,False,False,False
2018,CE,DC,7,7,34392.85,5.529086523414407,6,6.0,0,0.0,0.0,0,0.0,False,3000.0,1,False,False,False
2018,CE,DEM,6,3,1010000.0,1.1512894306190395,1,1.0,0,0.0,0.0,1,1.0,False,940000.0,1,False,False,False
2018,CE,MDB,6,5,3458871.4399999995,3.340938300995489,3,3.0,1,1.0,0.5,1,1.0,False,702742.86,1,False,False,False
2018,CE,NOVO,6,5,8596.34,4.289309328097348,4,4.0,0,0.0,0.0,0,0.0,True,1148.87,2,False,False,False
2018,CE,PATRI,19,18,124704.34999999999,8.856005948272141,9,9.0,1,0.0,0.47368421052631576,0,0.0,False,5005.0,1,False,False,False
2018,CE,PC DO B,3,3,2110480.51,1.986100507323122,2,2.0,0,0.0,0.0,2,2.0,False,832400.0,1,False,False,False
2018,CE,PDT,14,6,1790000.0,3.1378905102340617,3,3.0,6,2.0,1.2857142857142858,6,3.0,True,500000.0,2,True,False,False
2018,CE,PHS,5,4,47379.5,2.456857360657282,2,2.0,0,0.0,0.0,0,0.0,False,12500.0,1,False,False,False
2018,CE,PMN,3,2,620000.0,1.1740989615149666,1,1.0,0,0.0,0.0,0,0.0,False,570000.0,1,False,False,False
2018,CE,PODE,3,1,700000.0,1.0,1,1.0,0,0.0,0.0,1,1.0,False,700000.0,1,False,False,False
2018,CE,PP,3,3,3416037.5,1.8673689498124657,2,2.0,1,1.0,0.6666666666666666,0,0.0,False,968077.5,1,False,False,False
2018,CE,PPL,2,0,0.0,,0,0.0,0,0.0,0.0,0,0.0,False,,0,False,False,False
2018,CE,PPS,5,5,654064.05,1.247117644876788,1,1.0,0,0.0,0.0,1,1.0,False,584064.05,1,False,False,False
2018,CE,PR,4,4,4126666.67,1.9686320127447727,2,2.0,1,1.0,0.5,2,2.0,False,1700000.0,1,False,False,False
2018,CE,PRB,1,1,1119020.0,1.0,1,1.0,0,0.0,0.0,1,1.0,False,1119020.0,1,False,True,False
2018,CE,PROS,30,30,2295818.7199999997,5.719352282766164,6,6.0,2,2.0,0.4,5,2.0,False,109500.0,1,False,False,False
2018,CE,PRP,1,1,215.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,215.0,1,False,True,False
2018,CE,PRTB,5,5,49976.25,3.569244637695571,4,4.0,0,0.0,0.0,1,1.0,True,5000.0,2,False,False,False
2018,CE,PSB,3,3,1810000.0,1.7593577144084633,2,2.0,1,1.0,0.6666666666666666,1,1.0,False,400000.0,1,False,False,False
2018,CE,PSC,1,1,1272500.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,1272500.0,1,False,True,False
2018,CE,PSD,5,4,1464939.8,1.9756965538472115,2,2.0,1,1.0,0.4,2,2.0,False,550000.0,1,False,False,False
2018,CE,PSDB,13,11,3380620.35,3.9441375771508183,4,4.0,1,1.0,0.3076923076923077,4,3.0,False,290120.35,1,False,False,False
2018,CE,PSL,21,1,50000.0,1.0,1,1.0,1,1.0,0.047619047619047616,0,0.0,False,50000.0,1,False,False,False
2018,CE,PSOL,23,23,241072.21000000005,5.846991011512567,6,6.0,0,0.0,0.0,0,0.0,True,11895.66,3,False,False,False
2018,CE,PSTU,1,0,0.0,,0,0.0,0,0.0,0.0,0,0.0,False,,0,False,False,False
2018,CE,PT,12,12,3944432.5999999996,4.569792451040216,5,5.0,3,3.0,1.25,4,4.0,False,90743.4,1,False,False,False
2018,CE,PTB,2,2,295000.0,1.653681710213777,2,2.0,1,1.0,1.0,0,0.0,False,80000.0,1,False,True,False
2018,CE,PV,2,2,679688.01,1.031676969497813,1,1.0,1,1.0,0.5,0,0.0,False,669088.01,1,False,False,False
2018,CE,REDE,15,14,23440.0,13.465453689906678,13,13.0,0,0.0,0.0,0,0.0,True,1480.0,9,False,False,False
2018,CE,SOLIDARIEDADE,2,2,890000.0,1.5347800813795778,2,2.0,1,1.0,1.0,2,2.0,False,200000.0,1,False,True,False
2018,DF,AVANTE,8,8,126989.17000000001,6.720373540372146,7,7.0,0,0.0,0.0,0,0.0,False,9312.79,1,False,False,False
2018,DF,DC,10,10,27961.5,9.929373971578451,10,10.0,0,0.0,0.0,0,0.0,False,2580.0,1,False,True,False
2018,DF,DEM,3,1,855000.0,1.0,1,1.0,1,0.0,0.3333333333333333,0,0.0,False,855000.0,1,False,False,False
2018,DF,MDB,3,3,2578885.08,1.3637565986407543,1,1.0,0,0.0,0.0,2,1.0,False,2184411.18,1,False,False,False
2018,DF,NOVO,6,6,9404.96,4.473596548192738,4,4.0,0,0.0,0.0,0,0.0,True,1099.1599999999999,4,False,False,False
2018,DF,PATRI,1,1,40000.0,1.0,1,1.0,0,0.0,0.0,1,1.0,False,40000.0,1,False,True,False
2018,DF,PC DO B,2,2,74760.0,1.1732012610744522,1,1.0,0,0.0,0.0,0,0.0,False,68760.0,1,False,False,False
2018,DF,PCB,1,1,10101.11,1.0,1,1.0,0,0.0,0.0,0,0.0,False,10101.11,1,False,True,False
2018,DF,PDT,4,3,25700.0,2.338100463733229,2,2.0,0,0.0,0.0,0,0.0,False,5700.0,1,False,False,False
2018,DF,PHS,3,3,297721.36,2.2889827408019205,2,2.0,0,0.0,0.0,1,1.0,False,120000.0,1,False,False,False
2018,DF,PMB,1,1,27000.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,27000.0,1,False,True,False
2018,DF,PMN,5,1,150000.0,1.0,1,1.0,0,0.0,0.0,1,1.0,False,150000.0,1,False,False,False
2018,DF,PODE,1,1,750553.6,1.0,1,1.0,0,0.0,0.0,1,1.0,False,750553.6,1,False,True,False
2018,DF,PP,2,2,3318490.0,1.8282762174659832,2,2.0,1,1.0,1.0,2,2.0,False,1150728.75,1,False,True,False
2018,DF,PPL,13,10,115814.73,6.050131102092195,6,6.0,0,0.0,0.0,0,0.0,False,5824.7,1,False,False,False
2018,DF,PPS,4,4,133040.0,1.6959479705588199,2,2.0,1,1.0,0.5,0,0.0,False,17140.0,1,False,False,False
2018,DF,PR,5,5,4885150.0,2.2014613098550235,2,2.0,1,1.0,0.4,1,1.0,False,2244900.0,1,False,False,False
2018,DF,PRB,3,3,930951.7199999999,1.1823617364982388,1,1.0,1,1.0,0.3333333333333333,1,1.0,False,853819.19,1,False,False,False
2018,DF,PROS,7,7,3422291.4800000004,3.452996120917203,3,3.0,0,0.0,0.0,2,1.0,False,539895.49,1,False,False,False
2018,DF,PRP,9,5,126536.87999999999,1.802135160778948,2,2.0,1,1.0,0.2222222222222222,0,0.0,False,25000.0,1,False,False,False
2018,DF,PRTB,5,5,29750.0,4.02644299118567,4,4.0,0,0.0,0.0,0,0.0,True,5750.0,2,False,False,False
2018,DF,PSB,2,2,1349725.6400000001,1.8741730581001421,2,2.0,0,0.0,0.0,1,1.0,False,500000.0,1,False,True,False
2018,DF,PSC,4,4,466042.23000000004,3.4901482125620324,3,3.0,0,0.0,0.0,1,0.0,False,93587.32,1,False,False,False
2018,DF,PSD,1,1,436278.52,1.0,1,1.0,0,0.0,0.0,0,0.0,False,436278.52,1,False,True,False
2018,DF,PSDB,8,8,571920.35,4.654616118909267,5,5.0,0,0.0,0.0,1,0.0,True,52250.0,3,False,False,False
2018,DF,PSL,3,3,14649.5,2.3270841297010096,2,2.0,0,0.0,0.0,0,0.0,False,5091.0,1,False,False,False
2018,DF,PSOL,15,15,279507.33999999997,6.373153765141243,6,6.0,0,0.0,0.0,1,1.0,True,31874.28,5,False,False,False
2018,DF,PSTU,1,1,2487.9300000000003,1.0,1,1.0,0,0.0,0.0,0,0.0,False,2487.9300000000003,1,False,True,False
2018,DF,PT,16,16,2116882.35,3.3194971682866967,3,3.0,1,1.0,0.1875,1,1.0,True,399000.0,2,False,False,False
