cluster,n_clusters,ano,regra,desfecho,metrica,ponto,ic95_inf,ic95_sup,sd_boot
lista,711,2022,top_necr,competitividade,cobertura,0.8268183634699472,0.8053374379399986,0.8474187067336884,0.011021972979594622
lista,711,2022,top_necr,competitividade,precisao,0.2784184285153904,0.25085747704148864,0.3054166140091343,0.013809722503426738
lista,711,2022,top_necr,competitividade,lift,1.8899743690387405,1.801626767014126,1.9891587633944192,0.047338894724781706
lista,711,2022,top_necr,eleicao,cobertura,0.9263007947218473,0.8966176311399207,0.9533114468463847,0.01431805369099005
lista,711,2022,top_necr,eleicao,precisao,0.12426577084003862,0.1071805985620348,0.14330402469007533,0.009259836409270139
lista,711,2022,top_necr,eleicao,lift,2.1174347754230407,1.987569222674338,2.268920229237349,0.0733569379357434
lista,711,2022,top_50,competitividade,cobertura,0.5276525943192609,0.5023935340536418,0.5532253541834675,0.012739840676692453
lista,711,2022,top_50,competitividade,precisao,0.38236986986986987,0.34772274952002374,0.41680256718941733,0.017314314065404807
lista,711,2022,top_50,competitividade,lift,2.6542606989488493,2.5098364928459627,2.8127748290724437,0.07675121655273641
lista,711,2022,top_50,eleicao,cobertura,0.7041260558804419,0.6560413195182553,0.7535949388586956,0.02493897387281507
lista,711,2022,top_50,eleicao,precisao,0.20315898012748407,0.17593512312822115,0.23311671480117035,0.014626929595715606
lista,711,2022,top_50,eleicao,lift,3.598668802097984,3.2855180823912815,3.943790170667155,0.16684807957153763
lista,711,2022,top_80,competitividade,cobertura,0.8136865815598847,0.7936602425163704,0.8346353656439335,0.010213304524913867
lista,711,2022,top_80,competitividade,precisao,0.2787369258630747,0.25158020852392704,0.3059180615925147,0.014093010476374325
lista,711,2022,top_80,competitividade,lift,1.9796729570575986,1.8920428846542747,2.0747724693654006,0.04633945892286914
lista,711,2022,top_80,eleicao,cobertura,0.9194257010046485,0.8885602926190276,0.9476608197377641,0.015114742922477772
lista,711,2022,top_80,eleicao,precisao,0.12547629279472855,0.10752346573653761,0.1451453558380622,0.009722621623033027
lista,711,2022,top_80,eleicao,lift,2.3379120125612616,2.193084778004303,2.4951003789387864,0.07819665328835697
partido,35,2018,top_necr,competitividade,cobertura,0.8089729119638827,0.7445035036147752,0.8563393733636601,0.028487437652099868
partido,35,2018,top_necr,competitividade,precisao,0.30947754749568224,0.2142719768575837,0.4168774995188092,0.052369752331062676
partido,35,2018,top_necr,competitividade,lift,1.8736534948816124,1.7526497813793944,2.0000306115685293,0.061467278660199354
partido,35,2018,top_necr,eleicao,cobertura,0.8674463937621832,0.7561763671531564,0.9444508448540706,0.05114298408843597
partido,35,2018,top_necr,eleicao,precisao,0.1919758412424504,0.13162452328602436,0.2629538751712049,0.033815381553542
partido,35,2018,top_necr,eleicao,lift,1.9815439888506898,1.84156209965009,2.1668754677459914,0.08289029507922538
partido,35,2018,top_50,competitividade,cobertura,0.573159195958293,0.5314494629191922,0.61137529713116,0.02018760469682031
partido,35,2018,top_50,competitividade,precisao,0.3892825202139115,0.28155534139838373,0.5061944915478995,0.05858111689221573
partido,35,2018,top_50,competitividade,lift,2.0770719118385146,1.9078058833308633,2.2516959254373963,0.08695838069731746
partido,35,2018,top_50,eleicao,cobertura,0.6639840341594728,0.5767033794173282,0.7404664751859873,0.042719354072726756
partido,35,2018,top_50,eleicao,precisao,0.2610144134282065,0.18114185674504052,0.35373694171660797,0.04419745909181772
partido,35,2018,top_50,eleicao,lift,2.3801180126903154,2.122116447637657,2.719480141571326,0.155517881598868
partido,35,2018,top_80,competitividade,cobertura,0.78395410082769,0.7270349868555741,0.8263694017726085,0.025538928454348016
partido,35,2018,top_80,competitividade,precisao,0.30159936314951513,0.2071591655833479,0.4120596583571197,0.05291896731172561
partido,35,2018,top_80,competitividade,lift,1.9262353962549337,1.785826649618636,2.054635064666369,0.06703520072656909
partido,35,2018,top_80,eleicao,cobertura,0.8421052631578947,0.7458586065138414,0.9155883750395946,0.045932621534092215
partido,35,2018,top_80,eleicao,precisao,0.18741865509761388,0.1275239874603105,0.25959820006355694,0.0342323541805236
partido,35,2018,top_80,eleicao,lift,2.030905871213386,1.8773725076804222,2.220928649884104,0.08885077186942222
partido,32,2022,top_necr,competitividade,cobertura,0.8268183634699472,0.7941033765946364,0.8557121754498602,0.015647852180840794
