ano_eleicao,sg_uf,sg_partido,nr_candidato,nm_candidato,comp_rrd,comp_texto,comp_cod_ok,comp_cod_kf,vit_texto,qe_texto,vit_prefeito_rrd,vit_prefeito_ok,vit_distrital,qe_majoritario,qe_rrd,qe_prop_ok,eleito,vr_receita_recursos_partidos
2018,DF,PR,2277,FRANCISCO LUCIO PEREIRA FILHO,False,False,False,False,False,False,False,False,False,False,False,False,0,200000.0
2018,DF,PRB,1000,WILSON EURICO NOBRE DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,61127.7
2018,DF,PRB,1010,JULIO CESAR RIBEIRO,True,False,True,True,False,False,False,False,True,False,False,False,1,853819.19
2018,DF,PRB,1017,CLEMENTINA DE LAS MERCEDES CAMPOS RIVAS,False,False,False,False,False,False,False,False,False,False,False,False,0,16004.830000000002
2018,DF,PROS,9000,NEVITON PEREIRA JUNIOR,True,True,True,True,False,True,False,False,False,False,True,True,0,142967.0
2018,DF,PROS,9001,MARIA DE FATIMA BRITO VOGT,False,False,False,False,False,False,False,False,False,False,False,False,0,100000.0
2018,DF,PROS,9010,LINEUDA FERREIRA DE MELO,False,False,False,False,False,False,False,False,False,False,False,False,0,35059.15
2018,DF,PROS,9015,JOAQUIM DOMINGOS RORIZ NETO,False,False,False,False,False,False,False,False,False,False,False,False,0,801590.01
2018,DF,PROS,9017,CHARLES DE MAGALHAES ARAUJO JUNIOR,False,False,False,False,False,False,False,False,False,False,False,False,0,268480.0
2018,DF,PROS,9033,MANOEL PEREIRA XAVIER,False,False,False,False,False,False,False,False,False,False,False,False,0,539895.49
2018,DF,PROS,9090,HELIO JOSE DA SILVA LIMA,True,False,False,True,False,False,False,False,False,False,True,False,0,1534299.83
2018,DF,PRP,4417,BEATRIZ KICIS TORRENTS DE SORDI,False,False,False,False,False,False,False,False,False,False,False,False,1,90566.03
2018,DF,PRP,4420,JANETE ALMEIDA DO NASCIMENTO,False,False,False,False,False,False,False,False,False,False,False,False,0,7066.03
2018,DF,PRP,4422,JOAO DE DEUS CARVALHO MARTINS,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,DF,PRP,4444,ADALBERTO IMBROSIO OLIVEIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,DF,PRP,4447,CARLOS HENRIQUE AROUCK DE SOUZA,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,DF,PRP,4455,JOSE OSCAR DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,DF,PRP,4477,ELISÂNGELA MACHADO DOS SANTOS DE FREITAS,False,False,False,False,False,False,False,False,False,False,False,False,0,25000.0
2018,DF,PRP,4488,FRANCISCO WELLINGTON SANTOS RAMOS,False,False,False,False,False,False,False,False,False,False,False,False,0,2066.0299999999997
2018,DF,PRP,4493,ADRIANO CANDIDO DE OLIVEIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,1838.79
2018,DF,PRTB,2800,ROBERTO CARLOS RODRIGUES AGUIAR,False,False,False,False,False,False,False,False,False,False,False,False,0,8750.0
2018,DF,PRTB,2811,PAULO THIAGO LIMA COSTA BARRETO,False,False,False,False,False,False,False,False,False,False,False,False,0,750.0
2018,DF,PRTB,2818,WILSON PEREIRA DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,8750.0
2018,DF,PRTB,2828,IRACEMA CHRISTIANE GALVÃO TABOSA,False,False,False,False,False,False,False,False,False,False,False,False,0,5750.0
2018,DF,PRTB,2882,MIRIAM CRISTINA DIENSTMANN STEIN,False,False,False,False,False,False,False,False,False,False,False,False,0,5750.0
2018,DF,PSB,4012,MARIA DE LOURDES ABADIA,True,True,True,True,True,False,False,False,False,True,False,False,0,849725.64
2018,DF,PSB,4040,MARCOS DE ALENCAR DANTAS,False,False,False,False,False,False,False,False,False,False,False,False,0,500000.0
2018,DF,PSC,2017,JOSE RAIMUNDO LOPES DE SOUZA,True,False,False,True,False,False,False,False,False,False,True,False,0,85340.92
2018,DF,PSC,2020,EDNILSON MIRA DOS SANTOS,False,False,False,False,False,False,False,False,False,False,False,False,0,93696.67
2018,DF,PSC,2022,FRANCIMAR NAVA VILARINDO,False,False,False,False,False,False,False,False,False,False,False,False,0,93587.32
2018,DF,PSC,2030,SUZANGELA MARIA ALEXANDRE COSTA,False,False,False,False,False,False,False,False,False,False,False,False,0,193417.32
2018,DF,PSD,5555,RENATO SANTANA DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,436278.52
2018,DF,PSDB,4500,ROMUALDO AMARO ALVES,False,False,False,False,False,False,False,False,False,False,False,False,0,2250.0
