Ano,UF,Partido,Dentro: eleitos,Dentro: não eleitos,Fora: eleitos,Fora: não eleitos
2018,GO,NOVO,0.0,5.0,0.0,1.0
2018,GO,PATRI,0.0,0.0,0.0,8.0
2018,GO,PC DO B,0.0,1.0,0.0,2.0
2018,GO,PCB,0.0,1.0,0.0,0.0
2018,GO,PCO,0.0,1.0,0.0,0.0
2018,GO,PDT,1.0,0.0,0.0,1.0
2018,GO,PHS,0.0,8.0,0.0,12.0
2018,GO,PMN,0.0,2.0,0.0,2.0
2018,GO,PODE,1.0,1.0,0.0,2.0
2018,GO,PP,2.0,2.0,0.0,2.0
2018,GO,PPS,0.0,1.0,0.0,0.0
2018,GO,PR,1.0,0.0,0.0,0.0
2018,GO,PRB,1.0,0.0,0.0,0.0
2018,GO,PROS,0.0,1.0,0.0,0.0
2018,GO,PRP,1.0,0.0,0.0,3.0
2018,GO,PRTB,0.0,8.0,0.0,2.0
2018,GO,PSB,1.0,0.0,0.0,1.0
2018,GO,PSC,1.0,0.0,0.0,5.0
2018,GO,PSD,1.0,2.0,0.0,2.0
2018,GO,PSDB,1.0,3.0,0.0,2.0
2018,GO,PSL,1.0,0.0,1.0,7.0
2018,GO,PSOL,0.0,13.0,0.0,3.0
2018,GO,PT,1.0,1.0,0.0,13.0
2018,GO,PTB,0.0,2.0,0.0,1.0
2018,GO,PTC,0.0,1.0,0.0,10.0
2018,GO,PV,0.0,4.0,0.0,1.0
2018,GO,REDE,0.0,5.0,0.0,2.0
2018,GO,SOLIDARIEDADE,1.0,0.0,0.0,0.0
2018,MA,AVANTE,0.0,0.0,0.0,1.0
2018,MA,DC,0.0,0.0,0.0,2.0
2018,MA,DEM,1.0,0.0,0.0,1.0
2018,MA,MDB,2.0,1.0,0.0,5.0
2018,MA,PATRI,1.0,0.0,0.0,5.0
2018,MA,PC DO B,2.0,0.0,0.0,2.0
2018,MA,PCB,0.0,2.0,0.0,0.0
2018,MA,PDT,1.0,2.0,0.0,5.0
2018,MA,PHS,0.0,6.0,0.0,6.0
2018,MA,PMB,0.0,1.0,0.0,2.0
2018,MA,PMN,2.0,1.0,0.0,9.0
2018,MA,PODE,1.0,1.0,0.0,3.0
2018,MA,PP,1.0,1.0,0.0,2.0
2018,MA,PPL,0.0,0.0,0.0,1.0
2018,MA,PPS,0.0,0.0,0.0,1.0
2018,MA,PR,2.0,1.0,0.0,1.0
2018,MA,PRB,1.0,0.0,0.0,1.0
2018,MA,PROS,0.0,2.0,0.0,1.0
2018,MA,PRP,0.0,0.0,0.0,1.0
2018,MA,PRTB,0.0,1.0,0.0,3.0
2018,MA,PSB,1.0,0.0,0.0,3.0
2018,MA,PSC,0.0,1.0,0.0,2.0
2018,MA,PSD,1.0,1.0,0.0,0.0
2018,MA,PSDB,0.0,3.0,0.0,8.0
2018,MA,PSL,0.0,2.0,0.0,21.0
2018,MA,PSOL,0.0,15.0,0.0,0.0
2018,MA,PSTU,0.0,0.0,0.0,3.0
2018,MA,PT,1.0,1.0,0.0,20.0
2018,MA,PTB,1.0,0.0,0.0,2.0
2018,MA,PTC,0.0,3.0,0.0,0.0
2018,MA,PV,0.0,2.0,0.0,4.0
2018,MA,REDE,0.0,2.0,0.0,3.0
2018,MA,SOLIDARIEDADE,0.0,1.0,0.0,1.0
2018,MG,AVANTE,2.0,4.0,1.0,70.0
2018,MG,DC,0.0,5.0,0.0,6.0
2018,MG,DEM,1.0,3.0,0.0,9.0
2018,MG,MDB,3.0,5.0,1.0,11.0
2018,MG,NOVO,2.0,13.0,0.0,21.0
2018,MG,PATRI,1.0,1.0,1.0,30.0
2018,MG,PC DO B,0.0,1.0,0.0,7.0
2018,MG,PCB,0.0,3.0,0.0,9.0
2018,MG,PDT,2.0,2.0,0.0,20.0
2018,MG,PHS,1.0,1.0,1.0,68.0
2018,MG,PMB,0.0,0.0,0.0,5.0
2018,MG,PMN,1.0,0.0,0.0,11.0
2018,MG,PODE,0.0,4.0,1.0,21.0
2018,MG,PP,2.0,3.0,0.0,3.0
2018,MG,PPL,0.0,1.0,0.0,27.0
2018,MG,PPS,0.0,3.0,0.0,11.0
2018,MG,PR,1.0,5.0,0.0,0.0
2018,MG,PRB,2.0,3.0,0.0,3.0
2018,MG,PROS,2.0,2.0,0.0,29.0
2018,MG,PRP,0.0,2.0,0.0,3.0
2018,MG,PRTB,0.0,1.0,0.0,51.0
2018,MG,PSB,3.0,4.0,0.0,19.0
2018,MG,PSC,1.0,3.0,0.0,30.0
2018,MG,PSD,3.0,2.0,0.0,6.0
2018,MG,PSDB,5.0,3.0,0.0,12.0
2018,MG,PSL,1.0,3.0,5.0,67.0
2018,MG,PSOL,1.0,13.0,0.0,19.0
2018,MG,PSTU,0.0,0.0,0.0,5.0
2018,MG,PT,8.0,6.0,0.0,12.0
2018,MG,PTB,0.0,4.0,0.0,16.0
2018,MG,PTC,0.0,1.0,0.0,24.0
2018,MG,PV,0.0,9.0,0.0,5.0
2018,MG,REDE,0.0,1.0,0.0,24.0
2018,MG,SOLIDARIEDADE,1.0,0.0,0.0,7.0
2018,MS,AVANTE,0.0,0.0,0.0,1.0
2018,MS,DC,0.0,1.0,0.0,0.0
2018,MS,DEM,1.0,0.0,0.0,4.0
2018,MS,MDB,0.0,3.0,0.0,8.0
2018,MS,NOVO,0.0,4.0,0.0,1.0
2018,MS,PATRI,0.0,0.0,0.0,2.0
2018,MS,PC DO B,0.0,1.0,0.0,3.0
2018,MS,PDT,1.0,1.0,0.0,6.0
2018,MS,PHS,0.0,3.0,0.0,1.0
2018,MS,PMB,0.0,0.0,0.0,1.0
2018,MS,PMN,0.0,1.0,0.0,0.0
2018,MS,PODE,0.0,4.0,0.0,1.0
2018,MS,PPL,0.0,0.0,0.0,3.0
2018,MS,PPS,0.0,2.0,0.0,0.0
2018,MS,PR,0.0,1.0,0.0,0.0
2018,MS,PRB,0.0,1.0,0.0,2.0
2018,MS,PROS,0.0,3.0,0.0,1.0
2018,MS,PRP,0.0,1.0,0.0,1.0
2018,MS,PRTB,0.0,0.0,0.0,3.0
2018,MS,PSB,0.0,1.0,0.0,0.0
2018,MS,PSC,0.0,0.0,0.0,2.0
2018,MS,PSD,1.0,0.0,0.0,1.0
2018,MS,PSDB,2.0,2.0,0.0,1.0
2018,MS,PSL,0.0,0.0,2.0,2.0
2018,MS,PSOL,0.0,5.0,0.0,1.0
2018,MS,PT,1.0,3.0,0.0,12.0
2018,MS,PTB,0.0,1.0,0.0,0.0
2018,MS,PTC,0.0,1.0,0.0,0.0
2018,MS,PV,0.0,5.0,0.0,3.0
2018,MS,REDE,0.0,3.0,0.0,0.0
2018,MS,SOLIDARIEDADE,0.0,2.0,0.0,0.0
2018,MT,DEM,0.0,1.0,0.0,1.0
2018,MT,MDB,1.0,2.0,1.0,3.0
2018,MT,NOVO,0.0,13.0,0.0,0.0
2018,MT,PATRI,0.0,3.0,0.0,0.0
2018,MT,PC DO B,0.0,2.0,0.0,0.0
2018,MT,PDT,0.0,2.0,0.0,2.0
2018,MT,PHS,0.0,2.0,0.0,1.0
2018,MT,PMB,0.0,0.0,0.0,1.0
2018,MT,PMN,0.0,1.0,0.0,0.0
2018,MT,PODE,1.0,0.0,0.0,1.0
2018,MT,PP,0.0,1.0,0.0,0.0
2018,MT,PPL,0.0,2.0,0.0,1.0
2018,MT,PPS,0.0,1.0,0.0,5.0
2018,MT,PR,0.0,2.0,0.0,0.0
2018,MT,PRB,0.0,1.0,0.0,0.0
2018,MT,PROS,0.0,4.0,0.0,0.0
2018,MT,PRP,0.0,1.0,0.0,1.0
2018,MT,PSB,0.0,1.0,0.0,3.0
2018,MT,PSC,0.0,2.0,0.0,4.0
2018,MT,PSD,0.0,2.0,0.0,0.0
2018,MT,PSDB,0.0,3.0,1.0,0.0
2018,MT,PSL,1.0,2.0,0.0,2.0
2018,MT,PSOL,0.0,2.0,0.0,7.0
2018,MT,PT,1.0,1.0,0.0,0.0
2018,MT,PTB,1.0,0.0,0.0,1.0
2018,MT,PTC,0.0,1.0,0.0,1.0
2018,MT,PV,0.0,7.0,0.0,2.0
2018,MT,REDE,0.0,4.0,0.0,2.0
2018,MT,SOLIDARIEDADE,1.0,0.0,0.0,1.0
2018,PA,AVANTE,0.0,1.0,0.0,1.0
2018,PA,DC,0.0,1.0,0.0,0.0
2018,PA,DEM,2.0,0.0,0.0,3.0
2018,PA,MDB,2.0,1.0,0.0,3.0
2018,PA,PATRI,0.0,0.0,0.0,16.0
2018,PA,PC DO B,0.0,1.0,0.0,0.0
2018,PA,PCB,0.0,1.0,0.0,0.0
2018,PA,PDT,0.0,1.0,0.0,3.0
2018,PA,PHS,0.0,1.0,0.0,4.0
2018,PA,PMB,0.0,1.0,0.0,0.0
2018,PA,PMN,0.0,1.0,0.0,2.0
2018,PA,PODE,0.0,1.0,0.0,0.0
2018,PA,PP,0.0,1.0,0.0,0.0
2018,PA,PPL,0.0,4.0,0.0,3.0
2018,PA,PPS,0.0,1.0,0.0,0.0
2018,PA,PR,1.0,0.0,0.0,0.0
2018,PA,PRB,1.0,0.0,0.0,0.0
2018,PA,PROS,0.0,1.0,0.0,0.0
2018,PA,PRP,0.0,0.0,0.0,10.0
2018,PA,PRTB,0.0,3.0,0.0,1.0
2018,PA,PSB,1.0,0.0,0.0,0.0
2018,PA,PSC,0.0,1.0,0.0,1.0
2018,PA,PSD,2.0,0.0,1.0,1.0
2018,PA,PSDB,1.0,2.0,1.0,2.0
2018,PA,PSL,0.0,1.0,0.0,1.0
2018,PA,PSOL,1.0,2.0,0.0,15.0
2018,PA,PT,2.0,2.0,0.0,3.0
2018,PA,PTB,1.0,0.0,1.0,0.0
2018,PA,PTC,0.0,1.0,0.0,4.0
2018,PA,PV,0.0,1.0,0.0,1.0
2018,PA,REDE,0.0,0.0,0.0,5.0
2018,PA,SOLIDARIEDADE,0.0,1.0,0.0,2.0
2018,PB,AVANTE,0.0,2.0,0.0,9.0
2018,PB,DC,0.0,1.0,0.0,0.0
2018,PB,DEM,1.0,0.0,0.0,1.0
2018,PB,MDB,0.0,2.0,0.0,8.0
2018,PB,NOVO,0.0,2.0,0.0,0.0
2018,PB,PATRI,0.0,1.0,0.0,9.0
2018,PB,PC DO B,0.0,2.0,0.0,2.0
2018,PB,PDT,1.0,0.0,0.0,0.0
2018,PB,PHS,0.0,4.0,0.0,1.0
2018,PB,PMN,0.0,1.0,0.0,1.0
2018,PB,PODE,0.0,1.0,0.0,1.0
2018,PB,PP,1.0,3.0,0.0,3.0
2018,PB,PPL,0.0,0.0,0.0,1.0
2018,PB,PPS,0.0,1.0,0.0,2.0
2018,PB,PR,1.0,0.0,0.0,1.0
2018,PB,PRB,1.0,1.0,0.0,1.0
2018,PB,PROS,0.0,1.0,0.0,0.0
2018,PB,PRP,0.0,2.0,0.0,3.0
2018,PB,PRTB,0.0,4.0,0.0,3.0
2018,PB,PSB,1.0,1.0,0.0,2.0
2018,PB,PSC,0.0,2.0,0.0,1.0
2018,PB,PSD,0.0,0.0,0.0,2.0
2018,PB,PSDB,3.0,1.0,0.0,4.0
2018,PB,PSL,1.0,1.0,0.0,12.0
2018,PB,PSOL,0.0,5.0,0.0,0.0
2018,PB,PT,1.0,1.0,0.0,2.0
2018,PB,PTB,1.0,1.0,0.0,0.0
2018,PB,PTC,0.0,2.0,0.0,4.0
2018,PB,PV,0.0,2.0,0.0,3.0
2018,PB,REDE,0.0,1.0,0.0,3.0
2018,PB,SOLIDARIEDADE,0.0,0.0,0.0,1.0
2018,PE,AVANTE,0.0,1.0,0.0,5.0
2018,PE,DC,0.0,8.0,0.0,7.0
2018,PE,DEM,1.0,1.0,0.0,2.0
2018,PE,MDB,1.0,0.0,0.0,1.0
2018,PE,NOVO,0.0,3.0,0.0,6.0
2018,PE,PATRI,1.0,1.0,0.0,33.0
2018,PE,PC DO B,1.0,0.0,0.0,0.0
2018,PE,PCB,0.0,2.0,0.0,2.0
2018,PE,PDT,1.0,0.0,1.0,7.0
2018,PE,PHS,1.0,5.0,0.0,4.0
2018,PE,PMN,0.0,1.0,0.0,10.0
2018,PE,PODE,1.0,0.0,0.0,1.0
2018,PE,PP,2.0,2.0,0.0,4.0
2018,PE,PPL,0.0,8.0,0.0,9.0
2018,PE,PPS,1.0,0.0,0.0,3.0
2018,PE,PR,1.0,1.0,0.0,9.0
2018,PE,PRB,2.0,0.0,0.0,1.0
2018,PE,PROS,0.0,1.0,0.0,18.0
2018,PE,PRP,0.0,1.0,0.0,13.0
2018,PE,PRTB,0.0,2.0,0.0,1.0
2018,PE,PSB,5.0,3.0,0.0,8.0
2018,PE,PSC,1.0,0.0,0.0,5.0
2018,PE,PSD,1.0,0.0,0.0,0.0
2018,PE,PSDB,0.0,2.0,0.0,2.0
2018,PE,PSL,1.0,1.0,0.0,9.0
2018,PE,PSOL,0.0,12.0,0.0,19.0
2018,PE,PSTU,0.0,0.0,0.0,2.0
2018,PE,PT,2.0,2.0,0.0,12.0
2018,PE,PTB,0.0,1.0,0.0,6.0
2018,PE,PTC,0.0,5.0,0.0,0.0
2018,PE,PV,0.0,5.0,0.0,3.0
2018,PE,REDE,0.0,3.0,0.0,23.0
2018,PE,SOLIDARIEDADE,1.0,1.0,0.0,4.0
2018,PI,AVANTE,0.0,1.0,0.0,1.0
2018,PI,DC,0.0,2.0,0.0,6.0
2018,PI,DEM,0.0,1.0,0.0,0.0
2018,PI,MDB,1.0,1.0,0.0,1.0
2018,PI,PATRI,0.0,1.0,0.0,0.0
2018,PI,PC DO B,0.0,1.0,0.0,0.0
2018,PI,PCB,0.0,1.0,0.0,0.0
2018,PI,PDT,1.0,0.0,0.0,0.0
2018,PI,PHS,0.0,2.0,0.0,2.0
2018,PI,PMN,0.0,1.0,0.0,3.0
2018,PI,PODE,0.0,0.0,0.0,2.0
2018,PI,PP,2.0,1.0,0.0,2.0
2018,PI,PPS,0.0,2.0,0.0,2.0
2018,PI,PR,1.0,0.0,0.0,0.0
2018,PI,PRB,0.0,2.0,0.0,3.0
2018,PI,PROS,0.0,1.0,0.0,5.0
2018,PI,PRP,0.0,5.0,0.0,5.0
2018,PI,PRTB,0.0,0.0,0.0,8.0
2018,PI,PSB,1.0,1.0,0.0,2.0
2018,PI,PSC,0.0,1.0,0.0,5.0
