Ano,Magnitude,Tipo de partido,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2022,Médio (16–31),Menos competitivo,NECr / Mp (Mp > 0),29,130,4.392170625804614,2.899764532206763,1.0079521605609199,1.9891263647417514,3.9382571962856265,6.180586907449209,12.180215726585908
2022,Médio (16–31),Menos competitivo,NECr / E (E > 0),24,135,4.220078303764606,3.0385773630570734,1.0540140250491963,1.9497322724727018,2.6699788334181678,7.188998525737282,10.141667117433872
2022,Médio (16–31),Menos competitivo,NECr − E,139,20,5.539981122131757,4.600719381703415,0.05401402504919628,1.5803225035011403,4.464452994136693,8.230303021239227,20.547842401500933
2022,Médio (16–31),Menos competitivo,Cobertura Top-NECr por lista (%),24,135,91.66666666666667,28.232985128663998,0.0,100.0,100.0,100.0,100.0
2022,Médio (16–31),Menos competitivo,Precisão Top-NECr por lista (%),139,20,6.821400022838873,20.10346843064523,0.0,0.0,0.0,0.0,100.0
2022,Pequeno (8–12),Competitivo,Candidatos (C),123,0,8.154471544715447,2.326020031224811,1.0,7.0,9.0,9.0,13.0
2022,Pequeno (8–12),Competitivo,Competitivos (F),123,0,2.4959349593495936,1.6810124961250232,0.0,1.0,2.0,4.0,8.0
2022,Pequeno (8–12),Competitivo,Competitivos na lista (%),123,0,29.852566133053937,18.362476601036335,0.0,19.090909090909093,33.333333333333336,44.44444444444444,77.77777777777777
2022,Pequeno (8–12),Competitivo,Bancada pré-eleitoral (Mp),123,0,0.9186991869918699,0.873972426460039,0.0,0.0,1.0,1.0,4.0
2022,Pequeno (8–12),Competitivo,Eleitos (E),123,0,0.959349593495935,1.1901120899388788,0.0,0.0,0.0,2.0,4.0
2022,Pequeno (8–12),Competitivo,NECr,120,3,4.900192252768193,2.0879296032151893,1.0,3.1551170994822764,5.219714273676891,6.425466033599853,10.94166177638165
2022,Pequeno (8–12),Competitivo,D = C − NECr,120,3,3.358141080565141,1.845206609547555,0.058338223618349616,1.9143725035259263,3.1334596062454247,4.4423938631407935,9.366802291780054
2022,Pequeno (8–12),Competitivo,Q = C / NECr,120,3,1.9688576120544345,1.0581450527582612,1.005331751685496,1.3334760160334835,1.639714555337871,2.2443387875010927,7.712930648708298
2022,Pequeno (8–12),Competitivo,NECr / Mp (Mp > 0),80,43,3.99553195983842,1.897842296143375,1.0530679172302182,2.603814806124885,3.499653495638575,5.542485991329414,8.606649358261999
2022,Pequeno (8–12),Competitivo,NECr / E (E > 0),58,65,3.2476985612596354,1.842674382787311,0.8988284005732751,2.0574079581782874,2.7576313701496913,3.7023924235301795,10.94166177638165
2022,Pequeno (8–12),Competitivo,NECr − E,120,3,3.916858919434859,1.954870789648669,-0.40468639770689974,2.487057018076219,3.8497870656639686,5.221112589334616,9.94166177638165
2022,Pequeno (8–12),Competitivo,Cobertura Top-NECr por lista (%),58,65,97.27011494252874,9.416185496489287,50.0,100.0,100.0,100.0,100.0
2022,Pequeno (8–12),Competitivo,Precisão Top-NECr por lista (%),120,3,18.70472582972583,23.298629690769125,0.0,0.0,0.0,33.333333333333336,100.0
2022,Pequeno (8–12),Menos competitivo,Candidatos (C),234,0,5.897435897435898,3.094740423664745,1.0,3.0,6.0,9.0,13.0
2022,Pequeno (8–12),Menos competitivo,Competitivos (F),234,0,0.36752136752136755,0.8087322840512745,0.0,0.0,0.0,0.0,5.0
2022,Pequeno (8–12),Menos competitivo,Competitivos na lista (%),234,0,5.615725679828244,12.15123038085242,0.0,0.0,0.0,0.0,50.0
2022,Pequeno (8–12),Menos competitivo,Bancada pré-eleitoral (Mp),234,0,0.0641025641025641,0.24546060354035,0.0,0.0,0.0,0.0,1.0
2022,Pequeno (8–12),Menos competitivo,Eleitos (E),234,0,0.04700854700854701,0.29649530812104585,0.0,0.0,0.0,0.0,3.0
2022,Pequeno (8–12),Menos competitivo,NECr,201,33,3.8197020572946334,2.2883542249743454,1.0,1.9154901451764283,3.2451614206139503,5.572129110423646,9.189149452326694
2022,Pequeno (8–12),Menos competitivo,D = C − NECr,201,33,2.2051735645959134,2.2527533156232007,0.0,0.31820487672900666,1.5513126491646778,3.4136333036114705,8.580410718414983
2022,Pequeno (8–12),Menos competitivo,Q = C / NECr,201,33,1.8545079105979425,1.2916866173391282,0.9999999999999998,1.0918675409922582,1.3630351485514092,1.9518361039458119,8.363276079276407
2022,Pequeno (8–12),Menos competitivo,NECr / Mp (Mp > 0),15,219,4.052451150095315,1.7566391646330448,1.0340811162203973,3.1411796075384535,3.762386248736097,4.898364535372051,7.351207636098679
