Ano,UF,Partido,Magnitude,tipo,C,F,Mp,E,Recursos,Recebedores,Sem_recursos,NECr,D,Q,NECr_Mp,NECr_E,NECr_menos_E,k_arredondado,eleitos_top_arredondado,Cobertura_pct,Precisao_pct,Competitivos_top,Fracao_nucleo_pct,Aleatoria_pct,Lift,Excedente_pp,Precisao_aleatoria_pct,Cobertura_competitiva_pct,Lift_competitivo
2018,AL,NOVO,Pequeno (8–12),Menos competitivo,3,0,0,0,5797.48,3,0,2.186741048522975,0.813258951477025,1.3719045526795857,,,2.186741048522975,2,0.0,,0.0,0.0,72.89136828409916,,,,0.0,,
2018,AL,PATRI,Pequeno (8–12),Menos competitivo,3,0,0,0,0.0,0,3,,,,,,,0,0.0,,,0.0,,,,,,,
2018,AL,PC DO B,Pequeno (8–12),Menos competitivo,4,0,0,0,64639.4,4,0,2.345359374817703,1.6546406251822972,1.7054955598482244,,,2.345359374817703,2,0.0,,0.0,0.0,58.63398437044257,,,,0.0,,
2018,AL,PDT,Pequeno (8–12),Menos competitivo,2,1,1,0,650000.0,2,0,1.1655172413793102,0.8344827586206898,1.7159763313609468,1.1655172413793102,,1.1655172413793102,1,0.0,,0.0,1.0,58.27586206896551,,,,0.0,100.0,2.0
2018,AL,PHS,Pequeno (8–12),Menos competitivo,6,0,1,0,42249.69,5,1,3.990950190900328,2.009049809099672,1.503401373858401,3.990950190900328,,3.990950190900328,4,0.0,,0.0,0.0,66.51583651500546,,,,0.0,,
2018,AL,PMN,Pequeno (8–12),Menos competitivo,1,0,0,0,900000.0,1,0,1.0,0.0,1.0,,,1.0,1,0.0,,0.0,0.0,100.0,,,,0.0,,
2018,AL,PODE,Pequeno (8–12),Menos competitivo,1,0,0,0,0.0,0,1,,,,,,,0,0.0,,,0.0,,,,,,,
2018,AL,PP,Pequeno (8–12),Competitivo,5,1,1,1,2777758.0,4,1,2.236587246002682,2.763412753997318,2.2355488295554755,2.236587246002682,2.236587246002682,1.236587246002682,2,1.0,100.0,50.0,1.0,44.731744920053636,40.0,2.5,60.0,20.0,100.0,2.5
2018,AL,PPL,Pequeno (8–12),Menos competitivo,2,0,0,0,1340.0,2,0,2.0,0.0,1.0,,,2.0,2,0.0,,0.0,0.0,100.0,,,,0.0,,
2018,AL,PPS,Pequeno (8–12),Menos competitivo,1,1,0,0,654173.8500000001,1,0,1.0,0.0,1.0,,,1.0,1,0.0,,0.0,1.0,100.0,,,,0.0,100.0,1.0
2018,AL,PR,Pequeno (8–12),Competitivo,1,1,0,1,1255557.26,1,0,1.0,0.0,1.0,,1.0,0.0,1,1.0,100.0,100.0,1.0,100.0,100.0,1.0,0.0,100.0,100.0,1.0
