ano_eleicao,sg_uf,nr_candidato,nm_candidato,sg_partido_norm,eleito,partido,proprios,pessoas_fisicas,coletivo_internet,demais,nao_partidarios,privado_proprio,privado_ampliado,necr,lista_sem_recursos,top_piso,top_arredondado,top_teto,alto_nao_partidarios,alto_privado_proprio
2022,MG,1314,ANA CRISTINA DE LIMA PIMENTEL,PT,1,1691000.0,0.0,11240.0,15338.0,0.0,26578.0,11240.0,26578.0,18.064253026883044,False,1.0,1.0,1.0,False,False
2022,MG,1315,JOÃO CARLOS SIQUEIRA,PT,1,1862500.0,23379.09,2500.0,0.0,0.0,25879.09,25879.09,25879.09,18.064253026883044,False,1.0,1.0,1.0,False,False
2022,MG,1333,PATRUS ANANIAS DE SOUSA,PT,1,1862500.0,0.0,180663.89,0.0,9346.3,190010.19,180663.89,180663.89,18.064253026883044,False,1.0,1.0,1.0,True,True
2022,MG,1334,DANDARA TONANTZIN SILVA CASTRO,PT,1,1717807.95,0.0,40800.0,1550.0,0.0,42350.0,40800.0,42350.0,18.064253026883044,False,1.0,1.0,1.0,False,False
2022,MG,1339,MIGUEL ÂNGELO MONTEIRO ANDRADE,PT,1,1564949.31,0.0,767930.0,3723.0,0.0,771653.0,767930.0,771653.0,18.064253026883044,False,1.0,1.0,1.0,True,True
2022,MG,1363,JOSÉ LEONARDO COSTA MONTEIRO,PT,1,2113422.44,40000.0,150260.0,0.0,0.0,190260.0,190260.0,190260.0,18.064253026883044,False,1.0,1.0,1.0,True,True
2022,MG,1378,PAULO JOSÉ CARLOS GUEDES,PT,1,2066236.57,154182.09,124450.0,0.0,0.0,278632.08999999997,278632.08999999997,278632.08999999997,18.064253026883044,False,1.0,1.0,1.0,True,True
2022,MG,1010,GILBERTO APARECIDO ABRAMO,REPUBLICANOS,1,1845000.0,0.0,35341.0,0.0,0.0,35341.0,35341.0,35341.0,9.676457012422748,False,1.0,1.0,1.0,False,False
2022,MG,1080,LAFAYETTE LUIZ DOORGAL DE ANDRADA,REPUBLICANOS,1,2184125.88,47094.0,519648.83999999997,0.0,8984.29,575727.13,566742.84,566742.84,9.676457012422748,False,1.0,1.0,1.0,True,True
2022,MG,7777,JOSÉ SILVA SOARES,SOLIDARIEDADE,1,1170000.0,60369.7,372361.0,0.0,2136.89,434867.59,432730.7,432730.7,10.39477763223749,False,1.0,1.0,1.0,True,True
2022,MG,4444,MARCELO EDUARDO FREITAS,UNIAO,1,2903030.3,0.0,54000.0,0.0,0.0,54000.0,54000.0,54000.0,20.85813942048351,False,1.0,1.0,1.0,False,False
2022,MG,4445,RAFAEL TADEU SIMÕES,UNIAO,1,2367694.31,148428.21,225800.0,0.0,77.5,374305.70999999996,374228.20999999996,374228.20999999996,20.85813942048351,False,1.0,1.0,1.0,True,True
2022,MG,4450,RODRIGO BATISTA DE CASTRO,UNIAO,1,2160000.0,6035.02,532500.0,0.0,9156.01,547691.03,538535.02,538535.02,20.85813942048351,False,1.0,1.0,1.0,True,True
