Ano,Medida,Corte,Regra,Fora_n,Fora_alto_pct,Dentro_alto_pct,Diferenca_pp,Razao_prevalencias
2022,nao_partidarios,Acima da mediana dos eleitos na UF/ano,teto,33.47435897435898,70.81577939486786,47.817020025131676,22.99875936973618,1.4809743341941528
2022,nao_partidarios,Acima do P75 dos eleitos no ano,piso,42.86923076923077,52.978647048268435,22.395569154245138,30.583077894023297,2.365586098008418
2022,nao_partidarios,Acima do P75 dos eleitos no ano,arredondado,37.80769230769231,55.23906408952188,22.541481181707812,32.69758290781407,2.450551658262272
2022,nao_partidarios,Acima do P75 dos eleitos no ano,teto,33.47435897435898,58.406740712370734,22.615832954575836,35.79090775779489,2.58255978586689
2022,nao_partidarios,Mais de 50% do financiamento total,piso,42.86923076923077,66.97469944374663,4.315493234288333,62.6592062094583,15.519593197738248
2022,nao_partidarios,Mais de 50% do financiamento total,arredondado,37.80769230769231,71.1088504577823,4.653986240388506,66.45486421739379,15.27912778097218
2022,nao_partidarios,Mais de 50% do financiamento total,teto,33.47435897435898,73.34354653389505,5.09852150896987,68.24502502492518,14.385257844820536
2022,privado_proprio,Principal: acima da mediana dos eleitos no ano,piso,42.86923076923077,69.1279382738202,48.14945105289854,20.97848722092167,1.4356952522236242
2022,privado_proprio,Principal: acima da mediana dos eleitos no ano,arredondado,37.80769230769231,70.49847405900306,48.26386078510724,22.234613273895814,1.4606886583917202
2022,privado_proprio,Principal: acima da mediana dos eleitos no ano,teto,33.47435897435898,69.66679433167369,48.522845761035214,21.14394857063847,1.435752442772379
2022,privado_proprio,Acima do P75 de todos os candidatos no ano,piso,42.86923076923077,86.7665530235062,86.31722761261187,0.4493254108943301,1.0052055125416086
2022,privado_proprio,Acima do P75 de todos os candidatos no ano,arredondado,37.80769230769231,87.38555442522889,86.27276406313233,1.1127903620965607,1.0128985129221344
2022,privado_proprio,Acima do P75 de todos os candidatos no ano,teto,33.47435897435898,85.75258521639218,86.39681308985911,-0.6442278734669404,0.9925433838306409
2022,privado_proprio,Acima da mediana dos eleitos na UF/ano,piso,42.86923076923077,70.204557688857,47.413158368375406,22.791399320481588,1.480697766291044
2022,privado_proprio,Acima da mediana dos eleitos na UF/ano,arredondado,37.80769230769231,71.51576805696847,47.551598543099956,23.964169513868505,1.5039613861171837
2022,privado_proprio,Acima da mediana dos eleitos na UF/ano,teto,33.47435897435898,70.81577939486786,47.817020025131676,22.99875936973618,1.4809743341941528
2022,privado_proprio,Acima do P75 dos eleitos no ano,piso,42.86923076923077,52.978647048268435,22.395569154245138,30.583077894023297,2.365586098008418
2022,privado_proprio,Acima do P75 dos eleitos no ano,arredondado,37.80769230769231,55.23906408952188,22.541481181707812,32.69758290781407,2.450551658262272
2022,privado_proprio,Acima do P75 dos eleitos no ano,teto,33.47435897435898,55.41937954806587,22.824372376547338,32.59500717151854,2.428079012810481
2022,privado_proprio,Mais de 50% do financiamento total,piso,42.86923076923077,58.900053830970755,3.988252041166942,54.91180178980382,14.768388061486933
2022,privado_proprio,Mais de 50% do financiamento total,arredondado,37.80769230769231,62.156663275686675,4.314042897612303,57.84262037807437,14.40798451728159
2022,privado_proprio,Mais de 50% do financiamento total,teto,33.47435897435898,63.23247797778628,4.761650135015908,58.470827842770376,13.27953045369534
2022,privado_ampliado,Principal: acima da mediana dos eleitos no ano,piso,42.86923076923077,69.1279382738202,48.14945105289854,20.97848722092167,1.4356952522236242
2022,privado_ampliado,Principal: acima da mediana dos eleitos no ano,arredondado,37.80769230769231,70.49847405900306,48.26386078510724,22.234613273895814,1.4606886583917202
2022,privado_ampliado,Principal: acima da mediana dos eleitos no ano,teto,33.47435897435898,69.66679433167369,48.522845761035214,21.14394857063847,1.435752442772379
2022,privado_ampliado,Acima do P75 de todos os candidatos no ano,piso,42.86923076923077,86.7665530235062,86.95534793919857,-0.18879491569238072,0.9978288291615556
2022,privado_ampliado,Acima do P75 de todos os candidatos no ano,arredondado,37.80769230769231,87.38555442522889,86.90408741400243,0.4814670112264663,1.0055402113473997
2022,privado_ampliado,Acima do P75 de todos os candidatos no ano,teto,33.47435897435898,88.73994638069705,86.81389193380211,1.9260544468949314,1.022186016592409
2022,privado_ampliado,Acima da mediana dos eleitos na UF/ano,piso,42.86923076923077,70.204557688857,47.413158368375406,22.791399320481588,1.480697766291044
2022,privado_ampliado,Acima da mediana dos eleitos na UF/ano,arredondado,37.80769230769231,71.51576805696847,47.551598543099956,23.964169513868505,1.5039613861171837
2022,privado_ampliado,Acima da mediana dos eleitos na UF/ano,teto,33.47435897435898,70.81577939486786,47.817020025131676,22.99875936973618,1.4809743341941528
2022,privado_ampliado,Acima do P75 dos eleitos no ano,piso,42.86923076923077,50.64597164902207,22.60827592977404,28.037695719248028,2.2401518720993536
2022,privado_ampliado,Acima do P75 dos eleitos no ano,arredondado,37.80769230769231,52.59409969481182,22.75192229866451,29.842177396147306,2.311633232762006
2022,privado_ampliado,Acima do P75 dos eleitos no ano,teto,33.47435897435898,55.41937954806587,22.824372376547338,32.59500717151854,2.428079012810481
2022,privado_ampliado,Mais de 50% do financiamento total,piso,42.86923076923077,61.23272923021712,3.988252041166942,57.24447718905018,15.353274717387405
2022,privado_ampliado,Mais de 50% do financiamento total,arredondado,37.80769230769231,64.80162767039674,4.314042897612303,60.487584772784444,15.021090241421232
