ano_eleicao,sg_uf,nr_candidato,nm_candidato,sg_partido_norm,eleito,competitivo,teto,partido,outros,privado,partido_pct,outros_pct,privado_pct,total_pct,fora,top_piso,top_arredondado,top_teto,vitoria_previa,qe_previo,lag,lag2,hist_ausente,lag_ausente,mulher,negra,demografia_ausente,partido_antes_pct,partido_setembro_pct,privado_antes_pct,outros_antes_pct
2018,AC,1234,JOSE ADRIANO RIBEIRO DA SILVA,PDT,0,True,2500000.0,0.0,113464.0,105174.0,0.0,4.53856,4.20696,4.53856,1.0,0.0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,1.0,0,0.0,0.0,0.32,0.32
2018,AC,1244,JOSÉ ELISSANDRO LOPES REGO,PDT,0,False,2500000.0,4773.66,0.0,0.0,0.1909464,0.0,0.0,0.1909464,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1.0,0,0.032,0.07744,0.0,0.0
2018,AC,1250,SANDRA MARIA SILVA FERREIRA,PDT,0,False,2500000.0,6826.64,0.0,0.0,0.2730656,0.0,0.0,0.2730656,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,1.0,0,0.032,0.1484292,0.0,0.0
2018,AC,1255,CRISTOVAM PONTES DE MOURA,PDT,0,False,2500000.0,52325.0,106312.0,88770.0,2.093,4.25248,3.5508,6.34548,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0.0,1.0,0,0.0,2.093,1.3308,1.40336
2018,AC,1277,CLEIDE MARIA FERREIRA DE ARAUJO,PDT,0,False,2500000.0,16144.390000000001,1606.5,1606.5,0.6457756000000001,0.06426,0.06426,0.7100356000000001,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,1.0,1.0,0,0.112,0.4671092000000001,0.03826,0.03826
2018,AC,3131,JEFFERSON BARROSO DE ARAÚJO ,PHS,0,False,2500000.0,19750.58,8260.0,3200.0,0.7900232000000001,0.3304,0.128,1.1204232000000003,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.27552,0.5145032,0.016,0.016
2018,AC,3133,SEBASTIAO ALVES RODRIGUES MANCHINERY ,PHS,0,False,2500000.0,7223.6900000000005,795.0,795.0,0.2889476,0.0318,0.0318,0.3207476,0.0,0.0,1.0,1.0,0,0,0.05113073249842328,0.0026143518058253184,0,0,0.0,0.0,0,0.123184,0.1657636,0.0,0.0
2018,AC,3535,SILVIA MONTEIRO E SILVA,PMB,0,False,2500000.0,30000.0,16391.0,8391.0,1.2,0.65564,0.33564,1.85564,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,1.0,0.0,0,1.2,0.0,0.14964,0.14964
2018,AC,3333,EMILIO VIRGILIO LIMA DE OLIVEIRA,PMN,0,False,2500000.0,150000.0,12500.0,12500.0,6.0,0.5,0.5,6.5,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0.0,1.0,0,0.0,6.0,0.06,0.06
2018,AC,1910,RAILSON CORREIA DA COSTA,PODE,0,False,2500000.0,100000.0,102141.0,102141.0,4.0,4.08564,4.08564,8.08564,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0.0,1.0,0,0.0,4.0,2.636,2.636
2018,AC,1944,MARIA JOSÉ DA SILVA LIMA,PODE,0,False,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0
2018,AC,1111,JOSÉ CAVALCANTE DAMASCENO JÚNIOR,PP,0,False,2500000.0,100000.0,53369.73,23254.0,4.0,2.1347892,0.93016,6.1347892,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,1.0,0,4.0,0.0,0.39816,0.39816
2018,AC,1122,RUDILEI SOARES DE SOUZA,PP,0,False,2500000.0,400000.0,126400.0,56400.0,16.0,5.056,2.256,21.056,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0.0,1.0,0,16.0,0.0,0.8,0.8
2018,AC,1144,NELSON RODRIGUES SALES,PP,0,True,2500000.0,822040.0,121300.0,121300.0,32.8816,4.852,4.852,37.733599999999996,0.0,1.0,1.0,1.0,1,1,0.0,0.0,0,0,0.0,1.0,0,32.8816,0.0,0.0,0.0
2018,AC,5454,FRANCISCO BRIGIDO DA COSTA,PPL,0,True,2500000.0,4637.5,6300.0,800.0,0.1855,0.252,0.032,0.4375,0.0,1.0,1.0,1.0,1,1,0.0,0.0,0,0,0.0,1.0,0,0.0255,0.16,0.032,0.032
2018,AC,2323,ROSANA SOUSA DO NASCIMENTO,PPS,0,False,2500000.0,498048.04,7700.0,7700.0,19.9219216,0.308,0.308,20.2299216,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,1.0,1.0,0,17.5219216,2.4,0.308,0.308
2018,AC,2222,ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,PR,0,True,2500000.0,1500000.0,21700.0,21700.0,60.0,0.868,0.868,60.868,0.0,1.0,1.0,1.0,1,1,1.0,1.0,0,0,1.0,1.0,0,30.0,30.0,0.868,0.868
2018,AC,9010,ANTONIO PAULINO DA SILVA,PROS,0,False,2500000.0,0.0,7740.0,0.0,0.0,0.3096,0.0,0.3096,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.12
2018,AC,9090,FERNANDO MELO DA COSTA,PROS,0,True,2500000.0,316985.0,16000.0,9000.0,12.6794,0.64,0.36,13.3194,0.0,1.0,1.0,1.0,1,1,0.0,0.0,0,0,0.0,1.0,0,4.9,7.5998,0.12,0.12
2018,AC,4423,ROSE-LANE ALVES JARDIM,PRP,0,False,2500000.0,35100.0,750.0,750.0,1.404,0.03,0.03,1.434,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,1.0,1.0,0,0.92,0.344,0.0,0.0
2018,AC,4444,FRANCISCO CARLOS OLIVEIRA DE LIMA,PRP,0,True,2500000.0,20891.52,15013.2,15013.2,0.8356608,0.600528,0.600528,1.4361888,0.0,1.0,1.0,1.0,0,1,0.46427606090638796,0.21555226073075207,0,0,0.0,1.0,0,0.0,0.6956608,0.6,0.6
2018,AC,4466,GILMAR FONTES,PRP,0,False,2500000.0,5891.5199999999995,0.0,0.0,0.2356608,0.0,0.0,0.2356608,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,1.0,0,0.0,0.0956608,0.0,0.0
2018,AC,2800,MARIA DO SOCORRO FIRMO DA SILVA,PRTB,0,False,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0
2018,AC,2828,FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO,PRTB,0,False,2500000.0,13715.0,4750.0,1750.0,0.5486,0.19,0.07,0.7385999999999999,0.0,1.0,1.0,1.0,0,0,0.16303015444962002,0.02657883125986696,0,0,0.0,1.0,0,0.0,0.5486,0.07,0.07
2018,AC,4040,CARLOS CÉSAR CORREIA DE MESSIAS,PSB,0,True,2500000.0,1300000.0,48100.0,48100.0,52.0,1.924,1.924,53.924,0.0,1.0,1.0,1.0,1,1,1.0,1.0,0,0,0.0,0.0,0,52.0,0.0,0.76,0.76
2018,AC,2020,JAMYL ASFURY MARTINS OLIVEIRA,PSC,0,True,2500000.0,70000.0,38015.8,38015.8,2.8,1.5206320000000002,1.5206320000000002,4.320632,0.0,1.0,1.0,1.0,1,1,0.0,0.0,0,0,0.0,1.0,0,2.8,0.0,1.52,1.52
2018,AC,5555,MARIVALDO GONÇALVES DE MELO,PSD,0,False,2500000.0,824450.0,137000.0,137000.0,32.978,5.48,5.48,38.458,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,29.72,0.0,0.0
2018,AC,4545,CYLMARA FERNANDES DA ROCHA GRIPP,PSDB,1,False,2500000.0,1629365.55,3500.0,3500.0,65.174622,0.14,0.14,65.314622,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,1.0,0.0,0,23.424552799999997,36.2294852,0.14,0.14
2018,AC,1700,MICHELA BATISTA LACERDA,PSL,0,False,2500000.0,58.18,500.0,500.0,0.0023272,0.02,0.02,0.022327200000000002,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,1.0,0.0,0,0.0023272,0.0,0.0,0.0
2018,AC,1712,DANIELA PAIVA DE OLIVEIRA,PSL,0,False,2500000.0,0.0,5000.0,0.0,0.0,0.2,0.0,0.2,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0
2018,AC,1717,SEBASTIÃO BOCALOM RODRIGUES,PSL,0,True,2500000.0,0.0,128737.89,112237.89,0.0,5.1495156,4.4895156,5.1495156,1.0,0.0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1.592,1.752
2018,AC,1718,JOSE MARIA DE FREITAS MOREIRA,PSL,0,True,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0
2018,AC,1755,MANOEL JOSE NOGUEIRA LIMA,PSL,0,True,2500000.0,26.4,56184.369999999995,41600.0,0.001056,2.2473748,1.664,2.2484308,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1.664,1.664
2018,AC,1771,RAIMUNDO RICARDO GOMES DA SILVA,PSL,0,False,2500000.0,58.82,0.0,0.0,0.0023528,0.0,0.0,0.0023528,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
