ano_eleicao,sg_uf,sg_partido_norm,C,NECr,total_recursos_partidarios,lista_sem_recursos,E,k_top_necr,proporcao_top_necr,empate_corte_top_necr,k_80,proporcao_nucleo_80,empate_corte_nucleo_80,k_acima_igual,proporcao_acima_divisao_igual,empate_corte_acima_divisao_igual,top_necr__nucleo_80__comum,top_necr__nucleo_80__uniao,top_necr__nucleo_80__jaccard,top_necr__nucleo_80__A_contida_B,top_necr__nucleo_80__B_contida_A,top_necr__nucleo_80__pesos_identicos,top_necr__nucleo_80__concordancia_candidaturas,top_necr__acima_divisao_igual__comum,top_necr__acima_divisao_igual__uniao,top_necr__acima_divisao_igual__jaccard,top_necr__acima_divisao_igual__A_contida_B,top_necr__acima_divisao_igual__B_contida_A,top_necr__acima_divisao_igual__pesos_identicos,top_necr__acima_divisao_igual__concordancia_candidaturas,nucleo_80__acima_divisao_igual__comum,nucleo_80__acima_divisao_igual__uniao,nucleo_80__acima_divisao_igual__jaccard,nucleo_80__acima_divisao_igual__A_contida_B,nucleo_80__acima_divisao_igual__B_contida_A,nucleo_80__acima_divisao_igual__pesos_identicos,nucleo_80__acima_divisao_igual__concordancia_candidaturas
2018,AC,PTB,1,1.0,449599.75,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0
2018,AC,PTC,1,1.0,570000.0,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0
2018,AC,PV,2,1.3543842214897526,334343.2,False,0,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0
2018,AC,REDE,2,1.0084209033413256,190800.0,False,0,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0
2018,AC,SOLIDARIEDADE,1,1.0,1450000.0,False,1,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0
2018,AL,AVANTE,1,1.0,319000.0,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0
2018,AL,DC,2,1.888136370690797,77320.0,False,0,2,1.0,False,2,1.0,False,1,0.5,False,2.0,2.0,1.0,1.0,1.0,True,1.0,1.0,2.0,0.5,0.5,1.0,False,0.5,1.0,2.0,0.5,0.5,1.0,False,0.5
2018,AL,DEM,2,,0.0,True,0,0,0.0,False,0,0.0,False,0,0.0,False,0.0,0.0,,,,True,1.0,0.0,0.0,,,,True,1.0,0.0,0.0,,,,True,1.0
2018,AL,MDB,3,2.0,100000.0,False,1,2,0.6666666666666666,False,2,0.6666666666666666,False,2,0.6666666666666666,False,2.0,2.0,1.0,1.0,1.0,True,1.0,2.0,2.0,1.0,1.0,1.0,True,1.0,2.0,2.0,1.0,1.0,1.0,True,1.0
2018,AL,NOVO,3,2.186741048522975,5797.48,False,0,2,0.6666666666666666,True,2,0.6666666666666666,True,1,0.3333333333333333,False,2.0,2.0,1.0,1.0,1.0,True,1.0,1.0,2.0,0.5,0.5,1.0,False,0.6666666666666667,1.0,2.0,0.5,0.5,1.0,False,0.6666666666666667
