ano_eleicao,sg_uf,nr_candidato,sg_partido_norm,nm_candidato,vr_receita_recursos_partidos,C,NECr,lista_sem_recursos,rank_recursos_partidarios,share_recursos_partidarios,share_acumulado,share_igualitaria,razao_share_igual,top_necr,nucleo_80,acima_divisao_igual,k_top_necr,k_80,k_acima_igual,competitivo_previo,eleito
2018,AC,1717,PSL,SEBASTIÃO BOCALOM RODRIGUES,0.0,8.0,4.71203274162421,False,7.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0
2018,AC,1718,PSL,JOSE MARIA DE FREITAS MOREIRA,0.0,8.0,4.71203274162421,False,8.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0
2018,AC,1755,PSL,MANOEL JOSE NOGUEIRA LIMA,26.4,8.0,4.71203274162421,False,5.0,0.10113392583512106,1.0,0.125,0.8090714066809684,1.0,0.0,0.0,5.0,4.0,4.0,1.0,0
2018,AC,1771,PSL,RAIMUNDO RICARDO GOMES DA SILVA,58.82,8.0,4.71203274162421,False,1.0,0.22532945142506897,0.22532945142506897,0.125,1.8026356114005517,1.0,1.0,1.0,5.0,4.0,4.0,0.0,0
2018,AC,1777,PSL,ADRIANO JOSÉ CALDAS DE AGUIAR CAMPELLO,58.82,8.0,4.71203274162421,False,2.0,0.22532945142506897,0.45065890285013793,0.125,1.8026356114005517,1.0,1.0,1.0,5.0,4.0,4.0,0.0,0
2018,AC,1788,PSL,BERENICE NASCIMENTO DE SOUZA,58.82,8.0,4.71203274162421,False,3.0,0.22532945142506897,0.6759883542752069,0.125,1.8026356114005517,1.0,1.0,1.0,5.0,4.0,4.0,0.0,0
2018,AC,5012,PSOL,GLÓRIA THAÍS SOUZA DE MELO,122266.66,4.0,3.4898209751924303,False,1.0,0.40746502176983085,0.40746502176983085,0.25,1.6298600870793234,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0
2018,AC,5013,PSOL,HAMMERLY DA SILVA ALBUQUERQUE,58266.66,4.0,3.4898209751924303,False,3.0,0.19417906635672663,0.8424794572299007,0.25,0.7767162654269065,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0
2018,AC,5050,PSOL,FRANCISCO DA SILVA PIYÃKO,72266.66,4.0,3.4898209751924303,False,2.0,0.2408353691033432,0.648300390873174,0.25,0.9633414764133728,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0
2018,AC,5055,PSOL,GILDOMAR OLIVEIRA GOMES,47266.66,4.0,3.4898209751924303,False,4.0,0.15752054277009933,1.0,0.25,0.6300821710803973,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0
2018,AC,1300,PT,DARLA CRISTINA PENHA ALMEIDA DE OLIVEIRA,10000.0,5.0,3.169675084321672,False,5.0,0.003599712023038157,1.0,0.2,0.017998560115190784,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0
2018,AC,1313,PT,SEBASTIÃO SIBA MACHADO OLIVEIRA,900000.0,5.0,3.169675084321672,False,1.0,0.32397408207343414,0.32397408207343414,0.2,1.6198704103671706,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0
2018,AC,1314,PT,RAIMUNDO ANGELIM VASCONCELOS,900000.0,5.0,3.169675084321672,False,2.0,0.32397408207343414,0.6479481641468683,0.2,1.6198704103671706,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0
2018,AC,1331,PT,LEONARDO CUNHA DE BRITO,900000.0,5.0,3.169675084321672,False,3.0,0.32397408207343414,0.9719222462203024,0.2,1.6198704103671706,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1
2018,AC,1377,PT,RAQUEL GLEYCIANE SANTOS DE SOUZA,68000.0,5.0,3.169675084321672,False,4.0,0.024478041756659467,0.9964002879769619,0.2,0.12239020878329733,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0
