ano_eleicao,sg_uf,sg_partido_norm,regra,desfecho,n,k,total,hits,expected
2018,AL,PC DO B,nucleo_80,competitividade,4,2.0,0.0,0.0,0.0
2018,AL,PC DO B,nucleo_80,eleicao,4,2.0,0.0,0.0,0.0
2018,AL,PC DO B,acima_divisao_igual,competitividade,4,2.0,0.0,0.0,0.0
2018,AL,PC DO B,acima_divisao_igual,eleicao,4,2.0,0.0,0.0,0.0
2018,AL,PDT,top_necr,competitividade,2,1.0,1.0,1.0,0.5
2018,AL,PDT,top_necr,eleicao,2,1.0,0.0,0.0,0.0
2018,AL,PDT,nucleo_80,competitividade,2,1.0,1.0,1.0,0.5
2018,AL,PDT,nucleo_80,eleicao,2,1.0,0.0,0.0,0.0
2018,AL,PDT,acima_divisao_igual,competitividade,2,1.0,1.0,1.0,0.5
2018,AL,PDT,acima_divisao_igual,eleicao,2,1.0,0.0,0.0,0.0
2018,AL,PHS,top_necr,competitividade,6,4.0,0.0,0.0,0.0
2018,AL,PHS,top_necr,eleicao,6,4.0,0.0,0.0,0.0
2018,AL,PHS,nucleo_80,competitividade,6,4.0,0.0,0.0,0.0
2018,AL,PHS,nucleo_80,eleicao,6,4.0,0.0,0.0,0.0
2018,AL,PHS,acima_divisao_igual,competitividade,6,2.0,0.0,0.0,0.0
2018,AL,PHS,acima_divisao_igual,eleicao,6,2.0,0.0,0.0,0.0
2018,AL,PMN,top_necr,competitividade,1,1.0,0.0,0.0,0.0
2018,AL,PMN,top_necr,eleicao,1,1.0,0.0,0.0,0.0
2018,AL,PMN,nucleo_80,competitividade,1,1.0,0.0,0.0,0.0
2018,AL,PMN,nucleo_80,eleicao,1,1.0,0.0,0.0,0.0
2018,AL,PMN,acima_divisao_igual,competitividade,1,0.0,0.0,0.0,0.0
2018,AL,PMN,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AL,PODE,top_necr,competitividade,1,0.0,0.0,0.0,0.0
2018,AL,PODE,top_necr,eleicao,1,0.0,0.0,0.0,0.0
2018,AL,PODE,nucleo_80,competitividade,1,0.0,0.0,0.0,0.0
2018,AL,PODE,nucleo_80,eleicao,1,0.0,0.0,0.0,0.0
2018,AL,PODE,acima_divisao_igual,competitividade,1,0.0,0.0,0.0,0.0
2018,AL,PODE,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AL,PP,top_necr,competitividade,5,2.0,1.0,1.0,0.4
