Ano,UF,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,SP,Eleitos (E),34,0,2.0588235294117645,2.707354478258202,0.0,0.0,1.0,3.0,10.0
2018,SP,NECr,33,1,8.680839961595067,6.475608641386391,1.001158056594264,4.910100590837748,6.424138540913379,9.953424919535832,26.91578513746165
2018,SP,D = C − NECr,33,1,35.95552367476858,28.502623854186712,0.24165325873138244,7.9746748110497006,32.575861459086624,53.7939692877314,88.20626106157368
2018,SP,Q = C / NECr,33,1,5.962762804458571,4.470267234647236,1.1374320849578472,2.538434075311645,4.816621310970812,8.342389368962456,17.917567047292838
2018,SP,NECr / Mp (Mp > 0),18,16,3.264136035411601,2.800246157691761,0.7370360533829097,1.3811984799792432,2.4133822505676292,3.081768887785492,9.953424919535832
2018,SP,NECr / E (E > 0),19,15,3.122088283164559,2.0973918545301635,1.001158056594264,1.6496638315720478,2.3290987093059723,3.9643946086101387,9.326822337349343
2018,SP,NECr − E,33,1,6.559627840382944,5.62486130746734,0.0011580565942639343,2.6855398048396175,5.2742683245762105,8.326822337349343,26.91578513746165
2018,SP,Cobertura Top-NECr por lista (%),19,15,87.89473684210526,20.554370125451694,40.0,81.66666666666666,100.0,100.0,100.0
2018,SP,Precisão Top-NECr por lista (%),33,1,23.86792888340876,29.42074688885964,0.0,0.0,20.0,35.294117647058826,100.0
2018,TO,Candidatos (C),30,0,2.6666666666666665,2.5234532077995864,1.0,1.0,2.0,2.75,10.0
2018,TO,Competitivos (F),30,0,0.43333333333333335,0.5683207771559353,0.0,0.0,0.0,1.0,2.0
2018,TO,Competitivos na lista (%),30,0,28.333333333333332,40.38843960392438,0.0,0.0,0.0,50.0,100.0
2018,TO,Bancada pré-eleitoral (Mp),30,0,0.26666666666666666,0.5208304597621878,0.0,0.0,0.0,0.0,2.0
2018,TO,Eleitos (E),30,0,0.26666666666666666,0.5832922809856746,0.0,0.0,0.0,0.0,2.0
2018,TO,NECr,23,7,2.0029219355039514,1.8044946483789912,1.0,1.0,1.0470327846175127,1.9389777180973748,7.692307692307692
2018,TO,D = C − NECr,23,7,0.9970780644960485,1.4544592486591652,0.0,0.0,0.31640544800530646,1.1146905926750148,5.82580368677781
2018,TO,Q = C / NECr,23,7,1.5015342768489781,0.6994791124514705,1.0,1.0,1.1879344689197495,1.8298528145234405,3.6795205434526217
