Ano,Partido,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2022,PSC,NECr − E,19,4,5.841426902322497,4.338023899858341,1.8910627205203954,2.795807345066061,5.180586907449209,6.999667657086243,20.547842401500933
2022,PSC,Cobertura Top-NECr por lista (%),5,18,100.0,0.0,100.0,100.0,100.0,100.0,100.0
2022,PSC,Precisão Top-NECr por lista (%),19,4,6.798245614035089,13.552205750421383,0.0,0.0,0.0,6.25,50.0
2022,PSD,Candidatos (C),26,0,15.5,12.336125809993995,2.0,9.0,9.5,16.0,48.0
2022,PSD,Competitivos (F),26,0,4.076923076923077,4.498204770110644,0.0,1.25,3.0,5.0,22.0
2022,PSD,Competitivos na lista (%),26,0,24.3294116041881,16.14424637958034,0.0,12.5,22.22222222222222,34.19540229885058,55.55555555555556
2022,PSD,Bancada pré-eleitoral (Mp),26,0,1.8076923076923077,1.6252810407860117,0.0,0.25,1.5,3.0,5.0
2022,PSD,Eleitos (E),26,0,1.6153846153846154,1.9611613513818402,0.0,0.0,1.0,2.75,7.0
2022,PSD,NECr,25,1,7.262793765975947,4.442586447494019,1.5377529691525265,4.311710092202146,6.079019073998703,7.762879105995708,19.246232432930704
2022,PSD,D = C − NECr,25,1,8.777206234024053,8.773288939370406,1.2573726541554953,2.920980926001297,4.688289907797854,10.61137457759666,30.32279967401023
2022,PSD,Q = C / NECr,25,1,2.3842193137574537,1.2776492029634154,1.1623961218836565,1.4871624202562448,2.036017148477953,2.715362111353593,5.852695576299231
2022,PSD,NECr / Mp (Mp > 0),18,8,3.313940588530591,1.2307957235818743,1.9082677078984789,2.160700107442715,2.866013113108111,4.284834949372545,5.876090934693003
2022,PSD,NECr / E (E > 0),15,11,3.6712365109204437,1.7539714562487538,1.8126960762230346,2.272240234252207,3.192507491824981,4.657275953461306,7.600934886800204
2022,PSD,NECr − E,25,1,5.582793765975947,3.368216777965819,1.3886254224033405,3.239871708426729,4.876176457338207,6.9633558681179695,15.246232432930704
2022,PSD,Cobertura Top-NECr por lista (%),15,11,90.0,28.030595529069405,0.0,100.0,100.0,100.0,100.0
2022,PSD,Precisão Top-NECr por lista (%),25,1,17.801701222753856,19.574378902850473,0.0,0.0,12.5,33.333333333333336,54.54545454545455
2022,PSDB,Candidatos (C),25,0,11.72,10.41841318691735,1.0,5.0,9.0,14.0,43.0
2022,PSDB,Competitivos (F),25,0,1.72,2.150968773986891,0.0,0.0,1.0,3.0,9.0
2022,PSDB,Competitivos na lista (%),25,0,13.663068153504128,14.442422030686071,0.0,0.0,12.5,20.930232558139537,55.55555555555556
2022,PSDB,Bancada pré-eleitoral (Mp),25,0,0.84,1.518771433319269,0.0,0.0,0.0,1.0,7.0
2022,PSDB,Eleitos (E),25,0,0.52,0.9626352718795768,0.0,0.0,0.0,1.0,3.0
2022,PSDB,NECr,24,1,4.456595408422717,2.837221415986548,1.0,2.2766680536469233,4.011449789593956,5.6444281912423655,13.314037165521773
2022,PSDB,D = C − NECr,24,1,7.710071258243949,8.301627042469248,0.0,2.722159161440633,4.530355704790395,8.853803644714638,29.685962834478225
2022,PSDB,Q = C / NECr,24,1,2.751752199803215,1.3873694286876872,1.0,1.6751454871416764,2.584536043400786,3.250771143672809,5.927374059033378
2022,PSDB,NECr / Mp (Mp > 0),10,15,3.3351447443666102,1.6877514084818728,1.7332358856736134,2.092326771273473,2.9200496705991714,3.8005860688996833,7.401718121427825
2022,PSDB,NECr / E (E > 0),7,18,3.6906138434445066,0.8867239005111849,2.0086813146008304,3.468203853212237,3.8051802736381384,4.216474562013478,4.6510784854211495
2022,PSDB,NECr − E,24,1,3.9149287417560505,2.298105676514045,1.0,2.1671250220855875,3.204550284116627,5.269028546436883,10.314037165521773
2022,PSDB,Cobertura Top-NECr por lista (%),7,18,95.23809523809523,12.598815766974239,66.66666666666667,100.0,100.0,100.0,100.0
2022,PSDB,Precisão Top-NECr por lista (%),24,1,8.071581196581198,14.079259104351337,0.0,0.0,0.0,16.53846153846154,50.0
2022,PSOL,Candidatos (C),27,0,11.296296296296296,9.980037054096522,2.0,4.0,7.0,16.0,38.0
2022,PSOL,Competitivos (F),27,0,0.7037037037037037,1.5643827687920393,0.0,0.0,0.0,1.0,7.0
2022,PSOL,Competitivos na lista (%),27,0,4.455465097019964,8.76755680786554,0.0,0.0,0.0,5.718954248366013,33.333333333333336
2022,PSOL,Bancada pré-eleitoral (Mp),27,0,0.2962962962962963,0.7240279857964913,0.0,0.0,0.0,0.0,3.0
2022,PSOL,Eleitos (E),27,0,0.4444444444444444,1.3397282541141675,0.0,0.0,0.0,0.0,5.0
2022,PSOL,NECr,27,0,5.94373608497819,3.6919489443604894,1.51799917102556,3.1188720007723227,4.381563951663064,7.776135006169847,16.379922668795693
2022,PSOL,D = C − NECr,27,0,5.352560211318106,7.537436053595029,0.040541515699605846,0.47684999139857576,1.527336983471372,6.78550819923071,26.14583214114363
2022,PSOL,Q = C / NECr,27,0,1.8019852702905874,1.131974923279261,1.005093501747584,1.1187494299177352,1.3555562187306542,1.7865806833020315,5.852176019031347
2022,PSOL,NECr / Mp (Mp > 0),5,22,4.966450132257497,1.5431096328543457,3.9301620329265083,3.951389286285457,4.256206417649563,5.101681396386657,7.5928115280393
