Ano,Magnitude,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,Médio (16–31),Q = C / NECr,242,0,3.3118300179884357,3.4005905816796176,1.0,1.3993341093005682,2.1578664270891306,3.7177080759143117,22.272832937587246
2018,Pequeno (8–12),Candidatos (C),413,0,3.7869249394673123,3.0085837533070143,1.0,2.0,3.0,5.0,16.0
2018,Pequeno (8–12),Candidatos com recursos positivos,413,0,3.171912832929782,2.767176801126762,1.0,1.0,2.0,4.0,16.0
2018,Pequeno (8–12),Candidatos sem recursos partidários,413,0,0.6150121065375302,1.278829604607301,0.0,0.0,0.0,1.0,9.0
2018,Pequeno (8–12),Recursos partidários por lista (R$ nominais),413,0,698908.6700242131,961685.7107234687,76.36,40000.0,280000.0,965994.69,7597280.5
2018,Pequeno (8–12),NECr,413,0,2.1260559590628896,1.7147268787712493,1.0,1.0,1.4454798491114031,2.4987860534772226,12.767832554958797
2018,Pequeno (8–12),D = C − NECr,413,0,1.660868980404423,2.1907569688128663,0.0,0.0,0.9633311175973842,2.2056209604900125,12.680502831713303
2018,Pequeno (8–12),Q = C / NECr,413,0,1.924793114933333,1.2674037529181144,1.0,1.0000000000000002,1.5,2.08,10.0
2022,Grande (39–70),Candidatos (C),117,0,35.06837606837607,19.82671764778375,1.0,19.0,39.0,47.0,71.0
2022,Grande (39–70),Candidatos com recursos positivos,117,0,31.60683760683761,18.992265787436807,1.0,15.0,35.0,44.0,70.0
2022,Grande (39–70),Candidatos sem recursos partidários,117,0,3.4615384615384617,6.5948496905023015,0.0,0.0,1.0,3.0,33.0
2022,Grande (39–70),Recursos partidários por lista (R$ nominais),117,0,9258859.602564102,11491015.561707316,7449.180000000002,1950930.0,5397139.5,12795616.929999996,72415441.9
2022,Grande (39–70),NECr,117,0,10.006213810545947,7.807075817664689,1.0,3.8051802736381384,8.265713177762846,13.797605225292312,37.6766117799526
2022,Grande (39–70),D = C − NECr,117,0,25.062162257830124,16.788427564360735,0.0,10.065084837761063,26.84875168236118,36.99953985113178,65.98031456520886
2022,Grande (39–70),Q = C / NECr,117,0,4.645180011472,4.233847543862245,1.0,2.126489133360604,3.3748682560786594,5.927374059033378,33.66860939264637
2022,Médio (16–31),Candidatos (C),210,0,14.476190476190476,8.523645959447995,1.0,8.0,15.0,19.0,32.0
2022,Médio (16–31),Candidatos com recursos positivos,210,0,13.452380952380953,8.432684137809058,1.0,6.0,14.0,18.0,32.0
2022,Médio (16–31),Candidatos sem recursos partidários,210,0,1.0238095238095237,2.3588182837180662,0.0,0.0,0.0,1.0,16.0
2022,Médio (16–31),Recursos partidários por lista (R$ nominais),210,0,4183834.1454285714,4928254.357002719,1000.0,303750.0,2635820.635,6532302.4125,29793231.74
2022,Médio (16–31),NECr,210,0,6.181183117703153,4.241078297896638,1.0,2.4025607075219724,5.676947336410945,8.36641005467109,20.681228712693365
2022,Médio (16–31),D = C − NECr,210,0,8.295007358487323,6.648951655229623,0.0,2.3115116958140884,7.732114509288808,11.24349898343743,28.25374460825273
2022,Médio (16–31),Q = C / NECr,210,0,2.740984139669672,2.0080072134323563,1.0,1.5043244518362675,2.1198022583996687,3.400843587603063,17.17961767893676
2022,Pequeno (8–12),Candidatos (C),321,0,6.859813084112149,3.0024425414907228,1.0,5.0,8.0,9.0,13.0
2022,Pequeno (8–12),Candidatos com recursos positivos,321,0,6.43613707165109,3.0715126617275486,1.0,3.0,7.0,9.0,13.0
2022,Pequeno (8–12),Candidatos sem recursos partidários,321,0,0.4236760124610592,1.1543126503266132,0.0,0.0,0.0,0.0,7.0
2022,Pequeno (8–12),Recursos partidários por lista (R$ nominais),321,0,2758200.7062616823,3537644.912569074,1241.5300000000002,222301.39,1000720.0,4165000.0,19448227.740000002
2022,Pequeno (8–12),NECr,321,0,4.223623625695964,2.2733583756302806,1.0,2.1370829774220317,3.8360142918711633,6.079019073998703,10.94166177638165
2022,Pequeno (8–12),D = C − NECr,321,0,2.636189458416186,2.1794750061806663,0.0,0.8108505476733061,2.2177234530175705,4.0,9.366802291780054
2022,Pequeno (8–12),Q = C / NECr,321,0,1.8972554625442946,1.2092278385677993,0.9999999999999998,1.1845033553249207,1.4703301606186796,2.0819322154459954,8.363276079276407
