ano_eleicao,sg_uf,ds_cargo,qt_vaga
2014,SE,DEPUTADO FEDERAL,8
2014,SP,DEPUTADO ESTADUAL,94
2014,SP,DEPUTADO FEDERAL,70
2014,TO,DEPUTADO ESTADUAL,24
2014,TO,DEPUTADO FEDERAL,8
2018,AC,DEPUTADO ESTADUAL,24
2018,AC,DEPUTADO FEDERAL,8
2018,AL,DEPUTADO ESTADUAL,27
2018,AL,DEPUTADO FEDERAL,9
2018,AM,DEPUTADO ESTADUAL,24
2018,AM,DEPUTADO FEDERAL,8
2018,AP,DEPUTADO ESTADUAL,24
2018,AP,DEPUTADO FEDERAL,8
2018,BA,DEPUTADO ESTADUAL,63
2018,BA,DEPUTADO FEDERAL,39
2018,CE,DEPUTADO ESTADUAL,46
2018,CE,DEPUTADO FEDERAL,22
2018,DF,DEPUTADO FEDERAL,8
2018,ES,DEPUTADO ESTADUAL,30
2018,ES,DEPUTADO FEDERAL,10
2018,GO,DEPUTADO ESTADUAL,41
2018,GO,DEPUTADO FEDERAL,17
2018,MA,DEPUTADO ESTADUAL,42
2018,MA,DEPUTADO FEDERAL,18
2018,MG,DEPUTADO ESTADUAL,77
2018,MG,DEPUTADO FEDERAL,53
2018,MS,DEPUTADO ESTADUAL,24
2018,MS,DEPUTADO FEDERAL,8
2018,MT,DEPUTADO ESTADUAL,24
2018,MT,DEPUTADO FEDERAL,8
2018,PA,DEPUTADO ESTADUAL,41
2018,PA,DEPUTADO FEDERAL,17
2018,PB,DEPUTADO ESTADUAL,36
2018,PB,DEPUTADO FEDERAL,12
2018,PE,DEPUTADO ESTADUAL,49
2018,PE,DEPUTADO FEDERAL,25
2018,PI,DEPUTADO ESTADUAL,30
2018,PI,DEPUTADO FEDERAL,10
2018,PR,DEPUTADO ESTADUAL,54
2018,PR,DEPUTADO FEDERAL,30
2018,RJ,DEPUTADO ESTADUAL,70
2018,RJ,DEPUTADO FEDERAL,46
2018,RN,DEPUTADO ESTADUAL,24
2018,RN,DEPUTADO FEDERAL,8
2018,RO,DEPUTADO ESTADUAL,24
2018,RO,DEPUTADO FEDERAL,8
2018,RR,DEPUTADO ESTADUAL,24
2018,RR,DEPUTADO FEDERAL,8
2018,RS,DEPUTADO ESTADUAL,55
2018,RS,DEPUTADO FEDERAL,31
2018,SC,DEPUTADO ESTADUAL,40
2018,SC,DEPUTADO FEDERAL,16
2018,SE,DEPUTADO ESTADUAL,24
2018,SE,DEPUTADO FEDERAL,8
2018,SP,DEPUTADO ESTADUAL,94
2018,SP,DEPUTADO FEDERAL,70
2018,TO,DEPUTADO ESTADUAL,24
2018,TO,DEPUTADO FEDERAL,8
