year,model,handling,variable,beta_original,beta_corrected,se_original,se_corrected,p_corrected
2018,R2,renormalized_retained,n_eleicoes_prefeito,0.4541329640475992,0.4540595613771178,0.06820039208516214,0.06819428259026963,2.7696953992647413e-11
2018,R2,renormalized_retained,n_eleicoes_vereador,0.26131687008216853,0.2611443839564487,0.04101956649934139,0.04100862132303535,1.914637699596338e-10
2018,R2,renormalized_retained,prop_votos_nominais_lag,1.414978732340441,1.4148501073197977,0.2547436173776281,0.2547040686724599,2.778052229275655e-08
2018,R2,renormalized_retained,qe_sem_vitoria,1.0599617562082957,1.0598895529388304,0.14195210933126398,0.1419445892439624,8.20907404837487e-14
2018,R2,renormalized_retained,mulher,0.3666987046634816,0.36623304448325267,0.05778913820297026,0.057764802448129246,2.2965683245843052e-10
2018,R2,renormalized_retained,negra,-0.30658273777940215,-0.306713442926813,0.06140624717233827,0.061393595936821824,5.857595981360559e-07
2022,R1,mass_weighted_PPML,competitivo,1.5224769218979715,1.522476921897834,0.05419026324911741,0.05422906006484282,1.9828101208134937e-173
2022,R1,mass_weighted_PPML,mulher,0.30557024903079866,0.3055702490304816,0.03553160810817059,0.03530870696572897,4.961792583481469e-18
2022,R1,mass_weighted_PPML,negra,-0.08064152602839068,-0.08064152602845506,0.03467362783443192,0.034631278093985085,0.01988159536062064
2022,R1,renormalized_retained,competitivo,1.5224769218979715,1.5242892052689572,0.05419026324911741,0.05423427418746999,8.357579984992685e-174
2022,R1,renormalized_retained,mulher,0.30557024903079866,0.3088043255035354,0.03553160810817059,0.03524689294919239,1.932193204577846e-18
2022,R1,renormalized_retained,negra,-0.08064152602839068,-0.08012143921133774,0.03467362783443192,0.03472794533325223,0.021048288603333676
2022,R2,mass_weighted_PPML,n_eleicoes_governador,0.28795297555035887,0.2879529755503643,0.1750685357456872,0.1750650379734669,0.10000399094643904
2022,R2,mass_weighted_PPML,n_eleicoes_senador,1.238563631134978,1.238563631134977,0.1828399672760516,0.1828408135686799,1.2526986101797028e-11
2022,R2,mass_weighted_PPML,n_eleicoes_deputado_federal,0.43915328781131185,0.43915328781131513,0.02159735696087132,0.02159676940977204,6.406028044608985e-92
2022,R2,mass_weighted_PPML,n_eleicoes_deputado_estadual,0.39026876360710056,0.390268763607104,0.027412920222209772,0.027408137279759003,5.235496641163668e-46
2022,R2,mass_weighted_PPML,n_eleicoes_prefeito,0.35255077377249117,0.3525507737724959,0.03912947450825575,0.03913510130798326,2.0878628577690874e-19
2022,R2,mass_weighted_PPML,n_eleicoes_vereador,0.16676956370186927,0.1667695637018708,0.020773193500467062,0.02077887209143153,1.007679315900314e-15
2022,R2,mass_weighted_PPML,prop_votos_nominais_lag,1.0248886605692342,1.0248886605692367,0.11933647841320781,0.11933491493132188,8.82358827014938e-18
2022,R2,mass_weighted_PPML,qe_sem_vitoria,0.5313869020055765,0.5313869020055844,0.072444735083806,0.07245527833677376,2.2338561219618966e-13
2022,R2,mass_weighted_PPML,mulher,0.28034022435893885,0.28034022435896555,0.03529942539121715,0.03508069373400943,1.3352700701895898e-15
2022,R2,mass_weighted_PPML,negra,-0.07487199457234255,-0.07487199457232892,0.03422735764721625,0.03417248681618319,0.02845163159963709
2022,R2,renormalized_retained,n_eleicoes_governador,0.28795297555035887,0.2885413326480078,0.1750685357456872,0.175041139192282,0.09926649363121595
2022,R2,renormalized_retained,n_eleicoes_senador,1.238563631134978,1.2382836110080009,0.1828399672760516,0.1828037249548092,1.2540633638115088e-11
2022,R2,renormalized_retained,n_eleicoes_deputado_federal,0.43915328781131185,0.43973643954643526,0.02159735696087132,0.02161858194780883,5.615810622912216e-92
2022,R2,renormalized_retained,n_eleicoes_deputado_estadual,0.39026876360710056,0.3906287349390972,0.027412920222209772,0.027414652574236472,4.553761048741992e-46
2022,R2,renormalized_retained,n_eleicoes_prefeito,0.35255077377249117,0.3531785321342474,0.03912947450825575,0.03913909152377528,1.818791773304493e-19
2022,R2,renormalized_retained,n_eleicoes_vereador,0.16676956370186927,0.16726712218118545,0.020773193500467062,0.02079165505768197,8.630447397919104e-16
2022,R2,renormalized_retained,prop_votos_nominais_lag,1.0248886605692342,1.024924940590706,0.11933647841320781,0.1193728172548642,9.011576632069822e-18
2022,R2,renormalized_retained,qe_sem_vitoria,0.5313869020055765,0.5319038055356016,0.072444735083806,0.07244731641012474,2.105207451672323e-13
