ano,uf,partido,C,total,NECr,k,E,F,hE,hF,esperado_E,esperado_F,empate,recebedores
2022,PR,SOLIDARIEDADE,22,3724678.72,12.180215726585908,12,0,4,0.0,4.0,0.0,2.1818181818181817,False,21
2022,PR,UNIAO,27,12956906.73,10.113235787010938,10,4,5,4.0,3.0,1.4814814814814814,1.8518518518518519,False,24
2022,RJ,AGIR,45,4328000.0,10.81516466182518,11,0,0,0.0,0.0,0.0,0.0,False,44
2022,RJ,AVANTE,43,3393273.75,14.03419648547981,14,0,1,0.0,1.0,0.0,0.32558139534883723,False,36
2022,RJ,CIDADANIA,22,3648182.5,8.265713177762846,8,0,3,0.0,3.0,0.0,1.0909090909090908,False,22
2022,RJ,DC,44,380318.89999999997,30.67208725824835,31,0,0,0.0,0.0,0.0,0.0,False,41
2022,RJ,MDB,45,10475065.0,5.4010783750773985,5,2,5,2.0,4.0,0.2222222222222222,0.5555555555555556,False,35
2022,RJ,NOVO,21,558847.1300000002,2.5776938146712958,3,0,1,0.0,1.0,0.0,0.14285714285714285,False,21
2022,RJ,PATRIOTA,47,2550788.4899999998,16.266335346900686,16,0,3,0.0,2.0,0.0,1.0212765957446808,False,45
2022,RJ,PC DO B,3,4758000.0,1.988612538540596,2,1,2,1.0,2.0,0.6666666666666666,1.3333333333333333,False,3
2022,RJ,PCB,3,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2022,RJ,PDT,44,5955000.0,8.75610960561485,9,1,8,1.0,6.333333333333333,0.20454545454545456,1.6363636363636365,True,43
2022,RJ,PL,46,20698969.28,17.97775805626017,18,11,18,7.6923076923076925,12.923076923076923,4.304347826086956,7.043478260869565,True,44
2022,RJ,PMB,41,85768.01999999999,9.865592601013876,10,0,0,0.0,0.0,0.0,0.0,True,39
2022,RJ,PMN,47,2214012.39,13.84633821892707,14,0,2,0.0,2.0,0.0,0.5957446808510638,True,32
2022,RJ,PODE,47,7272943.0,24.557810957480005,25,1,7,0.5,6.5,0.5319148936170213,3.723404255319149,True,47
2022,RJ,PP,46,18260000.0,10.336676819580397,10,3,11,3.0,8.0,0.6521739130434783,2.391304347826087,False,32
2022,RJ,PROS,42,3470000.0,2.656920938237826,3,1,2,1.0,2.0,0.07142857142857142,0.14285714285714285,True,11
2022,RJ,PRTB,42,182604.69999999998,2.0838809600075425,2,0,0,0.0,0.0,0.0,0.0,False,15
2022,RJ,PSB,36,3615740.0,13.797605225292312,14,1,4,1.0,3.0,0.3888888888888889,1.5555555555555556,True,34
2022,RJ,PSC,26,5576005.3599999985,2.9315677937001423,3,0,0,0.0,0.0,0.0,0.0,False,26
2022,RJ,PSD,47,22801163.479999997,19.246232432930704,19,4,26,4.0,17.0,1.6170212765957446,10.51063829787234,False,43
2022,RJ,PSDB,25,4707500.0,4.217719305549774,4,0,0,0.0,0.0,0.0,0.0,False,24
2022,RJ,PSOL,28,10689494.75,10.203362792773314,10,5,7,5.0,5.0,1.7857142857142858,2.5,False,28
2022,RJ,PSTU,2,18223.0,1.9997005426753964,2,0,0,0.0,0.0,0.0,0.0,False,2
2022,RJ,PT,36,13333018.5,9.710044257831095,10,5,6,5.0,6.0,1.3888888888888888,1.6666666666666667,False,36
2022,RJ,PTB,47,7207281.95,4.50241903291348,5,1,3,0.0,2.0,0.10638297872340426,0.3191489361702128,False,45
2022,RJ,PV,6,1115099.5,2.9782219330200594,3,0,1,0.0,1.0,0.0,0.5,False,6
2022,RJ,REDE,3,3305424.47,1.0821710253061843,1,0,1,0.0,1.0,0.0,0.3333333333333333,False,3
2022,RJ,REPUBLICANOS,46,11203692.0,12.133079917379492,12,3,5,3.0,4.0,0.782608695652174,1.3043478260869565,False,46
2022,RJ,SOLIDARIEDADE,47,4788453.5,4.101454454561155,4,1,4,1.0,3.0,0.0851063829787234,0.3404255319148936,True,37
2022,RJ,UNIAO,47,39907880.71,22.619633740391574,23,6,20,6.0,17.0,2.9361702127659575,9.787234042553191,False,47
2022,RN,AVANTE,9,225000.0,7.390510948905111,7,0,1,0.0,1.0,0.0,0.7777777777777778,True,9
2022,RN,CIDADANIA,2,289900.0,1.9624516141385604,2,0,0,0.0,0.0,0.0,0.0,False,2
2022,RN,DC,9,11750.0,5.1016166281755195,5,0,0,0.0,0.0,0.0,0.0,True,7
2022,RN,MDB,8,8218559.9799999995,5.600392332290524,6,0,2,0.0,2.0,0.0,1.5,False,8
2022,RN,PATRIOTA,7,1000000.0,3.1133250311332503,3,0,0,0.0,0.0,0.0,0.0,False,7
2022,RN,PC DO B,3,349000.0,2.424624265950035,2,0,0,0.0,0.0,0.0,0.0,False,3
2022,RN,PDT,9,560400.0,3.172662550785123,3,0,0,0.0,0.0,0.0,0.0,False,9
2022,RN,PL,9,4890000.0,3.5953136022931003,4,4,3,3.0,3.0,1.7777777777777777,1.3333333333333333,False,9
2022,RN,PMB,3,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2022,RN,PMN,9,525000.0,2.1256699957583005,2,0,0,0.0,0.0,0.0,0.0,False,9
2022,RN,PODE,9,486386.55999999994,8.749914665306992,9,0,0,0.0,0.0,0.0,0.0,False,9
2022,RN,PP,9,6431482.37,7.135411197531167,7,0,4,0.0,3.5,0.0,3.111111111111111,True,9
2022,RN,PRTB,8,16710.35,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2022,RN,PSB,9,5410000.0,6.614110415583829,7,0,2,0.0,2.0,0.0,1.5555555555555556,False,9
2022,RN,PSC,8,899970.0,5.955774291545054,6,0,0,0.0,0.0,0.0,0.0,True,8
2022,RN,PSD,9,497028.5,1.5377529691525265,2,0,1,0.0,1.0,0.0,0.2222222222222222,True,9
2022,RN,PSDB,7,4000000.0,2.112211221122112,2,0,0,0.0,0.0,0.0,0.0,True,7
2022,RN,PSOL,4,280552.14,2.992582580930695,3,0,0,0.0,0.0,0.0,0.0,False,4
2022,RN,PSTU,1,8300.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2022,RN,PT,4,4281970.45,2.6888512845026056,3,2,2,2.0,2.0,1.5,1.5,False,4
2022,RN,PTB,7,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2022,RN,PV,2,819975.4,1.7066125339389118,2,0,0,0.0,0.0,0.0,0.0,False,2
2022,RN,REDE,3,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2022,RN,REPUBLICANOS,9,3601100.0,5.714320467128619,6,0,3,0.0,2.0,0.0,2.0,False,9
2022,RN,SOLIDARIEDADE,9,3059201.55,4.654755328753333,5,0,3,0.0,3.0,0.0,1.6666666666666667,False,9
2022,RN,UNIAO,9,16127128.709999999,7.5981211530896955,8,2,5,2.0,5.0,1.7777777777777777,4.444444444444445,False,9
2022,RO,AGIR,7,120000.0,6.4,6,0,1,0.0,1.0,0.0,0.8571428571428571,True,7
2022,RO,AVANTE,9,3009000.0,2.4008010553460033,2,0,1,0.0,1.0,0.0,0.2222222222222222,False,8
2022,RO,MDB,9,9020000.01,6.460558704288216,6,2,4,2.0,3.0,1.3333333333333333,2.6666666666666665,False,9
2022,RO,PATRIOTA,7,1420000.0,3.2585649644473182,3,0,1,0.0,1.0,0.0,0.42857142857142855,False,6
2022,RO,PC DO B,3,154900.0,2.419577859772644,2,0,0,0.0,0.0,0.0,0.0,False,3
2022,RO,PDT,8,813600.0,6.215378732399907,6,0,0,0.0,0.0,0.0,0.0,False,7
2022,RO,PL,9,5997650.0,3.0851287267175636,3,2,4,2.0,3.0,0.6666666666666666,1.3333333333333333,False,9
2022,RO,PMB,2,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2022,RO,PODE,9,3403400.0,6.384101148499043,6,0,1,0.0,1.0,0.0,0.6666666666666666,False,8
2022,RO,PP,6,4800000.0,2.5043478260869563,3,0,1,0.0,0.0,0.0,0.5,False,3
2022,RO,PROS,9,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2022,RO,PSB,8,5131487.05,3.8425842785117887,4,0,1,0.0,1.0,0.0,0.5,True,8
2022,RO,PSC,9,1941388.8899999997,7.351207636098679,7,0,2,0.0,2.0,0.0,1.5555555555555556,False,9
2022,RO,PSD,8,3752234.4,5.120894905492425,5,0,3,0.0,3.0,0.0,1.875,False,8
2022,RO,PSOL,8,97432.9,6.472663016528628,6,0,0,0.0,0.0,0.0,0.0,True,8
