year,model,variable,cluster,n_clusters,beta,se,ratio,p_norm,p_t
2018,R2,n_eleicoes_deputado_estadual,sg_partido,35,0.537725074838399,0.05885116859307457,1.7121075120431568,6.418913855312073e-20,1.1164067387111041e-10
2018,R2,n_eleicoes_prefeito,sg_partido,35,0.4541329640475992,0.07178815281316146,1.5748073763177253,2.5157263342421514e-10,3.2596635790825407e-07
2018,R2,n_eleicoes_vereador,sg_partido,35,0.26131687008216853,0.053734596378529,1.2986391001229387,1.1555974740657759e-06,2.5829965037093137e-05
2018,R2,prop_votos_nominais_lag,sg_partido,35,1.414978732340441,0.3500870740625363,4.116398918871487,5.3044535031158445e-05,0.0002872168693875922
2018,R2,qe_sem_vitoria,sg_partido,35,1.0599617562082957,0.14866101609127488,2.8862606056078217,1.0032620536273803e-12,3.0591001146885025e-08
2018,R2,mulher,sg_partido,35,0.3666987046634816,0.06016471488066863,1.442963095561852,1.0949696516993192e-09,6.487136903410203e-07
2018,R2,negra,sg_partido,35,-0.30658273777940215,0.049267760869079524,0.7359576241607196,4.884030271218143e-10,4.4312830440905504e-07
2018,R2,n_eleicoes_governador,sg_uf,27,1.2773019179262664,0.43589650929577584,3.5869487757679033,0.0033864896189145658,0.0069660554409278295
2018,R2,n_eleicoes_senador,sg_uf,27,1.3242357886352776,0.2922482296075353,3.7593113485095113,5.864900011256432e-06,0.0001158601221704969
2018,R2,n_eleicoes_deputado_federal,sg_uf,27,0.6934584012539853,0.021275286668272532,2.000622538256449,4.899322024354861e-233,1.2927902328395415e-22
2018,R2,n_eleicoes_deputado_estadual,sg_uf,27,0.537725074838399,0.051593961589008405,1.7121075120431568,1.9625817563371887e-25,8.898714647972689e-11
2018,R2,n_eleicoes_prefeito,sg_uf,27,0.4541329640475992,0.09178738723038074,1.5748073763177253,7.511020228039465e-07,3.858167722817982e-05
2018,R2,n_eleicoes_vereador,sg_uf,27,0.26131687008216853,0.041356739229153505,1.2986391001229387,2.639361441005241e-10,1.0879179819752535e-06
2018,R2,prop_votos_nominais_lag,sg_uf,27,1.414978732340441,0.26509082391967026,4.116398918871487,9.412630432488916e-08,1.3812794465847034e-05
2018,R2,qe_sem_vitoria,sg_uf,27,1.0599617562082957,0.10059428238391731,2.8862606056078217,5.833120813327064e-26,7.055389448813988e-11
2018,R2,mulher,sg_uf,27,0.3666987046634816,0.06626041121938117,1.442963095561852,3.1264299150209945e-08,8.25451366943706e-06
2018,R2,negra,sg_uf,27,-0.30658273777940215,0.05316226213208933,0.7359576241607196,8.073132411295358e-09,4.500668074519726e-06
2018,interaction,competitivo,lista_id,649,2.367135479579971,0.07845033751717118,10.66679323219999,5.246919834206388e-200,1.3487950967931934e-125
2018,interaction,comp_x_ln_magnitude,lista_id,649,0.6056086928120064,0.08714998204134382,1.832367218256961,3.677808187057272e-12,8.98195643679445e-12
2018,interaction,mulher,lista_id,649,0.4260169002770788,0.05672614158141932,1.5311466517172483,5.909888921120282e-14,1.9656720632788477e-13
2018,interaction,negra,lista_id,649,-0.2859127840934678,0.06094150460027313,0.7513281408543452,2.710849582233259e-06,3.308419377374492e-06
2018,interaction,competitivo,sg_partido,35,2.367135479579971,0.0974692976541543,10.66679323219999,2.758683451374474e-130,4.610651376496875e-23
2018,interaction,comp_x_ln_magnitude,sg_partido,35,0.6056086928120064,0.0907854863099808,1.832367218256961,2.5447250243924886e-11,1.1746490530843401e-07
2018,interaction,mulher,sg_partido,35,0.4260169002770788,0.06466604050694896,1.5311466517172483,4.4592874502009196e-11,1.499884601994353e-07
2018,interaction,negra,sg_partido,35,-0.2859127840934678,0.04697248797218542,0.7513281408543452,1.151798500851261e-09,6.645814999844176e-07
2018,interaction,competitivo,sg_uf,27,2.367135479579971,0.05709958155080377,10.66679323219999,0.0,2.7915186249857636e-25
2018,interaction,comp_x_ln_magnitude,sg_uf,27,0.6056086928120064,0.07658191920622372,1.832367218256961,2.615876520841911e-15,2.1958973006243956e-08
2018,interaction,mulher,sg_uf,27,0.4260169002770788,0.06486764138457289,1.5311466517172483,5.117407946639149e-11,5.789439097384229e-07
2018,interaction,negra,sg_uf,27,-0.2859127840934678,0.05288140712332306,0.7513281408543452,6.42041226146805e-08,1.1526471716028309e-05
2022,R1,competitivo,lista_id,623,1.5224769218979715,0.05419026324911741,4.583564277063381,1.1267039850818397e-173,9.221014678824112e-113
2022,R1,mulher,lista_id,623,0.30557024903079866,0.03553160810817059,1.3573988377176227,7.97470056017488e-18,6.475071692509063e-17
2022,R1,negra,lista_id,623,-0.08064152602839068,0.03467362783443192,0.9225243331394534,0.020032913497242014,0.020353518053515082
2022,R1,competitivo,sg_partido,31,1.5224769218979715,0.0929552264238,4.583564277063381,2.7190875394774915e-60,1.6565216120155481e-16
2022,R1,mulher,sg_partido,31,0.30557024903079866,0.03761199342635507,1.3573988377176227,4.500373229312961e-16,4.546021199728688e-09
2022,R1,negra,sg_partido,31,-0.08064152602839068,0.04157533989048307,0.9225243331394534,0.05242247977404236,0.061876018429320966
2022,R1,competitivo,sg_uf,27,1.5224769218979715,0.09528696544188238,4.583564277063381,1.8244717194704336e-57,5.8265601060243246e-15
2022,R1,mulher,sg_uf,27,0.30557024903079866,0.028958721994968593,1.3573988377176227,4.9767105680357533e-26,6.846357257664186e-11
2022,R1,negra,sg_uf,27,-0.08064152602839068,0.03304738733545828,0.9225243331394534,0.014680003843849657,0.021805019298992513
2022,R2,n_eleicoes_governador,lista_id,623,0.28795297555035887,0.1750685357456872,1.3336945863948482,0.10001077001298891,0.10051601829888171
