arquivo,quantidade,ano_eleicao,modelo,termo,antes,depois,dif
coeficientes.csv,razao_rep_ic_sup,2018,R1,mulher,1.741673693812383,1.7415721955148395,-0.00010149829754335649
coeficientes.csv,razao_rep_ic_sup,2018,R1,negra,0.8321862324921508,0.8321968157107663,1.0583218615467516e-05
coeficientes.csv,razao_rep_ic_sup,2022,R2,n_eleicoes_governador,1.87965322607358,1.8796403399040391,-1.2886169540982095e-05
coeficientes.csv,razao_rep_ic_sup,2022,R2,n_eleicoes_senador,4.937849768934049,4.93785795951792,8.190583871581225e-06
coeficientes.csv,razao_rep_ic_sup,2022,R2,n_eleicoes_deputado_federal,1.6184746109036747,1.6184727470691411,-1.8638345335997286e-06
coeficientes.csv,razao_rep_ic_sup,2022,R2,n_eleicoes_deputado_estadual,1.558927503768994,1.558912889566851,-1.4614202143103938e-05
coeficientes.csv,razao_rep_ic_sup,2022,R2,n_eleicoes_prefeito,1.5360966313912472,1.5361135723685608,1.694097731363975e-05
coeficientes.csv,razao_rep_ic_sup,2022,R2,n_eleicoes_vereador,1.2305792862703082,1.2305929827411066,1.3696470798407745e-05
coeficientes.csv,razao_rep_ic_sup,2022,R2,prop_votos_nominais_lag,1.134144719563752,1.1341443720137194,-3.475500325311742e-07
coeficientes.csv,razao_rep_ic_sup,2022,R2,qe_sem_vitoria,1.9608510393825116,1.9608915603483428,4.0520965831181144e-05
coeficientes.csv,razao_rep_ic_sup,2022,R2,mulher,1.4183966275422186,1.4177886713112131,-0.0006079562310055131
coeficientes.csv,razao_rep_ic_sup,2022,R2,negra,0.9922438616977028,0.9921371547550693,-0.00010670694263359426
coeficientes.csv,razao_rep_ic_sup,2022,R1,competitivo,5.097192193696447,5.097579807892454,0.000387614196006858
coeficientes.csv,razao_rep_ic_sup,2022,R1,mulher,1.4553001978999585,1.4546645361352,-0.0006356617647584883
coeficientes.csv,razao_rep_ic_sup,2022,R1,negra,0.9873988523303132,0.987316896204878,-8.195612543526742e-05
ames.csv,ame,2018,R2,n_eleicoes_governador,0.0795251927034914,0.0794993246925049,-2.586801098650171e-05
ames.csv,ame,2018,R2,n_eleicoes_senador,0.0824473092838177,0.0824204907646816,-2.6818519136107e-05
ames.csv,ame,2018,R2,n_eleicoes_deputado_federal,0.0431749238121489,0.0431608798423638,-1.4043969785097754e-05
ames.csv,ame,2018,R2,n_eleicoes_deputado_estadual,0.0334789211523689,0.0334680311051933,-1.0890047175596274e-05
ames.csv,ame,2018,R2,n_eleicoes_prefeito,0.0282744517737253,0.028265254640034,-9.197133691300069e-06
ames.csv,ame,2018,R2,n_eleicoes_vereador,0.0162696651107332,0.0162643729025471,-5.292208186100794e-06
ames.csv,ame,2018,R2,prop_votos_nominais_lag,0.088096991620748,0.0880683353689409,-2.865625180709097e-05
ames.csv,ame,2018,R2,qe_sem_vitoria,0.0874868969966933,0.0874552767380919,-3.1620258601400275e-05
ames.csv,ame,2018,R2,mulher,0.023702954225256,0.0236955116998956,-7.442525360400881e-06
ames.csv,ame,2018,R2,negra,-0.0188285897397777,-0.018822457467625,6.132272152702123e-06
ames.csv,ame,2018,R1,competitivo,0.2027683994983954,0.2026737040215451,-9.469547685028723e-05
ames.csv,ame,2018,R1,mulher,0.0283813827959093,0.0283710696736058,-1.0313122303502037e-05
ames.csv,ame,2018,R1,negra,-0.0185110790596874,-0.0185042282741322,6.8507855551999675e-06
ames.csv,ame,2022,R2,n_eleicoes_governador,0.0157719689144329,0.0157040609557075,-6.790795872540015e-05
ames.csv,ame,2022,R2,n_eleicoes_senador,0.0678395041810974,0.0675474136833989,-0.00029209049769850226
ames.csv,ame,2022,R2,n_eleicoes_deputado_federal,0.0240536219179291,0.0239500563850989,-0.00010356553283020001
ames.csv,ame,2022,R2,n_eleicoes_deputado_estadual,0.0213760833556966,0.0212840462616529,-9.203709404369959e-05
ames.csv,ame,2022,R2,n_eleicoes_prefeito,0.0193101663008395,0.0192270242414521,-8.31420593873991e-05
ames.csv,ame,2022,R2,n_eleicoes_vereador,0.0091344233187804,0.0090950940476489,-3.932927113150034e-05
ames.csv,ame,2022,R2,prop_votos_nominais_lag,0.0561359439483402,0.055894244425259,-0.00024169952308120135
ames.csv,ame,2022,R2,qe_sem_vitoria,0.034507034094595,0.0343573707507338,-0.00014966334386119773
ames.csv,ame,2022,R2,mulher,0.0158082604807367,0.0157415473164615,-6.671316427520058e-05
ames.csv,ame,2022,R2,negra,-0.0041011441080983,-0.0040836094180536,1.7534690044700672e-05
ames.csv,ame,2022,R1,competitivo,0.1208164588752961,0.1202656841710498,-0.000550774704246304
ames.csv,ame,2022,R1,mulher,0.017470566414359,0.0173979427479386,-7.262366642039886e-05
ames.csv,ame,2022,R1,negra,-0.0044574846255071,-0.0044386285561866,1.8856069320500116e-05
ames.csv,ep,2018,R2,n_eleicoes_governador,0.0254108975941737,0.0254026171530065,-8.280441167202862e-06
ames.csv,ep,2018,R2,n_eleicoes_senador,0.0164280001624309,0.0164241384598951,-3.861702535801204e-06
ames.csv,ep,2018,R2,n_eleicoes_deputado_federal,0.0021561721507406,0.002156315076135,1.429253943998482e-07
ames.csv,ep,2018,R2,n_eleicoes_deputado_estadual,0.0029686754313929,0.00296785906437,-8.163670229001906e-07
ames.csv,ep,2018,R2,n_eleicoes_prefeito,0.0042271852353586,0.0042258814120159,-1.303823342700683e-06
ames.csv,ep,2018,R2,n_eleicoes_vereador,0.0025284561091246,0.0025276333449681,-8.227641564999451e-07
ames.csv,ep,2018,R2,prop_votos_nominais_lag,0.0156854049297414,0.015680267293001,-5.137636740398799e-06
ames.csv,ep,2018,R2,qe_sem_vitoria,0.0146340047965875,0.0146288588077065,-5.145988880999458e-06
ames.csv,ep,2018,R2,mulher,0.0038312948122726,0.0038283476905266,-2.947121746000106e-06
ames.csv,ep,2018,R2,negra,0.0037051554883222,0.0037041564605287,-9.99027793499932e-07
ames.csv,ep,2018,R1,competitivo,0.0094505802503393,0.0094497650286519,-8.152216874005719e-07
